# Provenance:
#   Script: /media/drn2/External/TARA-Oceans/MANUSCRIPT/.wt_ralph58/task2/scripts/pnps_analysis/finalize_pfam_status_20260530_211500.py
#   Source 1: UniProt REST API — all C. reinhardtii proteins (organism_id:3055)
#   Source 2: Ensembl Plants BioMart — creinhardtii_eg_gene, Pfam attribute
#   Source 3: NCBI RefSeq GFF3 — GCF_000002595.2 (gene existence via Phytozome Dbxref)
#   DS3: Flowers et al. 2015 tpc00492 SupplementalDS3 (doi:10.5061/dryad.1n0g6)
#   Date: 2026-05-30 20:43:48
#   Method: Merged UniProt Pfam + Ensembl BioMart Pfam + NCBI GFF3 cross-reference
#
#   Classification:
#     has_pfam=1: gene has >=1 Pfam domain in UniProt and/or BioMart
#     has_pfam=0: gene found in databases but no Pfam domain annotated
#     has_pfam=-1: gene uses old JGI v5.0 ID (g####) not in v5.5/v5.6;
#                  absent from UniProt, Ensembl, and NCBI RefSeq.
#                  These 5,882 genes need hmmsearch on the v5.0 proteome (task 3).
Gene_ID	has_pfam	pfam_domains
Cre01.g002900	0	
Cre01.g002950	1	PF06677
Cre01.g003000	0	
Cre01.g003050	1	PF04048
Cre01.g003100	1	PF00226
Cre01.g003150	0	
Cre01.g003200	1	PF01408
Cre01.g003300	1	PF13458
Cre01.g003450	1	PF18360
Cre01.g003519	-1	
Cre01.g003550	0	
Cre01.g003600	0	
Cre01.g003650	0	
Cre01.g003700	1	PF10263
Cre01.g003750	-1	
Cre01.g003800	1	PF07714
Cre01.g003850	1	PF00067
Cre01.g004000	1	PF08855
Cre01.g004050	0	
Cre01.g004124	1	PF25474
Cre01.g004157	1	PF25474
Cre01.g004200	0	
Cre01.g004250	1	PF03645
Cre01.g004300	1	PF00733,PF13537
Cre01.g004350	1	PF03097,PF13949
Cre01.g004400	0	
Cre01.g004450	1	PF07466
Cre01.g004500	1	PF00330
Cre01.g004550	1	PF00536
Cre01.g004600	1	PF02042
Cre01.g004650	-1	
Cre01.g004700	1	PF03188
Cre01.g004750	0	
Cre01.g004800	0	
Cre01.g004850	1	PF07500,PF08711,PF18766
Cre01.g004900	1	PF01965
Cre01.g004950	1	PF01965
Cre01.g005000	-1	
Cre01.g005050	1	PF00839
Cre01.g005100	0	
Cre01.g005150	1	PF00266
Cre01.g005200	1	PF01764
Cre01.g005400	1	PF13561
Cre01.g005450	1	PF02493
Cre01.g005500	1	PF02656,PF09359
Cre01.g005534	0	
Cre01.g005550	1	PF00025
Cre01.g005650	-1	
Cre01.g005750	0	
Cre01.g005850	1	PF01923
Cre01.g005950	0	
Cre01.g006000	0	
Cre01.g006050	0	
Cre01.g006100	1	PF00111
Cre01.g006300	-1	
Cre01.g006500	0	
Cre01.g006550	0	
Cre01.g006800	1	PF00534,PF08288
Cre01.g006850	0	
Cre01.g006900	1	PF00415,PF05548,PF13540
Cre01.g006950	1	PF00274
Cre01.g007000	1	PF00005,PF01061
Cre01.g007050	1	PF11267
Cre01.g007100	0	
Cre01.g007150	1	PF00622,PF10607
Cre01.g007200	1	PF01529
Cre01.g007300	1	PF12706
Cre01.g007350	1	PF00097
Cre01.g007400	0	
Cre01.g007450	1	PF00153
Cre01.g007500	1	PF00474
Cre01.g007550	1	PF05686
Cre01.g007700	1	PF00883,PF02789
Cre01.g007850	0	
Cre01.g007901	1	PF01554
Cre01.g007950	1	PF00067
Cre01.g008000	1	PF00013,PF10469
Cre01.g008150	1	PF00069,PF00481
Cre01.g008200	0	
Cre01.g008250	0	
Cre01.g008300	0	
Cre01.g008350	0	
Cre01.g008450	1	PF03800,PF18595
Cre01.g008500	1	PF12796,PF13637
Cre01.g008550	1	PF00069
Cre01.g008600	1	PF11051
Cre01.g008650	1	PF00069,PF07714
Cre01.g008700	0	
Cre01.g008800	0	
Cre01.g008850	1	PF12931,PF12932
Cre01.g008891	1	PF00581
Cre01.g008900	1	PF17784
Cre01.g008950	0	
Cre01.g009000	1	PF17784
Cre01.g009050	1	PF17784
Cre01.g009100	-1	
Cre01.g009150	1	PF14329
Cre01.g009200	1	PF22486
Cre01.g009250	1	PF00204,PF00521,PF01751,PF02518,PF16898
Cre01.g009300	1	PF00397,PF02383
Cre01.g009350	1	PF04371
Cre01.g009400	1	PF00474
Cre01.g009450	1	PF00226
Cre01.g009500	1	PF00069,PF13499
Cre01.g009550	1	PF00583
Cre01.g009650	1	PF00847
Cre01.g009700	1	PF07228
Cre01.g009731	0	
Cre01.g009750	-1	
Cre01.g009800	0	
Cre01.g009850	0	
Cre01.g009900	1	PF00226,PF13370
Cre01.g009950	1	PF03587
Cre01.g010000	1	PF00069
Cre01.g010050	0	
Cre01.g010100	1	PF13508
Cre01.g010150	0	
Cre01.g010250	0	
Cre01.g010296	0	
Cre01.g010300	0	
Cre01.g010350	1	PF21948
Cre01.g010400	0	
Cre01.g010450	1	PF00397
Cre01.g010500	1	PF10247
Cre01.g010650	0	
Cre01.g010700	1	PF05739,PF14523
Cre01.g010750	0	
Cre01.g011050	0	
Cre01.g011100	1	PF13243,PF13249
Cre01.g011150	1	PF00010
Cre01.g011200	1	PF04658
Cre01.g011250	0	
Cre01.g011300	1	PF00450
Cre01.g011350	1	PF04719
Cre01.g011400	0	
Cre01.g011500	1	PF01398,PF23594
Cre01.g011550	0	
Cre01.g011600	1	PF01344,PF13418,PF13920,PF24681
Cre01.g011650	-1	
Cre01.g011700	-1	
Cre01.g011800	1	PF07714
Cre01.g011850	1	PF07714
Cre01.g011900	-1	
Cre01.g011950	0	
Cre01.g012000	0	
Cre01.g012050	1	PF01226
Cre01.g012100	1	PF00884
Cre01.g012126	1	PF00884
Cre01.g012150	1	PF00254,PF01625
Cre01.g012177	-1	
Cre01.g012244	0	
Cre01.g012300	0	
Cre01.g012350	1	PF04931
Cre01.g012400	1	PF00892
Cre01.g012450	1	PF00632,PF06012,PF06025,PF14377,PF22562
Cre01.g012500	1	PF03208
Cre01.g012550	0	
Cre01.g012600	1	PF00408,PF02878,PF02879,PF02880
Cre01.g012650	1	PF00023,PF00520,PF12796
Cre01.g012700	1	PF00520,PF12796
Cre01.g012750	1	PF00520,PF12796
Cre01.g012800	0	
Cre01.g012850	1	PF00520,PF12796
Cre01.g012900	0	
Cre01.g012950	1	PF07714
Cre01.g013000	0	
Cre01.g013050	1	PF12937,PF24681
Cre01.g013100	1	PF00188
Cre01.g013150	1	PF05899
Cre01.g013200	0	
Cre01.g013250	1	PF13242,PF13344
Cre01.g013300	1	PF13365,PF17815
Cre01.g013350	0	
Cre01.g013400	1	PF10510
Cre01.g013450	1	PF01814
Cre01.g013500	1	PF01814
Cre01.g013550	0	
Cre01.g013600	0	
Cre01.g013650	1	PF15612
Cre01.g013700	1	PF01459
Cre01.g013750	0	
Cre01.g013769	0	
Cre01.g013801	1	PF14249
Cre01.g013850	0	
Cre01.g013900	0	
Cre01.g014000	0	
Cre01.g014050	1	PF16543
Cre01.g014100	1	PF10294
Cre01.g014150	1	PF01554
Cre01.g014200	0	
Cre01.g014250	0	
Cre01.g014300	0	
Cre01.g014350	1	PF08534
Cre01.g014400	0	
Cre01.g014450	0	
Cre01.g014500	1	PF07714
Cre01.g014600	1	PF00069
Cre01.g014650	1	PF13640
Cre01.g014700	1	PF23162
Cre01.g014800	1	PF00488
Cre01.g014850	1	PF03556,PF14555
Cre01.g014900	0	
Cre01.g014950	0	
Cre01.g015000	1	PF00696
Cre01.g015050	1	PF04818
Cre01.g015103	1	PF00211
Cre01.g015150	0	
Cre01.g015200	1	PF00233
Cre01.g015250	1	PF00136,PF03104,PF14260,PF24065
Cre01.g015300	0	
Cre01.g015350	1	PF00106
Cre01.g015400	1	PF05542
Cre01.g015500	1	PF00168
Cre01.g015550	1	PF03328
Cre01.g015600	1	PF12765,PF23271,PF24984,PF24987,PF24993,PF25801
Cre01.g015700	1	PF08241
Cre01.g015750	1	PF07978
Cre01.g015850	0	
Cre01.g015950	1	PF01300
Cre01.g016000	-1	
Cre01.g016050	1	PF01398,PF08082,PF08083,PF08084,PF10596,PF10597,PF10598,PF12134
Cre01.g016100	0	
Cre01.g016150	1	PF03747
Cre01.g016300	1	PF13499
Cre01.g016350	0	
Cre01.g016400	0	
Cre01.g016450	1	PF00856
Cre01.g016500	0	
Cre01.g016600	0	
Cre01.g016700	0	
Cre01.g016750	0	
Cre01.g016800	1	PF04564
Cre01.g016850	1	PF04419,PF12907
Cre01.g016900	1	PF14347
Cre01.g016950	1	PF01239
Cre01.g017050	1	PF00153
Cre01.g017100	0	
Cre01.g017150	0	
Cre01.g017200	1	PF00254,PF14559
Cre01.g017250	0	
Cre01.g017300	0	
Cre01.g017350	0	
Cre01.g017400	0	
Cre01.g017450	1	PF04042,PF22062
Cre01.g017500	1	PF01172,PF09377,PF20268
Cre01.g017550	1	PF00560,PF13855
Cre01.g017600	1	PF13360
Cre01.g017650	0	
Cre01.g017750	0	
Cre01.g017850	0	
Cre01.g017900	1	PF13360
Cre01.g017950	-1	
Cre01.g018000	1	PF01096
Cre01.g018050	0	
Cre01.g018100	1	PF00782
Cre01.g018150	0	
Cre01.g018200	1	PF16135,PF23209
Cre01.g018350	0	
Cre01.g018450	0	
Cre01.g018500	1	PF01648
Cre01.g018550	0	
Cre01.g018600	1	PF05529
Cre01.g018700	0	
Cre01.g018750	0	
Cre01.g018800	1	PF00119
Cre01.g018850	1	PF03372
Cre01.g018900	1	PF01485,PF05773,PF26200
Cre01.g018950	1	PF01916
Cre01.g019000	1	PF06094
Cre01.g019100	1	PF00389,PF02826
Cre01.g019150	1	PF04130,PF17681
Cre01.g019200	1	PF05997
Cre01.g019250	1	PF01370
Cre01.g019300	0	
Cre01.g019450	1	PF00179
Cre01.g019500	1	PF00400
Cre01.g019550	1	PF00023,PF12796
Cre01.g019600	0	
Cre01.g019650	0	
Cre01.g019700	1	PF13229
Cre01.g019750	1	PF09239,PF13589
Cre01.g019850	1	PF00004,PF01434,PF06480,PF17862
Cre01.g019900	0	
Cre01.g019950	1	PF00226,PF01556
Cre01.g020000	0	
Cre01.g020050	0	
Cre01.g020100	0	
Cre01.g020150	-1	
Cre01.g020250	-1	
Cre01.g020300	-1	
Cre01.g020350	1	PF01127
Cre01.g020400	1	PF00400,PF17814
Cre01.g020450	0	
Cre01.g020500	0	
Cre01.g020550	-1	
Cre01.g020650	0	
Cre01.g020700	-1	
Cre01.g020750	0	
Cre01.g020751	0	
Cre01.g020800	0	
Cre01.g020850	1	PF00211
Cre01.g020887	0	
Cre01.g020900	-1	
Cre01.g020950	1	PF04939
Cre01.g021000	1	PF06320
Cre01.g021050	1	PF02466
Cre01.g021100	0	
Cre01.g021200	1	PF12937
Cre01.g021250	-1	
Cre01.g021300	0	
Cre01.g021350	0	
Cre01.g021400	1	PF10197,PF12542
Cre01.g021500	1	PF04515
Cre01.g021550	0	
Cre01.g021600	1	PF00270,PF00271,PF00397
Cre01.g021650	0	
Cre01.g021700	1	PF00211
Cre01.g021750	1	PF07818
Cre01.g021800	1	PF00856
Cre01.g021850	1	PF00270,PF00271,PF00929
Cre01.g021900	0	
Cre01.g021950	1	PF08393,PF12777,PF12781
Cre01.g022000	1	PF00004,PF17862
Cre01.g022050	0	
Cre01.g022100	1	PF00632
Cre01.g022150	1	PF00520
Cre01.g022200	0	
Cre01.g022250	1	PF00297
Cre01.g022300	-1	
Cre01.g022350	1	PF00270,PF00271
Cre01.g022400	0	
Cre01.g022450	1	PF07707
Cre01.g022462	0	
Cre01.g022500	1	PF00390,PF03949
Cre01.g022550	0	
Cre01.g022600	0	
Cre01.g022650	1	PF00795
Cre01.g022681	0	
Cre01.g022700	0	
Cre01.g022750	1	PF13516
Cre01.g022800	0	
Cre01.g022850	0	
Cre01.g022900	0	
Cre01.g022950	1	PF00651,PF22486
Cre01.g023050	1	PF09409
Cre01.g023100	0	
Cre01.g023150	1	PF00493,PF14551,PF17207,PF17855,PF21933
Cre01.g023200	0	
Cre01.g023250	0	
Cre01.g023300	1	PF01408,PF22725
Cre01.g023350	1	PF01432
Cre01.g023400	1	PF04791
Cre01.g023450	0	
Cre01.g023500	0	
Cre01.g023550	1	PF13855,PF14580
Cre01.g023800	0	
Cre01.g023850	0	
Cre01.g023900	0	
Cre01.g023913	0	
Cre01.g023950	1	PF13229
Cre01.g024000	0	
Cre01.g024050	1	PF21033
Cre01.g024100	0	
Cre01.g024150	0	
Cre01.g024200	1	PF00076,PF14304,PF14327
Cre01.g024250	1	PF13450
Cre01.g024251	1	PF00270,PF00271,PF08482
Cre01.g024300	1	PF01398,PF08969
Cre01.g024350	1	PF02990
Cre01.g024400	1	PF12739
Cre01.g024500	1	PF14726
Cre01.g024550	1	PF07714
Cre01.g024650	1	PF07714,PF14295
Cre01.g024750	1	PF00059,PF07714,PF14295
Cre01.g024800	1	PF07714,PF14295
Cre01.g024850	1	PF00581
Cre01.g024900	1	PF00076
Cre01.g024950	0	
Cre01.g025000	1	PF07856
Cre01.g025024	-1	
Cre01.g025050	1	PF00320
Cre01.g025100	1	PF00702
Cre01.g025150	0	
Cre01.g025200	1	PF05548
Cre01.g025250	1	PF01687
Cre01.g025300	1	PF08423,PF26169
Cre01.g025350	1	PF03703
Cre01.g025400	1	PF14874,PF22544,PF23277,PF24507
Cre01.g025450	1	PF00612
Cre01.g025500	1	PF13424
Cre01.g025550	-1	
Cre01.g025600	0	
Cre01.g025650	0	
Cre01.g025700	0	
Cre01.g025750	1	PF01551
Cre01.g025767	1	PF08457
Cre01.g025800	-1	
Cre01.g025850	1	PF05153
Cre01.g025900	1	PF00415,PF13540,PF25390
Cre01.g025950	1	PF01535,PF13041
Cre01.g026050	0	
Cre01.g026150	0	
Cre01.g026200	1	PF01535
Cre01.g026250	1	PF01549,PF16499
Cre01.g026300	1	PF08238
Cre01.g026350	0	
Cre01.g026400	1	PF03124
Cre01.g026450	1	PF00076
Cre01.g026500	1	PF14541,PF14543
Cre01.g026550	1	PF00118
Cre01.g026600	1	PF00179
Cre01.g026650	1	PF00994,PF24102
Cre01.g026700	0	
Cre01.g026750	0	
Cre01.g026800	0	
Cre01.g026850	0	
Cre01.g026900	1	PF01494
Cre01.g026950	0	
Cre01.g027000	1	PF00281,PF00673
Cre01.g027050	1	PF11527
Cre01.g027100	1	PF10502
Cre01.g027150	1	PF00270,PF08148
Cre01.g027200	1	PF00179
Cre01.g027250	0	
Cre01.g027300	0	
Cre01.g027350	1	PF00588
Cre01.g027400	0	
Cre01.g027500	1	PF00622
Cre01.g027600	0	
Cre01.g027650	0	
Cre01.g027700	0	
Cre01.g027750	0	
Cre01.g027764	1	PF01554
Cre01.g027800	1	PF03224,PF11698
Cre01.g027850	1	PF08547
Cre01.g027900	1	PF03134
Cre01.g027950	0	
Cre01.g028000	0	
Cre01.g028050	0	
Cre01.g028100	-1	
Cre01.g028150	1	PF05347
Cre01.g028200	1	PF00270,PF00271
Cre01.g028250	1	PF12146
Cre01.g028300	0	
Cre01.g028350	1	PF13180,PF13365
Cre01.g028400	0	
Cre01.g028423	1	PF00282
Cre01.g028500	0	
Cre01.g028550	1	PF02338
Cre01.g028600	1	PF13561
Cre01.g028650	0	
Cre01.g028777	1	PF13359
Cre01.g028850	1	PF00581
Cre01.g028900	1	PF17784
Cre01.g028950	1	PF00581
Cre01.g029000	1	PF13649
Cre01.g029050	1	PF08513,PF10607
Cre01.g029100	1	PF05916,PF25005
Cre01.g029150	1	PF14580
Cre01.g029200	1	PF03568
Cre01.g029250	1	PF00351
Cre01.g029300	1	PF00121
Cre01.g029350	0	
Cre01.g029400	1	PF00520
Cre01.g029450	1	PF00505,PF03531,PF08512,PF17292,PF21103
Cre01.g029500	1	PF00069
Cre01.g029550	0	
Cre01.g029600	1	PF05042
Cre01.g029650	1	PF03635
Cre01.g029700	0	
Cre01.g029750	1	PF00406
Cre01.g029800	0	
Cre01.g029850	1	PF00069
Cre01.g029900	1	PF00005,PF01061
Cre01.g029950	0	
Cre01.g030050	1	PF00468
Cre01.g030150	1	PF09739
Cre01.g030200	1	PF00481
Cre01.g030250	1	PF00459
Cre01.g030300	1	PF08627
Cre01.g030350	1	PF02341
Cre01.g030400	0	
Cre01.g030450	1	PF00443
Cre01.g030500	1	PF00211
Cre01.g030550	1	PF09409,PF22562,PF24560
Cre01.g030600	1	PF07714
Cre01.g030650	1	PF00875,PF03441
Cre01.g030750	0	
Cre01.g030800	1	PF01399,PF25983
Cre01.g030850	1	PF00227,PF10584
Cre01.g030900	1	PF00501,PF13193
Cre01.g030950	1	PF08617
Cre01.g031050	1	PF03439,PF11942,PF23037,PF23042,PF23284,PF23287,PF23290,PF23291
Cre01.g031100	1	PF00595
Cre01.g031250	1	PF06916
Cre01.g031300	1	PF00069
Cre01.g031350	0	
Cre01.g031400	0	
Cre01.g031450	0	
Cre01.g031500	1	PF00394,PF07731,PF07732
Cre01.g031600	1	PF05915
Cre01.g031650	1	PF05637
Cre01.g031700	1	PF05050
Cre01.g031750	1	PF08772,PF17146
Cre01.g031800	1	PF08409
Cre01.g031850	1	PF00291
Cre01.g031900	1	PF03109
Cre01.g031950	-1	
Cre01.g032000	0	
Cre01.g032050	1	PF08449
Cre01.g032100	1	PF00400
Cre01.g032150	1	PF00400
Cre01.g032200	0	
Cre01.g032250	1	PF06047
Cre01.g032300	1	PF00076
Cre01.g032350	1	PF07264
Cre01.g032400	0	
Cre01.g032450	1	PF00839
Cre01.g032500	1	PF00226,PF07719,PF13181
Cre01.g032550	1	PF20168
Cre01.g032600	1	PF14295,PF23452
Cre01.g032650	1	PF00923
Cre01.g032700	1	PF02685
Cre01.g032750	1	PF20711
Cre01.g032800	1	PF22099
Cre01.g032900	0	
Cre01.g032950	0	
Cre01.g033000	0	
Cre01.g033050	0	
Cre01.g033150	0	
Cre01.g033200	0	
Cre01.g033250	0	
Cre01.g033300	1	PF13668
Cre01.g033350	1	PF00171
Cre01.g033400	1	PF02953
Cre01.g033450	0	
Cre01.g033500	0	
Cre01.g033524	-1	
Cre01.g033700	1	PF01933
Cre01.g033750	0	
Cre01.g033763	0	
Cre01.g033950	1	PF00929,PF06839
Cre01.g034000	1	PF03810,PF13513,PF25574
Cre01.g034050	1	PF00155
Cre01.g034150	0	
Cre01.g034200	1	PF01547
Cre01.g034250	0	
Cre01.g034300	1	PF09073
Cre01.g034342	-1	
Cre01.g034350	1	PF00249
Cre01.g034380	0	
Cre01.g034400	1	PF01182
Cre01.g034550	0	
Cre01.g034600	1	PF00400
Cre01.g034650	1	PF12862
Cre01.g034700	1	PF12843
Cre01.g034750	0	
Cre01.g034800	0	
Cre01.g034900	1	PF00069
Cre01.g034950	1	PF00005
Cre01.g035000	1	PF00400
Cre01.g035100	1	PF00731
Cre01.g035150	1	PF00642
Cre01.g035200	1	PF01529
Cre01.g035250	0	
Cre01.g035300	1	PF00795
Cre01.g035350	1	PF00107,PF08240
Cre01.g035450	1	PF01027
Cre01.g035500	1	PF00454,PF00613,PF00792
Cre01.g035550	0	
Cre01.g035600	1	PF00924
Cre01.g035650	0	
Cre01.g035700	0	
Cre01.g035750	1	PF00924
Cre01.g035800	1	PF01007,PF17655
Cre01.g035850	1	PF04810,PF04811,PF04815,PF08033
Cre01.g036000	1	PF00069
Cre01.g036050	1	PF01119,PF13589,PF16413
Cre01.g036100	1	PF00400
Cre01.g036150	0	
Cre01.g036200	1	PF01477
Cre01.g036250	1	PF00069
Cre01.g036300	1	PF01753
Cre01.g036350	1	PF00122,PF00689,PF00690,PF00702,PF08282,PF13246
Cre01.g036400	1	PF00106
Cre01.g036500	0	
Cre01.g036550	1	PF03311
Cre01.g036600	0	
Cre01.g036650	1	PF00069
Cre01.g036700	1	PF00069
Cre01.g036750	0	
Cre01.g036800	1	PF00225,PF23735
Cre01.g036850	1	PF01619
Cre01.g036900	1	PF00069
Cre01.g036950	1	PF02654
Cre01.g037000	1	PF00450
Cre01.g037050	1	PF00645
Cre01.g037100	1	PF00069
Cre01.g037150	1	PF00654
Cre01.g037250	0	
Cre01.g037300	0	
Cre01.g037350	0	
Cre01.g037400	1	PF00160,PF08231
Cre01.g037450	0	
Cre01.g037500	1	PF00240
Cre01.g037550	0	
Cre01.g037600	0	
Cre01.g037650	1	PF16094
Cre01.g037700	1	PF00173,PF00487
Cre01.g037750	-1	
Cre01.g037800	1	PF00085
Cre01.g037850	1	PF00364
Cre01.g037900	1	PF00271
Cre01.g037950	0	
Cre01.g038000	1	PF00069,PF03129,PF05773
Cre01.g038050	1	PF00072,PF00512,PF01036
Cre01.g038100	1	PF01062,PF25539
Cre01.g038150	-1	
Cre01.g038200	0	
Cre01.g038250	1	PF00282
Cre01.g038300	1	PF02536
Cre01.g038350	0	
Cre01.g038400	1	PF00262
Cre01.g038450	0	
Cre01.g038500	1	PF00067
Cre01.g038550	1	PF00534,PF13439
Cre01.g038600	1	PF00487,PF11960
Cre01.g038650	1	PF00076
Cre01.g038700	1	PF00571,PF00654
Cre01.g038750	1	PF24787
Cre01.g038800	1	PF00230
Cre01.g038850	1	PF00076,PF02037
Cre01.g038900	1	PF12146
Cre01.g038950	1	PF08806
Cre01.g039000	0	
Cre01.g039050	0	
Cre01.g039150	1	PF16166
Cre01.g039200	1	PF08477
Cre01.g039300	1	PF00076,PF00658
Cre01.g039350	1	PF00175,PF00258,PF00667
Cre01.g039400	1	PF00561
Cre01.g039450	1	PF12263
Cre01.g039500	1	PF00400,PF24883
Cre01.g039550	1	PF04755
Cre01.g039600	1	PF21547,PF24173,PF24181
Cre01.g039650	1	PF01327
Cre01.g039750	1	PF01327
Cre01.g039800	0	
Cre01.g039850	1	PF00294,PF03641
Cre01.g039900	1	PF13691,PF23023
Cre01.g039950	1	PF06813,PF23262
Cre01.g040000	1	PF00467,PF16906
Cre01.g040050	1	PF04263,PF04265
Cre01.g040100	1	PF13902
Cre01.g040150	1	PF00069
Cre01.g040200	1	PF00069,PF12202
Cre01.g040250	1	PF00226,PF12572
Cre01.g040300	1	PF01596
Cre01.g040350	1	PF00488
Cre01.g040379	1	PF13086,PF13087
Cre01.g040400	0	
Cre01.g040450	1	PF01627
Cre01.g040500	1	PF14570
Cre01.g040550	0	
Cre01.g040600	0	
Cre01.g040650	1	PF06011
Cre01.g040700	-1	
Cre01.g040750	0	
Cre01.g040800	-1	
Cre01.g040850	1	PF02415,PF06011
Cre01.g040900	0	
Cre01.g040950	1	PF02816,PF13519
Cre01.g041050	1	PF13520,PF13906
Cre01.g041100	1	PF00856
Cre01.g041150	0	
Cre01.g041200	0	
Cre01.g041256	0	
Cre01.g041300	1	PF04922
Cre01.g041350	-1	
Cre01.g041400	0	
Cre01.g041450	1	PF00481
Cre01.g041500	0	
Cre01.g041650	0	
Cre01.g041700	0	
Cre01.g041800	0	
Cre01.g041850	1	PF13896
Cre01.g041900	1	PF09749
Cre01.g041950	0	
Cre01.g042000	1	PF00023,PF00612
Cre01.g042050	1	PF01641
Cre01.g042100	0	
Cre01.g042150	1	PF02517
Cre01.g042200	0	
Cre01.g042250	0	
Cre01.g042300	1	PF00530
Cre01.g042450	1	PF13229
Cre01.g042550	1	PF07774,PF13360,PF25293
Cre01.g042700	0	
Cre01.g042750	1	PF00330,PF00694
Cre01.g042800	1	PF13460
Cre01.g042850	1	PF00173
Cre01.g042900	1	PF00398
Cre01.g042950	1	PF05255
Cre01.g043000	1	PF04055
Cre01.g043050	1	PF09335
Cre01.g043100	1	PF01894
Cre01.g043150	0	
Cre01.g043200	0	
Cre01.g043250	1	PF12849
Cre01.g043300	0	
Cre01.g043350	1	PF00355,PF08417
Cre01.g043400	0	
Cre01.g043450	0	
Cre01.g043500	1	PF10288
Cre01.g043550	1	PF03110
Cre01.g043600	0	
Cre01.g043650	0	
Cre01.g043700	1	PF10644,PF14881
Cre01.g043750	1	PF23349,PF23360,PF23361,PF23743
Cre01.g043800	0	
Cre01.g043850	1	PF07714
Cre01.g043950	0	
Cre01.g044000	0	
Cre01.g044050	1	PF05493
Cre01.g044100	1	PF01373
Cre01.g044150	1	PF05971
Cre01.g044200	0	
Cre01.g044250	1	PF13499
Cre01.g044300	1	PF12849
Cre01.g044350	1	PF07699,PF13458
Cre01.g044400	0	
Cre01.g044450	1	PF01694
Cre01.g044550	0	
Cre01.g044600	1	PF17047
Cre01.g044650	1	PF00168,PF17047
Cre01.g044700	1	PF13409,PF13410
Cre01.g044750	0	
Cre01.g044800	1	PF01228,PF02901
Cre01.g044850	1	PF13920,PF25794
Cre01.g044900	1	PF19050
Cre01.g044950	0	
Cre01.g045000	1	PF00188
Cre01.g045050	0	
Cre01.g045100	0	
Cre01.g045150	1	PF19050
Cre01.g045200	1	PF18678
Cre01.g045350	1	PF13516
Cre01.g045450	0	
Cre01.g045500	0	
Cre01.g045550	1	PF03151
Cre01.g045600	1	PF00069
Cre01.g045601	1	PF00089,PF00530
Cre01.g045640	1	PF00294
Cre01.g045650	0	
Cre01.g045700	1	PF00141
Cre01.g045800	0	
Cre01.g045850	1	PF00665,PF07727,PF22936,PF25597
Cre01.g045950	0	
Cre01.g046150	1	PF00557,PF05195
Cre01.g046450	0	
Cre01.g046600	0	
Cre01.g046650	0	
Cre01.g046850	1	PF00179,PF00627
Cre01.g046950	0	
Cre01.g047000	-1	
Cre01.g047050	0	
Cre01.g047218	1	PF10184
