# Provenance:
#   Script: /media/drn2/External/TARA-Oceans/MANUSCRIPT/.wt_ralph58/task2/scripts/pnps_analysis/download_uniprot_pfam_20260530_202800.py
#   Source: UniProt REST API (organism_id:3055, all proteins)
#   Date: 2026-05-30 20:31:01
#   Total entries: 19802
Entry	Gene Names	Pfam
P08475	RBCS2 RBCS-2	PF00101;
P09205	TUBA2	PF00091;PF03953;
P10898	psbC	PF00421;
P14273	cabII-1	PF00504;
P24258	CAH2	PF00194;
P82678	EZY3 CHLRE_11g482650v5 CHLREDRAFT_192916	
P83564	GPX PHGPX1 CHLREDRAFT_206090	PF00255;
P93664	LHCSR1 LI818 CHLRE_08g365900v5 CHLREDRAFT_184724	PF00504;
Q42496	petM petX	PF08041;
Q9ZWM5	CAO	PF08417;PF00355;
A8HPM5	PSBS2 CHLRE_01g016750v5 CHLREDRAFT_171516	
A8HQD7	CHLRE_01g029250v5	PF00351;
A8IW34	PURA CHLREDRAFT_196727	PF00709;
A8JC00	CHLREDRAFT_139581	PF01139;
A8JFU2	CFAP65 FAP65 CHLREDRAFT_153955	PF22544;PF24291;PF24507;PF25249;PF24816;
A8JGF7	LIP1 CHLREDRAFT_194766	PF16881;PF04055;
F5A894	DAB1 PF22	PF14737;PF14740;
O20031	ycf3	PF00515;
P05434		PF13499;
P0C1D4	PETN CHLREDRAFT_177155	PF03742;
P18068	PETE	PF00127;
P29683	chlN	PF00148;
P46870	KLP1	PF23735;PF00225;
P48267	rps7	PF00177;
P59763	psbI	PF02532;
Q00469	chlL frxC gidB	PF00142;
Q08365	rps3	PF00189;
Q39580		PF01221;
Q39609	NRT2.2 NAR-4 NAR4 CHLREDRAFT_192088	PF07690;
Q39617	PORA LPCR-1	PF00106;
Q42690	ALDCHL CHLREDRAFT_24459	PF00274;
Q4VKB4	BKT CBK1 CHLREDRAFT_185186	PF00487;
Q8GSP8	ZYS3	PF12796;PF00397;
Q8HTL2	rpl2	PF03947;PF00181;
Q8HUG9	rpoC1A	PF04997;
Q9SPI9	psbW	PF07123;
A0A2K3D1C8	CHLRE_13g604700v5	PF01066;
A6YCJ2	MOT1 SULTR4 CHLREDRAFT_151770	PF16983;
A8HQ54	DRC9 FAP122 CHLREDRAFT_146448	PF00612;
A8I6P9	SEC61B CHLREDRAFT_1670	PF03911;
A8IEF3	PRMT1 CHLREDRAFT_205758	PF13649;PF22528;
A8IHV3	SLT3 CHLREDRAFT_205500	PF03600;PF02080;
A8ISN6	ARL3 CHLREDRAFT_128761	PF00025;
A8J9T5	THI1 CHLREDRAFT_196899	PF01946;
A8JHD7	DRC6 FAP169 CHLRE_12g515200v5 CHLREDRAFT_160224	
H3JU05	SGT1	PF23452;PF01549;
P08681	COX1 COI COXI	PF00115;
P12356	PSAF	PF02507;
P14224	PSAG	PF01241;
P17746	tufA	PF00009;PF03144;PF03143;
P22675	ARG7	PF14698;PF00206;
P23230	petD	PF00032;
P23662	MT-CYB COB CYTB MTCYB	PF00032;PF00033;
P36437	chlB	PF00148;PF08369;
P46284	CSBP	PF00316;PF18913;
P50369	petL	PF05115;
P50566	H4-I; H4-II; H4-III	PF15511;
Q01657	RSP6	PF04712;
Q27YU0	RSP1 CHLREDRAFT_196412	PF02493;
Q39584		PF13499;
Q39592		PF00085;
Q39615	psaD	PF02531;
Q42693		PF00118;
Q42694		PF00118;
Q42695		PF00118;
Q8HTL7	rpoB2	PF00562;PF04560;
Q8VXP3	TBC2	
A8HUA1	CFAP58 FAP58 CHLREDRAFT_206234	PF21771;
A8J1V4	CFAP44 FAP44 CHLREDRAFT_149708	PF23409;PF25828;PF00400;
A8J3F6	dnaaf10 wdr92 CHLRE_16g672600v5 CHLREDRAFT_191514	PF00400;
A8JAN3	POC16 CHLRE_14g613400v5 CHLREDRAFT_18900	PF23393;PF05018;PF00400;
F8WQN2	CHLRE_03g171300v5 CHLREDRAFT_127775	PF01070;
O63075	atpI	PF00119;
P13352	PSAH	PF03244;
P49644	GAPC	PF02800;PF00044;
P50567	H2A-II; H2A-III	PF00125;PF16211;
P53498		PF00022;
Q01656	RSP4	PF04712;
Q37050	cemA ycf10	PF03040;
Q39586		PF08267;PF01717;
Q42684	SODA SOD1	PF02777;PF00081;
Q42686		PF02866;PF00056;
Q84U21	ERY2 RPL22	PF00237;
Q8HTL5	atpF	PF00430;
Q9AR22	CTH1	PF02915;
Q9FNS4	MBB1	PF13432;PF14559;
Q9LLC6	PETO	
A8HME3	FAP9 CHLREDRAFT_195877	PF08477;
A8HPM2	PSBS1 CHLRE_01g016600v5 CHLREDRAFT_196341	
A8I2V9	LIP1P CHLREDRAFT_196092	PF16881;PF04055;
A8IF44	CFAP61 FAP61 CHLREDRAFT_144011	PF23150;PF16092;
A8INQ0	ARL13 CHLREDRAFT_195529	PF00025;
A8IW99	CHLREDRAFT_190403	PF13091;
A8IYS6	CFAP300 FBB5 CHLRE_12g556300v5 CHLREDRAFT_190937	PF14926;
A8J0N6	DRC10 FAP84 CHLRE_02g141350v5 CHLREDRAFT_184245	
B5BUZ8	pf13	PF08190;PF18201;
P27080	ABT	PF00153;
P31683	ENO	PF00113;PF03952;
P36495	ycf78	
P41758		PF00162;
P48270	rps4	PF00163;PF01479;
Q08362	petG	PF02529;
Q08363	psbF	PF00283;
Q27YU7	RSP5 CHLREDRAFT_190792	PF00248;
Q2XQY7	IFT57 CHLREDRAFT_98642	PF10498;
Q39604	IDA4 P28 CHLREDRAFT_132451	PF10211;
Q42682	HEMB ALAD	PF00490;
Q5DM57	IFT172 FLA11 CHLREDRAFT_183240	PF24762;PF23387;PF00400;
Q6QJE2	SULP2 CHLREDRAFT_116547	PF00528;
Q8HTL6	rpoB1	PF04563;PF04561;PF04565;
Q8HUH0	rpoC1B	PF04997;PF00623;PF04983;
Q8HUH2	rpoA	PF01000;
Q8LKI3	ALB3.2	PF02096;
Q8RVC7	SULP1 SULP CHLREDRAFT_128906	PF00528;
Q8S339	ALB3.1	PF02096;
Q8W1K8	Mut11	PF25175;
Q9FPQ6	GP1	
Q9STD3		PF00262;
A0A2K3DMP5	PSBR CHLRE_06g261000v5	PF04725;
A8HYU5	METM CHLREDRAFT_182408	PF02773;PF02772;PF00438;
A8IHT2	DRC11 FAP82 CHLREDRAFT_169559	PF00612;
A8IRK7	CFAP251 FAP251 CHLREDRAFT_145396	
A8J3A0	DRC8 FAP200 CHLRE_16g676645v5 CHLREDRAFT_174407	PF13499;
A8J666	CFAP54 FAP54 CHLREDRAFT_150841	PF14858;
A8J8F6	CHLREDRAFT_24358	PF03148;
A8JF71	NCS6 CTU1 CHLREDRAFT_153738	PF01171;PF16503;
P12352	PSAE	PF02427;
P14149	rps12	PF00164;
P14217	AS	PF00884;
P15451	CYC1	PF00034;
P23489		PF00004;PF21228;
P38482	ATP2	PF00006;PF02874;PF22919;
P50370	psb30 ycf12	PF05969;
P51821	ARF1	PF00025;
P81831	Ppc1	PF00311;
P92276	psbZ ycf9	PF01737;
Q39566	GSA	PF00202;
Q39582	TUBG TBG1 TUBC	PF00091;PF03953;
Q39591		PF00085;
Q42688	GLN1	PF00120;PF03951;
Q42689	GLN2	PF00120;PF03951;
Q9FEC4	RAA3	
Q9LEM8	NAC2	PF13432;
A0A2K3CNL6	CLPS1 CHLRE_17g696400v5 CHLREDRAFT_170547	PF02617;
A0A2K3E7S8	CHLRE_01g047229v5	PF05600;
A8IB25	CHLREDRAFT_126059	PF00318;
A8J0J0	CHLREDRAFT_174358	PF01553;
A8JAF2	CFAP43 FAP43 CHLREDRAFT_193355	PF25828;PF00400;
A8JBB2	CHLREDRAFT_206018	PF06732;
P11471	PSBP	PF01789;
P25840	HSP70	PF00012;
P26565	rpl20	PF00453;
P37255	psbB	PF00421;
Q39572	YPTC6	PF00071;
Q8HTL3	rpl23	PF00276;
Q94EY2	PR46a	PF03671;
A8HS48	CHLREDRAFT_168484	PF01015;
A8IB22	CFAP77 FAP77 CHLREDRAFT_181854	PF14825;
A8ID74	CHLREDRAFT_111274	PF08145;PF00400;
A8J353	CLPT4 CHLRE_03g144667v5 CHLREDRAFT_175283	PF02861;
O20029	rps9	PF00380;
O20030	ycf4	PF02392;
P25387	GBLP	PF00400;
P47903	RPS27	PF01667;
P49213	RPL44 RPL41	PF00935;
P50881	RPL11	PF00281;PF00673;
P59776	rps19	PF00203;
P92277	psbM	PF05151;
Q32065		
Q39618		PF06705;
Q7YKX3	rps11	PF00411;
Q8HTL1	rpl5	PF00281;PF00673;
Q8HUH1	rps2-2	PF00318;
A8HNV0	RSP14 FAP132 CHLREDRAFT_172252	
A8HYP5	IFT43 MOT41 CHLREDRAFT_142470	PF15305;
A8I9E8	CFAP45 FAP45 CHLREDRAFT_206096	PF13868;
A8ID95	CLPT3 CHLRE_10g417550v5 CHLREDRAFT_195805	PF02861;
A8IGK2	EFTS EFT2 CHLREDRAFT_169416	PF00889;
A8ILK1	CFAP52 FAP52 CHLREDRAFT_128114	PF00400;PF23342;
A8IUG5	CFAP99 FAP99 CHLREDRAFT_190721	
A8IZG4	CHLREDRAFT_130093	PF00400;
O20032	rps18	PF01084;
P05726	rpl16	PF00252;
P08739	ND5 NAD5	PF00361;PF00662;
P08740	ND2 NAD2	PF00361;
P10329	ND6 NAD6	PF00499;
P11094	rpl14	PF00238;
P29763		PF00428;
P45841	RPL31	PF01198;
P46295	RPS14 CRY1	PF00411;
P49202	RPS18	PF00416;
P50884	RPL12	PF00298;PF03946;
P59774	rpl36	PF00444;
Q06480	psbN	PF02468;
Q39570	YPTC4	PF00071;
Q39571	YPTC1	PF00071;
Q39573	YPTC5	PF00071;
Q39579		PF01221;
Q6R2V6	Ppc2	PF00311;
A0A2K3DDJ2	POB15 CHLRE_09g390450v5	
A8IR43	CHLREDRAFT_128420	PF08154;PF00400;
A8IRJ7	CFAP53 FAP53 CHLREDRAFT_196792	PF13868;
A8IVJ1	CFAP126 FAP126 FLTP CHLREDRAFT_190291	PF22611;
A8JID5	CFAP157 FAP157 CHLREDRAFT_180708	
A8JJB2	CHLREDRAFT_109356	PF02597;
O19930	psbJ	PF01788;
P14225	PSAK	PF01241;
P32974	psbL	PF02419;
P37256	psbT ycf8	PF01405;
P37836	PFL	PF01228;PF02901;
P59775	rps8	PF00410;
P93107	PF20	PF00400;
Q39593	SAC1	PF03600;PF02080;
Q9SW75	RPL10A	PF00687;
A8IC48	URM1 CHLREDRAFT_111518	PF09138;
A8JGV8	CLPS2 CHLRE_12g559150v5 CHLREDRAFT_180207	
O47027	rps2-1	PF00318;PF01938;
P11658	ND1 NAD1	PF00146;
P12811		PF00011;
P12852	PSBQ	PF05757;
P12853	PSBO	PF01716;
P20113	ND4 NAD4	PF00361;
P59777	psaJ	PF01701;
Q9GGE2	rps14	PF00253;
P11660	RTL	PF00078;
P35006		
P05723		
P36443		
P37825		
Q08356	Ezy-1	
P05724		
Q08354	Ezy-1	
P05722		
P52908		PF00244;
Q08355	Ezy-1	
Q32063		
A0A0S2C767	PAM CHLRE_03g152850v5	PF03712;PF01082;PF01436;
A0A218N8L3	psbA	PF00124;
A0A218N8Q0	psbA	PF00124;
A0A2K3CNJ5	CHLRE_18g749447v5	PF00696;PF22468;PF00742;PF03447;
A0A2K3D151	CHLRE_13g592200v5	PF14691;PF00310;PF04898;PF01645;PF01493;PF07992;
A0A2K3D9D3	COQ3 CHLRE_10g423750v5	PF13489;
A0A2K3DF32	MOCS3 CNX5 UBA4 CHLRE_09g402034v5	PF00581;PF00899;
A0A2K3DHV3	CHLRE_08g378200v5	PF10590;PF01243;PF03853;
A0A2K3DLH9	CHLRE_07g354100v5	PF00583;PF23613;PF04055;PF16199;
A0A2K3E2W1	CHLRE_02g109550v5	PF00742;PF03447;
A8I1P3	CHLRE_10g465900v5	PF00069;
A8J5A5	CHLRE_12g528500v5	PF00293;
A8JEL2	CHLRE_02g095089v5	PF01725;
A0A218N887	psaA	PF00223;
A0A218N898	chlN	PF00148;
A0A218N8A3	rbcL	PF00016;PF02788;
A0A218N8C6	psbE	PF00283;PF00284;
A0A218N8D8	chlB	PF00148;PF08369;
A0A218N8D9	rpoC2	PF04983;PF05000;PF04998;
A0A218N8E8	chlL	PF00142;
A0A218N8F8	psbD	PF00124;
A0A218N8J0	petB	PF00033;
A0A218N8K1	psaC	PF12838;
A0A218N8K2	psbC	PF00421;
A0A218N8L5	psaA	PF00223;
A0A218N8M3	atpH	PF00137;
A0A218N8M5	chlB	PF00148;PF08369;
A0A218N8X5	psbF	PF00283;
A0A218N8Y7	psaA	PF00223;
A0A218N995	rpoB	PF04563;PF04561;PF04565;
A0A218N9A0	atpB	PF00006;PF02874;PF22919;
A0A218N9C9	psaA	PF00223;
A0A218N9D5	psaB	PF00223;
A0A220IUF1	HSP90B CHLRE_02g080650v5	PF13589;PF00183;
A0A2K3CNS7	CHLRE_17g698650v5	PF01019;
A0A2K3CP89	CHLRE_17g705150v5	PF03121;
A0A2K3CPA2	CHLRE_17g706300v5	PF06733;PF06777;PF13307;
A0A2K3CPG8	CHLRE_17g709850v5	PF00871;
A0A2K3CPY4	CHLRE_17g715900v5	PF00186;PF00303;
A0A2K3CQ68	CHLRE_17g718850v5	PF04057;PF08646;PF16900;PF01336;
A0A2K3CQF8	CHLRE_17g723150v5	PF04137;
A0A2K3CQT2	CHLRE_17g728700v5	PF00023;PF12796;PF00069;
A0A2K3CR34	CHLRE_17g732802v5	PF01557;PF09298;
A0A2K3CR84	PURA CHLRE_17g734100v5	PF00709;
A0A2K3CRU5	CHLRE_17g742250v5	PF00069;
A0A2K3CS97	CHLRE_16g695050v5	PF00725;PF02737;PF00378;
A0A2K3CSB8	CHLRE_16g694850v5	PF01960;
A0A2K3CSG3	CHLRE_16g693202v5	PF01077;PF03460;
A0A2K3CSQ1	CHLRE_16g647602v5	PF00271;PF01189;PF21148;PF21153;PF00176;
A0A2K3CT80	CHLRE_16g656500v5	PF13246;PF00122;PF16212;PF16209;
A0A2K3CT86	CHLRE_16g656500v5	PF13246;PF00122;PF16212;PF16209;
A0A2K3CTH8	CHLRE_16g660350v5	PF21315;PF21170;PF08774;
A0A2K3CTL5	CHLRE_16g661100v5	PF00069;
A0A2K3CTN1	CHLRE_16g663100v5	PF00953;
A0A2K3CTT9	CHLRE_16g665400v5	PF01423;
A0A2K3CTV4	NCS6 CTU1 CHLRE_16g666100v5	PF01171;PF16503;
A0A2K3CU03	CHLRE_16g672041v5	PF02475;PF25133;
A0A2K3CUB3	CHLRE_16g669550v5	PF01053;PF02615;
A0A2K3CV07	CHLRE_16g681750v5	PF13246;PF00689;PF00690;PF00122;PF08282;
A0A2K3CV13	CHLRE_16g681850v5	PF00485;PF14681;
A0A2K3CV15	CHLRE_16g681750v5	PF13246;PF00689;PF00690;PF00122;PF08282;
A0A2K3CVJ1	CHLRE_16g673550v5	PF01636;PF01008;
A0A2K3CVQ1	CHLRE_16g672497v5	PF00225;
A0A2K3CVR1	CHLRE_16g673393v5	PF00270;PF00271;PF16124;
A0A2K3CWR0	GCP1 CHLRE_15g639400v5	PF01230;PF00814;PF02367;
A0A2K3CWR4	GCP1 CHLRE_15g639400v5	PF01230;PF00814;PF02367;
A0A2K3CWZ6	CHLRE_15g643550v5	PF01680;
A0A2K3CX88	CHLRE_14g611150v5	PF01423;
A0A2K3CXN4	CHLRE_14g616200v5	PF05007;
A0A2K3CXW7	CHLRE_14g619825v5	PF21180;PF04406;
A0A2K3CY54	CHLRE_14g623300v5	PF00258;PF04055;PF08608;
A0A2K3CY97	CHLRE_14g624950v5	PF12774;PF12775;PF12780;PF12781;PF18198;PF08385;PF08393;PF25007;PF22597;PF17852;PF18199;PF03028;PF12777;
A0A2K3CYB9	CHLRE_14g625802v5	PF13923;
A0A2K3CYC9	CHLRE_14g626900v5	PF03332;
A0A2K3CYD2	CHLRE_14g625625v5	PF00004;PF17862;PF01434;
A0A2K3CYZ5	CHLRE_13g561900v5	PF01351;
A0A2K3CZ51	CHLRE_13g564250v5	PF22591;PF01399;
A0A2K3CZ88	CHLRE_13g565450v5	PF08328;PF00206;
A0A2K3CZE0	CHLRE_13g566000v5	PF01268;
A0A2K3CZF3	CHLRE_13g567950v5	PF25247;PF00483;
A0A2K3CZG7	CHLRE_13g568450v5	PF00225;
A0A2K3CZL2	CHLRE_13g568600v5	PF00328;
A0A2K3CZU9	CHLRE_13g573800v5	PF00485;PF14681;
A0A2K3D0A3	CHLRE_13g578150v5	PF03737;
A0A2K3D0C5	CHLRE_13g580900v5	PF01163;
A0A2K3D0P6	CHLRE_13g585900v5	PF09127;PF01433;PF17900;
A0A2K3D138	CHLRE_13g591400v5	PF01937;PF03630;
A0A2K3D1L5	CHLRE_13g607300v5	PF00069;
A0A2K3D1N8	CHLRE_12g484250v5	PF12774;PF12775;PF12780;PF12781;PF17857;PF18198;PF08385;PF08393;PF17852;PF18199;PF03028;PF12777;
A0A2K3D1T4	NBP35 CHLRE_12g494400v5	PF10609;
A0A2K3D275	CHLRE_12g490150v5	PF00270;PF00271;PF00570;PF16124;PF09382;
A0A2K3D2H5	CHLRE_12g512250v5	PF01612;PF00570;
A0A2K3D2M3	CHLRE_12g510100v5	PF03416;
A0A2K3D2P4	CHLRE_12g509000v5	PF00069;
A0A2K3D2Z5	CHLRE_12g505350v5	PF13246;PF00689;PF00690;PF00122;PF08282;
A0A2K3D356	CHLRE_12g502350v5	PF00270;PF00271;
A0A2K3D3L7	CHLRE_12g514050v5	PF00310;PF04898;PF01645;PF01493;
A0A2K3D4E8	CHLRE_12g525950v5	PF00069;
A0A2K3D4L6	CHLRE_12g528100v5	PF18027;PF00246;
A0A2K3D4L9	CHLRE_12g528200v5	PF13086;PF13087;PF08696;
A0A2K3D4M3	CHLRE_12g528550v5	PF02544;
A0A2K3D4Q6	CHLRE_12g529500v5	PF11861;PF01728;PF07780;
A0A2K3D4U7	CHLRE_12g531150v5	PF01261;PF00294;
A0A2K3D4U9	CHLRE_12g531700v5	PF19326;
A0A2K3D560	CHLRE_12g536000v5	PF13246;PF16212;PF16209;
A0A2K3D566	CHLRE_12g536050v5	PF13246;PF16212;PF16209;
A0A2K3D577	CHLRE_12g537100v5	PF08264;PF00043;PF00133;
A0A2K3D589	CHLRE_12g537400v5	PF00069;
A0A2K3D5N3	CHLRE_12g558400v5	PF01702;
A0A2K3D5X4	CHLRE_12g555050v5	PF02732;
A0A2K3D634	CHLRE_12g551850v5	PF00667;PF00258;PF00175;
A0A2K3D660	CHLRE_12g550800v5	PF00533;PF00817;PF11799;PF21999;PF14377;
A0A2K3D697	CHLRE_12g549800v5	PF00069;
A0A2K3D6E8	CHLRE_12g547750v5	PF05889;
A0A2K3D6K5	CHLRE_12g545101v5	PF01315;PF03450;PF00941;PF00111;PF01799;PF02738;PF20256;
A0A2K3D6Q9	CHLRE_12g543350v5	PF08240;PF00107;
A0A2K3D6R4	CHLRE_12g543400v5	PF08240;PF00107;
A0A2K3D6S1	CHLRE_12g542800v5	PF04563;PF04561;PF04565;PF04566;PF04567;PF00562;PF04560;
A0A2K3D744	CHLRE_12g553253v5	PF03121;
A0A2K3D806	CHLRE_11g467766v5	PF01139;
A0A2K3D835	CHLRE_11g467795v5	PF13246;PF00689;PF00690;PF00122;PF08282;
A0A2K3D8A4	CHLRE_11g475450v5	PF02099;PF00789;PF02809;
A0A2K3D8B6	CHLRE_11g475350v5	PF20922;PF05093;
A0A2K3D9E8	CHLRE_10g424500v5	PF00294;
A0A2K3D9N6	CHLRE_10g428550v5	PF01288;PF00809;
A0A2K3D9Y9	CHLRE_10g432650v5	PF05652;PF11969;
A0A2K3DAF4	CHLRE_10g439600v5	PF05879;PF20428;
A0A2K3DAH5	CHLRE_10g440750v5	PF00204;PF00986;PF02518;PF01751;
A0A2K3DAM3	CHLRE_10g442850v5	PF00505;PF01131;PF01751;PF13368;PF01396;
A0A2K3DAW0	KATNAL2 CHLRE_10g446400v5	PF00004;PF17862;
A0A2K3DB71	CHLRE_10g451400v5	PF00994;PF03454;PF03453;
A0A2K3DBH2	MCM7 CHLRE_10g455850v5	PF00493;PF17855;PF14551;PF17207;
A0A2K3DCK6	CHLRE_09g404650v5	PF08700;
