locus_tag	has_pfam	pfam_domains
Syncc9902_0524	yes	PF02875;PF08245;PF21799
Syncc9902_0531	yes	PF14495
Syncc9902_0532	yes	PF23023;PF12706
Syncc9902_0542	yes	PF20772;PF01709
Syncc9902_0545	yes	PF01016
Syncc9902_0546	yes	PF00829
Syncc9902_0553	yes	PF01259
Syncc9902_0556	yes	PF07977
Syncc9902_0561	yes	PF00883;PF02789
Syncc9902_0567	yes	PF22421;PF00579
Syncc9902_0570	yes	PF00215
Syncc9902_0572	yes	PF02660
Syncc9902_0592	yes	PF22042;PF00009;PF11987;PF04760
Syncc9902_0595	yes	PF02576
Syncc9902_0601	yes	PF06026
Syncc9902_0603	yes	PF01649
Syncc9902_0605	yes	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
Syncc9902_0606	yes	PF04997;PF00623;PF04983
Syncc9902_0607	yes	PF04983;PF05000;PF04998
Syncc9902_0609	yes	PF04055;PF21016
Syncc9902_0617	yes	PF02527
Syncc9902_0644	yes	PF14714;PF01926
Syncc9902_0648	yes	PF04472
Syncc9902_0651	yes	PF03079
Syncc9902_0659	yes	PF21948
Syncc9902_0663	yes	PF02547
Syncc9902_0668	yes	PF00124
Syncc9902_0669	yes	PF02392
Syncc9902_0674	yes	PF08041
Syncc9902_0689	yes	PF08436;PF02670;PF13288
Syncc9902_0692	yes	PF09190;PF01406
Syncc9902_0712	yes	PF02075
Syncc9902_0719	yes	PF00117
Syncc9902_0727	yes	PF22617;PF00682;PF08502
Syncc9902_0737	yes	PF00763;PF02882
Syncc9902_0745	yes	PF00708
Syncc9902_0751	yes	PF02518;PF00512;PF07689
Syncc9902_0777	yes	PF00977
Syncc9902_0783	yes	PF03652
Syncc9902_0786	yes	PF00696;PF01472
Syncc9902_0787	yes	PF00132;PF04613
Syncc9902_0788	yes	PF00180
Syncc9902_0793	yes	PF01039;PF17848
Syncc9902_0800	yes	PF13507
Syncc9902_0821	yes	PF00156
Syncc9902_0826	yes	PF05173;PF01113
Syncc9902_0830	yes	PF00121
Syncc9902_0879	yes	PF16123;PF00753
Syncc9902_0880	yes	PF01634
Syncc9902_0886	yes	PF00308;PF08299;PF11638
Syncc9902_0892	yes	PF01979
Syncc9902_0894	yes	PF10716
Syncc9902_0896	yes	PF00290
Syncc9902_0918	yes	PF01208
Syncc9902_0919	yes	PF00128;PF02806;PF02922;PF22019
Syncc9902_0927	yes	PF00171
Syncc9902_0932	yes	PF08544;PF00288
Syncc9902_0935	yes	PF03129;PF00587;PF07973
Syncc9902_0943	yes	PF00124
Syncc9902_0963	yes	PF01165
Syncc9902_1056	yes	PF03742
Syncc9902_1058	yes	PF11264
Syncc9902_1059	yes	PF00574
Syncc9902_1069	yes	PF13292;PF02779;PF02780
Syncc9902_1081	yes	PF00830
Syncc9902_1085	yes	PF13393
Syncc9902_1089	yes	PF00005
Syncc9902_1095	yes	PF22645
Syncc9902_1105	yes	PF00342
Syncc9902_1106	yes	PF08264;PF00133;PF13603;PF09334
Syncc9902_1113	yes	PF01467
Syncc9902_1115	yes	PF01541;PF14520;PF02151;PF22920;PF08459
Syncc9902_1135	yes	PF03483;PF03484;PF03147;PF01588;PF17759
Syncc9902_1136	yes	PF00471
Syncc9902_1137	yes	PF01084
Syncc9902_1145	yes	PF03040
Syncc9902_1151	yes	PF03699
Syncc9902_1153	yes	PF01783
Syncc9902_1168	yes	PF02911;PF00551
Syncc9902_1179	yes	PF04551;PF26540
Syncc9902_1195	yes	PF01430
Syncc9902_1222	yes	PF24877;PF00920
Syncc9902_1228	yes	PF00745;PF05201;PF01488
Syncc9902_1229	yes	PF03320
Syncc9902_1231	yes	PF01578
Syncc9902_1246	yes	PF00889
Syncc9902_1247	yes	PF00318
Syncc9902_1253	yes	PF05996
Syncc9902_1273	yes	PF03912
Syncc9902_1282	yes	PF08544;PF00288
Syncc9902_1283	yes	PF00398
Syncc9902_1284	yes	PF02021
Syncc9902_1287	yes	PF02590
Syncc9902_1298	yes	PF14520;PF07499;PF01330
Syncc9902_1299	yes	PF00312
Syncc9902_1302	yes	PF01425
Syncc9902_1308	yes	PF02885;PF00591
Syncc9902_1324	yes	PF04029
Syncc9902_1326	yes	PF00275
Syncc9902_1328	yes	PF00132;PF12804
Syncc9902_1331	yes	PF08323;PF00534
Syncc9902_1334	yes	PF02775;PF16582;PF02776
Syncc9902_1394	yes	PF06968;PF04055
Syncc9902_1395	yes	PF00581;PF17773
Syncc9902_1399	yes	PF21175;PF21176;PF02132;PF13662
Syncc9902_1414	yes	PF03740
Syncc9902_1425	yes	PF01134
Syncc9902_1499	yes	PF01975
Syncc9902_1516	yes	PF00886
Syncc9902_1521	yes	PF03054;PF20258;PF20259
Syncc9902_1529	yes	PF00218
Syncc9902_1540	yes	PF04055;PF01938;PF00919
Syncc9902_1541	yes	PF07478;PF01820
Syncc9902_1545	yes	PF02548
Syncc9902_1549	yes	PF00574
Syncc9902_1550	yes	PF01450;PF07991
Syncc9902_1561	yes	PF02091
Syncc9902_1571	yes	PF00977
Syncc9902_1582	yes	PF00679;PF00009;PF03144;PF06421
Syncc9902_1584	yes	PF06039
Syncc9902_1589	yes	PF01809
Syncc9902_1590	yes	PF00163;PF01479
Syncc9902_1594	yes	PF02545
Syncc9902_1614	yes	PF00016;PF02788
Syncc9902_1619	yes	PF00148
Syncc9902_1620	yes	PF00148;PF08369
Syncc9902_1621	yes	PF00142
Syncc9902_1625	yes	PF07465
Syncc9902_1633	yes	PF03255
Syncc9902_1648	yes	PF00696
Syncc9902_1649	yes	PF01765
Syncc9902_1665	yes	PF03129;PF00587
Syncc9902_1667	yes	PF00709
Syncc9902_1674	yes	PF00696
Syncc9902_1680	yes	PF01379;PF03900
Syncc9902_1701	yes	PF00202
Syncc9902_1708	yes	PF04461
Syncc9902_1716	yes	PF01245
Syncc9902_1719	yes	PF19269;PF00749
Syncc9902_1727	yes	PF00814
Syncc9902_1729	yes	PF01701
Syncc9902_1730	yes	PF00625
Syncc9902_1734	yes	PF00355;PF25471
Syncc9902_1735	yes	PF01333;PF16639
Syncc9902_1736	yes	PF01790
Syncc9902_1742	yes	PF01128
Syncc9902_1747	yes	PF00118
Syncc9902_1752	yes	PF01040
Syncc9902_1766	yes	PF00361
Syncc9902_1784	yes	PF00468
Syncc9902_1785	yes	PF00825
Syncc9902_1791	yes	PF02403;PF00587
Syncc9902_1793	yes	PF00253
Syncc9902_1794	yes	PF00013;PF03726;PF01138;PF03725;PF00575
Syncc9902_1814;	yes	PF00124
Syncc9902_1817;	yes	PF00124
Syncc9902_1819	yes	PF24827;PF04952
Syncc9902_1824	yes	PF01018;PF01926
Syncc9902_1833	yes	PF01220
Syncc9902_1842	yes	PF02427
Syncc9902_1844	yes	PF01008
Syncc9902_1846	yes	PF00702
Syncc9902_1848	yes	PF00032
Syncc9902_1849	yes	PF00033
Syncc9902_1854	yes	PF03776
Syncc9902_1862	yes	PF05151
Syncc9902_1865	yes	PF01405
Syncc9902_1866	yes	PF03477;PF22811
Syncc9902_1869	yes	PF02773;PF02772;PF00438
Syncc9902_1906	yes	PF05996
Syncc9902_1907	yes	PF05996
Syncc9902_1914	yes	PF02224;PF02569
Syncc9902_1916	yes	PF00586;PF02769
Syncc9902_1926	yes	PF01218
Syncc9902_1949	yes	PF21096;PF00154
Syncc9902_1953	yes	PF11909
Syncc9902_1955	yes	PF00297
Syncc9902_1956	yes	PF00573
Syncc9902_1957	yes	PF00276
Syncc9902_1958	yes	PF03947;PF00181
Syncc9902_1959	yes	PF00203
Syncc9902_1960	yes	PF00237
Syncc9902_1961	yes	PF07650;PF00189
Syncc9902_1962	yes	PF00252
Syncc9902_1963	yes	PF00831
Syncc9902_1964	yes	PF00366
Syncc9902_1965	yes	PF00238
Syncc9902_1966	yes	PF00467;PF17136
Syncc9902_1967	yes	PF00281;PF00673
Syncc9902_1968	yes	PF00410
Syncc9902_1969	yes	PF00347
Syncc9902_1970	yes	PF00861
Syncc9902_1971	yes	PF00333;PF03719
Syncc9902_1972	yes	PF00828
Syncc9902_1974	yes	PF00406
Syncc9902_1975	yes	PF00444
Syncc9902_1976	yes	PF00416
Syncc9902_1977	yes	PF00411
Syncc9902_1978	yes	PF01000;PF03118;PF01193
Syncc9902_1979	yes	PF01196
Syncc9902_1980	yes	PF01416
Syncc9902_1981	yes	PF00572
Syncc9902_1982	yes	PF00380
Syncc9902_1983	yes	PF01197
Syncc9902_1984	yes	PF03462;PF00472
Syncc9902_1994	yes	PF00223
Syncc9902_1995	yes	PF00223
Syncc9902_2001	yes	PF13640
Syncc9902_2019	yes	PF00164
Syncc9902_2020	yes	PF00177
Syncc9902_2021	yes	PF00679;PF14492;PF03764;PF00009;PF03144
Syncc9902_2022	yes	PF00009;PF03144;PF03143
Syncc9902_2023	yes	PF00338
Syncc9902_2028	yes	PF01351
Syncc9902_2031	yes	PF00155
Syncc9902_2032	yes	PF02617
Syncc9902_2036	yes	PF00124
Syncc9902_2040	yes	PF01264
Syncc9902_2051	yes	PF00185;PF02729
Syncc9902_2057	yes	PF02686
Syncc9902_2064	yes	PF02390
Syncc9902_2067	yes	PF02878;PF02879;PF02880;PF00408
Syncc9902_2079	yes	PF01195
Syncc9902_2081	yes	PF00737
Syncc9902_2082	yes	PF02468
Syncc9902_2084	yes	PF02532
Syncc9902_2088	yes	PF00330
Syncc9902_2089	yes	PF02464;PF18146;PF00994
Syncc9902_2091	yes	PF00464
Syncc9902_2097	yes	PF01628
Syncc9902_2098	yes	PF00291
Syncc9902_2111	yes	PF01795
Syncc9902_2112	yes	PF00346
Syncc9902_2116	yes	PF13279
Syncc9902_2126	yes	PF02130
Syncc9902_2134	yes	PF03485;PF05746;PF00750
Syncc9902_2136	yes	PF01926;PF12631;PF10396
Syncc9902_2143	yes	PF00162
Syncc9902_2147	yes	PF04101;PF03033
Syncc9902_2153	yes	PF00542;PF16320
Syncc9902_2154	yes	PF00466
Syncc9902_2155	yes	PF00687
Syncc9902_2156	yes	PF00298;PF03946
Syncc9902_2161	yes	PF00113;PF03952
Syncc9902_2167	yes	PF01121
Syncc9902_2169	yes	PF02934;PF02637
Syncc9902_2171	yes	PF00334
Syncc9902_2173	yes	PF02272;PF01411;PF07973
Syncc9902_2188	yes	PF21478;PF02347
Syncc9902_2189	yes	PF01597
Syncc9902_2193	yes	PF03948;PF01281
Syncc9902_2197	yes	PF01134;PF21680;PF13932
Syncc9902_2205	yes	PF00533;PF01653;PF03119;PF12826;PF14520;PF03120
Syncc9902_2232	yes	PF01571;PF08669
Syncc9902_2233	yes	PF02938;PF00152;PF01336
Syncc9902_2235	yes	PF06418;PF00117
Syncc9902_2238	yes	PF06508
Syncc9902_2251	yes	PF02492
Syncc9902_2254	yes	PF01774
Syncc9902_2255	yes	PF00547
Syncc9902_2256	yes	PF00699
Syncc9902_2257	yes	PF01979;PF00449
Syncc9902_2269	yes	PF06463;PF04055
Syncc9902_2276	yes	PF01967
Syncc9902_2306	yes	PF01250
Syncc9902_2308	yes	PF20979;PF00764
Syncc9902_2311	yes	PF00953;PF10555
Syncc9902_2314	yes	PF02222;PF21244;PF22660
