Locus Tag	Description	dN/dS	dN	dS	%min5Xcov	%min1Xcov	avg read depth	dN/dS vs CC9311	dN/dS 70_70	dN/dS PAML
sync_0041	possible methyl-accepting chemotaxis protein	0.441	0.034	0.076	57.39	100.0	5.072	0.248	0.441	0.243793656368046
sync_0042	hypothetical protein	0.149	0.036	0.245	100.0	100.0	12.275	0.172	0.149	0.221872289739146
sync_0043	hypothetical protein	0.328	0.044	0.133	100.0	100.0	10.184	0.297	0.328	0.307878483403926
sync_0045	soluble hydrogenase, tritium exchange subunit, putative	0.088	0.016	0.182	92.47	100.0	8.547	0.083	0.088	0.11469041059173
sync_0046	cobalamin biosynthesis protein CbiD	0.205	0.035	0.171	58.42	97.39	4.868	0.231	0.2	0.388479280153321
sync_0047	GMP synthase, glutamine-hydrolyzing (EC:6.3.5.2 )	0.047	0.014	0.301	99.12	100.0	18.987	0.055	0.048	0.0404110129868772
sync_0048	hypothetical protein	NaN	0.0	0.0	0.0	23.88	0.239	NaN	NaN	NaN
sync_0049	Predicted membrane protein	0.072	0.011	0.158	100.0	100.0	10.164	0.07	0.074	0.0286555514270246
sync_0050	hypothetical protein	0.171	0.024	0.139	100.0	100.0	10.217	0.199	0.193	0.103316558851947
sync_0051	Putative penicillin-binding protein	0.059	0.013	0.219	100.0	100.0	15.468	0.063	0.059	0.0414118774826262
sync_0052	glycosyl transferase, group 1 family protein (EC:2.4.1.- )	0.037	0.007	0.182	99.83	100.0	10.717	0.04	0.045	0.0859176952808948
sync_0053	sulfolipid biosynthesis protein SqdB	0.052	0.012	0.241	100.0	100.0	15.955	0.047	0.052	0.0970295786233333
sync_0054	possible high light inducible protein	0.159	0.011	0.07	100.0	100.0	11.923	0.119	0.159	0.0
sync_0055	thiamin biosynthesis protein (EC:1.5.3.- )	0.029	0.003	0.107	68.74	100.0	6.084	0.035	0.029	0.479932780174356
sync_0056	hypothetical protein	0.13	0.012	0.091	90.24	100.0	7.917	0.135	0.13	0.0727126276361865
sync_0057	putative photosystem I assembly related protein Ycf37	0.064	0.01	0.161	71.88	100.0	5.083	0.062	0.064	0.0464726922999196
sync_0058	ribosomal protein L20	0.0	0.0	0.09	67.53	100.0	4.845	0.022	0.0	0.0
sync_0059	ribosomal protein L35	Inf	0.006	0.0	71.72	99.49	8.116	Inf	Inf	1.72298763720469
sync_0060	SpoIID/LytB domain protein	0.222	0.019	0.085	73.65	100.0	6.314	0.231	0.23	0.281300384429816
sync_0061	glycosyl transferase, group 2 family protein (EC:2.4.1.- )	0.108	0.01	0.095	74.22	100.0	6.099	0.092	0.108	0.0980865346178462
sync_0062	DNA polymerase III, subunits gamma and tau (EC:2.7.7.7 )	0.095	0.013	0.141	75.16	89.49	7.077	0.089	0.108	0.0980142525558936
sync_0063	hypothetical protein	0.158	0.022	0.14	100.0	100.0	9.739	0.157	0.158	0.649682142820899
sync_0064	ATP-dependent Clp protease, ATP-binding subunit ClpX	0.044	0.008	0.19	100.0	100.0	12.633	0.042	0.044	0.128811212448448
sync_0065	ATP-dependent Clp protease, proteolytic subunit ClpP (EC:3.4.21.92 )	0.059	0.011	0.183	100.0	100.0	13.604	0.056	0.073	0.257587974911729
sync_0066	trigger factor (EC:5.2.1.8 )	0.05	0.005	0.103	98.0	100.0	10.535	0.052	0.049	0.0466318228562131
sync_0067	aspartate-semialdehyde dehydrogenase (EC:1.2.1.11 )	0.081	0.014	0.169	99.71	100.0	11.792	0.089	0.081	0.120662072338
sync_0068	dihydrodipicolinate synthase (EC:4.2.1.52 )	0.092	0.013	0.138	93.73	100.0	7.226	0.09	0.092	0.115879333017443
sync_0069	metallo-beta-lactamase family protein	0.016	0.002	0.101	62.33	97.74	5.806	0.016	0.016	0.0127011585341498
sync_0070	hypothetical protein	0.035	0.006	0.186	22.33	75.31	3.014	0.032	0.035	1.40515680975048
sync_0071	possible MesJ homolog	0.241	0.035	0.147	71.59	97.59	6.514	0.24	0.263	0.738173070935014
sync_0072	hypothetical protein	0.092	0.016	0.171	72.87	87.6	5.868	0.076	0.091	0.0893361014774818
sync_0073	hypothetical protein	0.039	0.007	0.169	34.98	100.0	4.052	0.036	0.039	0.00682885189927443
sync_0074	excinuclease ABC, B subunit	0.038	0.01	0.27	94.51	100.0	8.47	0.039	0.038	0.0235337842358305
sync_0075	asparate kinase, monofunctional class (EC:2.7.2.4 )	0.038	0.006	0.157	77.45	92.13	6.552	0.047	0.037	0.158680953166137
sync_0076	Curli production assembly/transport component CsgG subfamily protein	0.106	0.015	0.143	16.45	96.03	2.514	0.118	0.106	0.0372500563253351
sync_0077	DNA polymerase III, delta subunit (EC:2.7.7.7 )	0.033	0.006	0.18	23.55	98.27	3.179	0.051	0.033	0.400304469135832
sync_0078	precorrin-8X methylmutase (EC:5.4.1.2 )	0.073	0.008	0.11	42.73	100.0	4.094	0.088	0.073	0.00692393849913451
sync_0079	DNA mismatch repair protein MutS	0.078	0.015	0.196	52.6	96.78	5.364	0.082	0.096	0.11593290764657
sync_0080	photosystem II core protein PsbZ	0.141	0.031	0.218	73.02	100.0	6.148	0.135	0.141	0.0236570382956476
sync_0081	6,7-dimethyl-8-ribityllumazine synthase (EC:6.3.3.- )	0.092	0.02	0.22	99.17	100.0	9.199	0.093	0.119	0.0341395864200681
sync_0083	glyoxalase family protein family	0.295	0.032	0.107	66.33	100.0	5.635	0.272	0.327	0.704645566286563
sync_0084	hypothetical protein	0.06	0.005	0.084	60.75	100.0	6.075	0.056	0.172	0.075382389786388
sync_0085	glycosyl transferase, group 1 family protein (EC:2.4.1.- )	0.186	0.027	0.146	23.17	93.23	2.871	0.144	0.186	0.190501489002214
sync_0086	preprotein translocase, SecA subunit	0.059	0.028	0.473	94.74	100.0	12.468	0.057	0.074	0.0385554351209215
sync_0087	serine O-acetyltransferase (EC:2.3.1.30 )	0.024	0.009	0.373	70.82	100.0	8.558	0.025	0.109	0.079882567726943
sync_0088	transcriptional regulator, GntR family protein	0.018	0.005	0.297	100.0	100.0	13.038	0.022	0.017	0.116397742103399
sync_0089	Dienelactone hydrolase (EC:3.1.1.45 )	0.258	0.046	0.177	92.76	100.0	9.537	0.269	0.258	0.215094983878163
sync_0090	translation initiation factor IF-3	0.042	0.009	0.205	100.0	100.0	8.172	0.035	0.041	0.0268005074287929
sync_0091	tRNA delta(2)-isopentenylpyrophosphate transferase (EC:2.5.1.8 )	0.166	0.029	0.174	86.07	100.0	8.088	0.168	0.167	0.217912805605608
sync_0092	DNA gyrase, B subunit (EC:5.99.1.3 )	0.017	0.005	0.281	100.0	100.0	14.045	0.02	0.017	0.0313284164154683
sync_0093	hypothetical protein	0.108	0.037	0.346	100.0	100.0	11.413	0.113	0.108	0.0389434610263509
sync_0094	Protein CrcB homolog 1	0.158	0.025	0.16	100.0	100.0	9.474	0.155	0.158	0.168511605489998
sync_0095	crcB protein	0.177	0.049	0.28	96.97	100.0	8.53	0.176	0.174	0.191938769981634
sync_0096	Glutathione peroxidase (EC:1.11.1.9 )	0.095	0.022	0.227	96.67	100.0	17.458	0.096	0.105	0.292590912536515
sync_0097	magnesium transporter	0.068	0.016	0.233	100.0	100.0	13.459	0.071	0.068	0.0424397113957727
sync_0098	Type II alternative RNA polymerase sigma factor, sigma-70 family protein	0.045	0.014	0.309	100.0	100.0	16.182	0.046	0.05	0.0248679148458057
sync_0099	Predicted hydrolase	0.133	0.045	0.337	100.0	100.0	13.992	0.13	0.167	0.250911574338835
sync_0100	acriflavin resistance protein acrF	0.097	0.026	0.265	100.0	100.0	15.223	0.096	0.098	0.0907339557141383
sync_0101	efflux transporter, RND family, MFP subunit subfamily	0.108	0.027	0.246	100.0	100.0	17.435	0.109	0.12	0.244150523539997
sync_0102	putative A/G-specific adenine glycosylase	0.153	0.048	0.312	40.69	99.74	4.813	0.148	0.153	0.113584396965042
sync_0103	Sugar kinase, ribokinase family protein (EC:2.7.1.4 )	0.167	0.04	0.241	51.36	82.18	4.475	0.194	0.179	0.132525510472276
sync_0104	probable sugar kinase YPO1816 , putative	NaN	0.0	0.0	0.0	90.64	1.68	NaN	NaN	0.234848484848485
sync_0105	putative glutamine synthetase	NaN	0.0	0.0	4.79	82.3	2.003	NaN	NaN	0.414893617021277
sync_0106	transporter, solute:sodium symporter (SSS) family protein	0.18	0.031	0.171	69.95	95.42	6.56	0.188	0.179	0.16750444192287
sync_0107	conserved hypothetical protein TIGR00150	0.188	0.029	0.157	67.05	99.81	5.865	0.177	0.188	0.126743188013458
sync_0108	adenosylhomocysteinase (EC:3.3.1.1 )	0.072	0.015	0.213	92.52	100.0	11.325	0.071	0.072	0.0646669200021132
sync_0109	Uncharacterized DedA family conserved membrane protein	0.051	0.009	0.18	100.0	100.0	11.442	0.054	0.051	0.0326631670181714
sync_0110	putative single-stranded DNA-binding protein	0.025	0.005	0.195	100.0	100.0	8.577	0.026	0.025	0.55107628536634
sync_0111	Rod shape determining protein	0.055	0.007	0.122	59.35	99.53	4.719	0.053	0.055	0.0384663430528956
sync_0112	Cell shape-determining protein	0.104	0.016	0.149	69.62	99.87	6.921	0.106	0.104	0.12877869904651
sync_0113	hypothetical protein	0.068	0.008	0.119	70.24	100.0	6.482	0.064	0.063	0.0686408233071079
sync_0114	Bacterial extracellular solute-binding protein, family 1	0.098	0.02	0.199	80.43	100.0	6.515	0.092	0.119	0.0686797323111335
sync_0115	two-component response regulator	NaN	0.0	0.0	0.0	85.03	1.758	NaN	NaN	0.14349810576118
sync_0116	lysyl-tRNA synthetase (EC:6.1.1.6 )	0.084	0.01	0.12	65.51	96.12	5.887	0.068	0.083	0.0538789330292046
sync_0117	hypothetical protein	NaN	0.0	0.0	15.15	100.0	3.011	NaN	NaN	NaN
sync_0118	hypothetical protein	NaN	0.0	0.0	0.0	100.0	2.189	NaN	NaN	0.0591269841269841
sync_0119	hypothetical protein	0.0	0.0	0.082	25.64	100.0	3.923	0.0	0.0	0.0
sync_0120	hypothetical protein	0.287	0.022	0.077	25.11	100.0	3.299	0.243	0.287	0.308183135067371
sync_0121	Domain of unknown function (DUF323) family protein	0.199	0.019	0.098	19.89	90.02	2.95	0.194	0.199	0.129570523236967
sync_0122	serine/threonine protein kinase (EC:2.7.11.1 )	0.112	0.019	0.166	42.42	100.0	3.911	0.111	0.11	0.0863279674376985
sync_0123	SsrA-binding protein	0.005	0.001	0.128	73.54	100.0	6.406	0.019	0.096	0.470847363665106
sync_0124	Holliday junction DNA helicase RuvB	0.044	0.005	0.104	48.52	100.0	5.167	0.047	0.044	0.097775349586088
sync_0125	tetratricopeptide repeat protein	0.069	0.012	0.173	71.73	100.0	5.235	0.064	0.069	0.0564151070091065
sync_0126	peptidase, M20D family protein (EC:3.4.17.- )	0.065	0.009	0.136	71.34	100.0	6.375	0.063	0.064	0.10242394162656
sync_0127	hypothetical protein	0.047	0.006	0.133	100.0	100.0	10.918	0.056	0.047	0.038122332859175
sync_0128	CotB mutant	0.173	0.035	0.204	98.09	100.0	11.282	0.173	0.171	0.176704467801567
sync_0129	thiamine biosynthesis protein ThiC	0.045	0.021	0.477	100.0	100.0	22.266	0.046	0.049	0.023851236250623
sync_0130	transketolase (EC:2.2.1.1 )	0.035	0.011	0.326	99.55	100.0	10.617	0.034	0.036	0.021073828756408
sync_0131	3-oxoacyl-[acyl-carrier-protein] synthase II (EC:2.3.1.41 )	0.061	0.011	0.18	97.92	100.0	10.351	0.056	0.061	0.0543611304469751
sync_0132	acyl carrier protein	0.022	0.003	0.148	100.0	100.0	17.34	0.022	0.022	0.303005598130333
sync_0133	photosystem I iron-sulfur protein PsaC	0.006	0.002	0.333	100.0	100.0	14.175	0.006	0.006	0.0
sync_0134	glucosamine--fructose-6-phosphate aminotransferase, isomerizing (EC:2.6.1.16 )	0.057	0.016	0.279	82.19	100.0	7.756	0.058	0.057	0.051583176484007
sync_0135	Mycobacterium tuberculosis PIN domain family subfamily	0.294	0.059	0.201	53.69	100.0	5.432	0.332	0.277	0.592606657027176
sync_0136	hypothetical protein	0.523	0.096	0.184	47.56	100.0	3.967	0.456	0.523	0.359072647892693
sync_0137	Di/tricarboxylate transporter	0.093	0.037	0.4	4.3	79.84	2.156	0.08	0.093	0.468258548549993
sync_0138	hypothetical protein	NaN	0.0	0.0	0.0	5.43	0.054	NaN	NaN	NaN
sync_0139	putative glycosyl transferase	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0140	hypothetical protein	NaN	0.0	0.0	0.0	27.88	0.279	NaN	NaN	NaN
sync_0141	Glycosyl transferase family 11	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0142	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0143	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0144	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0145	GDP-L-fucose synthetase (EC:1.1.1.271 )	0.162	0.098	0.608	78.87	89.38	12.508	0.171	0.164	0.0976359352701538
sync_0146	GDP-mannose 4,6-dehydratase (EC:4.2.1.47 )	0.1	0.055	0.55	98.18	100.0	14.17	0.101	0.11	0.0322148188776924
sync_0147	possible sugar transferase (EC:2.7.- )	NaN	0.0	0.0	0.0	26.54	0.334	NaN	NaN	NaN
sync_0148	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0149	gumB protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0150	Chain length determinant protein family protein	NaN	0.0	0.0	0.0	3.39	0.068	NaN	NaN	NaN
sync_0151	putative phosphatase	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0152	hypothetical protein	NaN	0.0	0.0	0.0	43.54	0.633	NaN	NaN	NaN
sync_0153	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0154	hypothetical protein	NaN	0.0	0.0	0.0	19.04	0.19	NaN	NaN	NaN
sync_0155	hypothetical protein	NaN	0.0	0.0	0.0	61.24	0.973	NaN	NaN	0.0
sync_0156	polyketide synthase, putative	NaN	0.0	0.0	0.0	17.27	0.232	NaN	NaN	0.141606111421651
sync_0157	hypothetical protein	NaN	0.0	0.0	0.0	29.61	0.462	NaN	NaN	NaN
sync_0158	hypothetical protein	NaN	0.0	0.0	0.0	33.69	0.387	NaN	NaN	NaN
sync_0159	dTDP-glucose 4-6-dehydratase-like protein (EC:4.2.1.46 )	0.085	0.042	0.495	74.84	99.06	11.102	0.082	0.092	0.0473703942233459
sync_0160	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	0.072	0.028	0.382	80.14	99.79	7.4	0.083	0.071	0.0767678572080074
sync_0161	hypothetical protein	NaN	0.0	0.0	0.0	100.0	1.0	NaN	NaN	NaN
sync_0162	Chain length determinant protein family protein	NaN	0.0	0.0	0.0	2.2	0.022	NaN	NaN	NaN
sync_0163	hypothetical protein	NaN	0.0	0.0	0.0	100.0	1.3	NaN	NaN	NaN
sync_0164	hypothetical protein	NaN	0.0	0.0	0.0	98.64	3.946	NaN	NaN	NaN
sync_0165	hypothetical protein	0.158	0.035	0.222	100.0	100.0	8.663	0.14	0.175	0.161811427874848
sync_0166	nucleotidyltransferase domain protein	0.332	0.059	0.178	43.86	98.83	4.377	0.307	0.361	0.431037466407436
sync_0167	hypothetical protein	NaN	0.0	0.0	0.0	42.14	0.843	NaN	NaN	NaN
sync_0168	hypothetical protein	NaN	0.0	0.0	0.0	76.33	0.763	NaN	NaN	NaN
sync_0169	UDP-N-acetylglucosamine 2-epimerase (EC:5.1.3.14 )	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0170	CMP-N-acetylneuraminic acid synthetase (EC:2.7.7.43 )	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0171	integral membrane protein MviN	NaN	0.0	0.0	0.0	17.47	0.175	NaN	NaN	NaN
sync_0172	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit (EC:2.4.2.- )	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0173	pilin glycosylation protein PglB NMB1820	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0174	N-acetylneuraminic acid condensing enzyme (EC:4.1.3.- )	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0175	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0176	Imidazole glycerol phosphate synthase subunit hisF (EC:4.1.3.- )	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0177	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0178	asparagine synthase (glutamine-hydrolyzing) (EC:6.3.5.4 )	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0179	DegT/DnrJ/EryC1/StrS aminotransferase family protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0180	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0181	NeuB family protein	NaN	0.0	0.0	0.0	4.61	0.046	NaN	NaN	4.42219660793677
sync_0182	Posttranslational flagellin modification protein B (EC:2.7.7.43 )	NaN	0.0	0.0	0.0	41.97	0.42	NaN	NaN	NaN
sync_0183	undecaprenyl-phosphate glucosephosphotransferase (EC:2.7.- )	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0184	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0185	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0186	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0187	short chain dehydrogenase (EC:1.- )	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0188	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0189	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0190	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0191	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0192	Putative nucleotide sugar epimerase/dehydratase	NaN	0.0	0.0	0.0	23.16	0.232	NaN	NaN	NaN
sync_0193	hypothetical protein	0.297	0.061	0.207	47.13	62.64	3.299	0.337	0.297	1.05019680686392
sync_0194	Di/tricarboxylate transporter	0.069	0.028	0.406	94.87	100.0	11.708	0.073	0.082	0.0405525767787665
sync_0195	16S rRNA processing protein RimM	0.182	0.054	0.295	10.64	100.0	2.69	0.175	0.185	0.217817476616053
sync_0196	hypothetical protein	0.061	0.014	0.233	100.0	100.0	7.41	0.071	0.062	0.0336175927990339
sync_0197	cation transporter, voltage-gated ion channel (VIC) family protein	0.083	0.021	0.254	43.03	76.85	3.833	0.111	0.083	0.0744006237182131
sync_0198	PIN domain, putative	NaN	0.0	0.0	0.0	26.4	0.544	NaN	NaN	1.25456541045729
sync_0199	prevent-host-death family protein subfamily, putative	NaN	0.0	0.0	0.0	34.57	0.49	NaN	NaN	NaN
sync_0200	ribonuclease III (EC:3.1.26.3 )	0.145	0.041	0.281	55.16	99.48	5.067	0.169	0.145	0.1767466936669
sync_0202	large conductance mechanosensitive channel protein	0.13	0.026	0.203	54.95	100.0	4.596	0.155	0.13	0.0272591486183719
sync_0203	hypothetical protein	0.063	0.011	0.179	82.75	88.6	5.067	0.072	0.063	0.0950436049008102
sync_0204	hypothetical protein	0.035	0.007	0.191	90.57	100.0	6.294	0.032	0.035	0.12220931967172
sync_0205	phosphorylase (EC:2.4.1.1 )	0.057	0.012	0.216	58.41	100.0	5.463	0.057	0.057	0.0309651961545623
sync_0206	transporter, monovalent cation:proton antiporter-2 (CPA2) family protein	0.026	0.004	0.16	62.83	100.0	5.246	0.031	0.026	0.0470368547022507
sync_0207	hypothetical protein	0.173	0.011	0.062	39.71	70.43	3.026	0.167	0.173	0.42814371257485
sync_0208	hydrolase, alpha/beta fold family protein	0.056	0.007	0.127	36.04	99.68	3.797	0.049	0.056	0.0325963301035704
sync_0209	Aldose 1-epimerase subfamily protein	NaN	0.0	0.0	0.0	46.92	0.763	NaN	NaN	0.0
sync_0210	glycolate oxidase chain (EC:1.1.3.15 )	NaN	0.0	0.0	0.0	90.97	1.788	NaN	NaN	0.172347129506008
sync_0211	hypothetical protein	0.229	0.031	0.136	16.42	87.08	2.592	0.196	0.219	0.315680988511769
sync_0212	glyoxalase family protein family	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0213	Fe-S oxidoreductase (EC:1.1.3.15 )	NaN	0.0	0.0	5.29	89.64	2.508	NaN	NaN	0.116227690265762
sync_0214	isocitrate dehydrogenase, NADP-dependent (EC:1.1.1.42 )	0.027	0.005	0.183	54.52	95.65	5.075	0.028	0.025	0.00788665593610982
sync_0215	hypothetical protein	0.191	0.05	0.26	85.06	100.0	12.615	0.211	0.191	0.186694759469874
sync_0216	Heme oxygenase (EC:1.14.99.3 )	0.04	0.013	0.32	100.0	100.0	13.81	0.045	0.039	0.0168217091633596
sync_0217	hypothetical protein	0.32	0.037	0.117	8.68	17.45	0.761	0.364	0.33	0.242682308330371
sync_0218	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0219	ATP-binding ABC transporter family protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0220	possible glycosyltransferase family 1	NaN	0.0	0.0	0.0	4.51	0.045	NaN	NaN	NaN
sync_0221	possible glycosyltransferase group 1	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0222	glycosyl transferase, group 1 family protein (EC:2.4.1.- )	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0223	Glycosyl transferase, group 1 (EC:2.- )	NaN	0.0	0.0	0.0	12.32	0.123	NaN	NaN	NaN
sync_0224	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0225	hypothetical protein	NaN	0.0	0.0	0.0	32.84	0.657	NaN	NaN	NaN
