locus_tag	has_pfam	pfam_domains
sync_1866	yes	PF03129;PF00587;PF07973
sync_1869	yes	PF08544;PF00288
sync_1878	yes	PF00171
sync_1886	yes	PF00128;PF02806;PF02922;PF22019
sync_1887	yes	PF01208
sync_1912	yes	PF10716
sync_1933	yes	PF00308;PF08299;PF11638
sync_1941	yes	PF16123;PF00753
sync_1967	yes	PF00016;PF02788
sync_1973	yes	PF00148
sync_1974	yes	PF00148;PF08369
sync_1975	yes	PF00142
sync_1988	yes	PF03255
sync_2000	yes	PF00762
sync_2004	yes	PF00696
sync_2005	yes	PF01765
sync_2021	yes	PF03129;PF00587;PF04073
sync_2023	yes	PF00709
sync_2029	yes	PF00696
sync_2036	yes	PF01379;PF03900
sync_2044	yes	PF01329
sync_2058	yes	PF00202
sync_2088	yes	PF00013;PF03726;PF01138;PF03725;PF00575
sync_2089	yes	PF00253
sync_2091	yes	PF02403;PF00587
sync_2098	yes	PF00468
sync_2113	yes	PF00361
sync_2129	yes	PF01040
sync_2135	yes	PF00118
sync_2140	yes	PF01128
sync_2148	yes	PF01333;PF16639
sync_2149	yes	PF00355;PF25471
sync_2153	yes	PF00625
sync_2154	yes	PF01701
sync_2156	yes	PF00814
sync_2163	yes	PF19269;PF00749
sync_2200	yes	PF00215
sync_2208	yes	PF00883;PF02789
sync_2213	yes	PF07977
sync_2216	yes	PF01259
sync_2221	yes	PF07689
sync_2223	yes	PF00829
sync_2224	yes	PF01016
sync_2233	yes	PF16198;PF01509
sync_2234	yes	PF20772;PF01709
sync_2249	yes	PF23023
sync_2250	yes	PF14495
sync_2269	yes	PF01192
sync_2282	yes	PF00118
sync_2283	yes	PF00166
sync_2284	yes	PF00006;PF02874;PF22919
sync_2285	yes	PF02823
sync_2312	yes	PF00231
sync_2313	yes	PF00006;PF00306;PF02874
sync_2314	yes	PF00213
sync_2315	yes	PF00430
sync_2317	yes	PF00137
sync_2318	yes	PF00119
sync_2328	yes	PF05140
sync_2346	yes	PF02527
sync_2354	yes	PF04055;PF21016
sync_2356	yes	PF04983;PF05000;PF04998
sync_2357	yes	PF04997;PF00623;PF04983
sync_2358	yes	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560
sync_2361	yes	PF01649
sync_2363	yes	PF06026
sync_2370	yes	PF02576
sync_2373	yes	PF22042;PF00009;PF11987;PF04760
sync_2384	yes	PF00124
sync_2394	yes	PF01018;PF01926
sync_2470	yes	PF01165
sync_2473	yes	PF01327
sync_2516	yes	PF03702
sync_2530	yes	PF02601;PF13742
sync_2543	yes	PF02673
sync_2545	yes	PF06514
sync_2548	yes	PF04055;PF18693;PF00919
sync_2550	no	
sync_2562	yes	PF02033
sync_2575	yes	PF11910
sync_2586	yes	PF00124
sync_2587	yes	PF26132
sync_2593	yes	PF02223
sync_2595	yes	PF13424
sync_2609	yes	PF10664
sync_2614	yes	PF00361
sync_2624	yes	PF12838
sync_2625	yes	PF00146
sync_2633	yes	PF00291
sync_2647	yes	PF01795
sync_2648	yes	PF00346
sync_2650	yes	PF13279
sync_2661	yes	PF02130
sync_2667	yes	PF03485;PF05746;PF00750
sync_2699	yes	PF01926;PF12631;PF10396
sync_2709	yes	PF00162
sync_2714	yes	PF04101;PF03033
sync_2724	yes	PF00542;PF16320
sync_2725	yes	PF00466
sync_2726	yes	PF00687
sync_2727	yes	PF00298;PF03946
sync_2732	yes	PF00113;PF03952
sync_2741	yes	PF00334
sync_2768	yes	PF02272;PF01411;PF07973
sync_2776	no	
sync_2789	yes	PF01597
sync_2794	yes	PF03948;PF01281
sync_2796	yes	PF01134;PF21680;PF13932
sync_2806	yes	PF00533;PF01653;PF03119;PF12826;PF14520;PF03120
sync_2850	yes	PF17284;PF01564
sync_2853	yes	PF01571;PF08669
sync_2858	yes	PF06418;PF00117
sync_2863	yes	PF03974
sync_2864	yes	PF06508
sync_2872	no	
sync_2873	yes	PF02492
sync_2875	yes	PF05194
sync_2876	yes	PF01774
sync_2877	yes	PF00547
sync_2878	yes	PF00699
sync_2879	yes	PF01979;PF00449
sync_2901	yes	PF02560;PF21291
sync_2926	yes	PF01250
sync_2928	yes	PF20979;PF00764
sync_2931	yes	PF00953;PF10555
sync_2935	yes	PF02222;PF21244;PF22660
