Entry	Gene Names	Organism (ID)	Pfam	Protein names	Gene Names (ordered locus)
Q0IDG4	sync_0272	64471	PF01725;	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	sync_0272
Q0I600	purT sync_2935	64471	PF02222;PF21244;PF22660;	Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	sync_2935
Q0I604	mraY sync_2931	64471	PF00953;PF10555;	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	sync_2931
Q0I607	argG sync_2928	64471	PF20979;PF00764;	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	sync_2928
Q0I656	ureC sync_2879	64471	PF01979;PF00449;	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	sync_2879
Q0I671	queC sync_2864	64471	PF06508;	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	sync_2864
Q0I685	speE sync_2850	64471	PF17284;PF01564;	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)	sync_2850
Q0I6C8	ligA sync_2806	64471	PF00533;PF01653;PF03119;PF12826;PF14520;PF03120;	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	sync_2806
Q0I6G6	alaS sync_2768	64471	PF02272;PF01411;PF07973;	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	sync_2768
Q0I6K2	eno sync_2732	64471	PF00113;PF03952;	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	sync_2732
Q0I6M0	murG sync_2714	64471	PF04101;PF03033;	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	sync_2714
Q0I6M5	pgk sync_2709	64471	PF00162;	Phosphoglycerate kinase (EC 2.7.2.3)	sync_2709
Q0I6N5	mnmE trmE sync_2699	64471	PF01926;PF12631;PF10396;	tRNA modification GTPase MnmE (EC 3.6.-.-)	sync_2699
Q0I6T6	ndhH sync_2648	64471	PF00346;	NAD(P)H-quinone oxidoreductase subunit H (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit H) (NADH-plastoquinone oxidoreductase subunit H) (NDH-1 subunit H) (NDH-H)	sync_2648
Q0I6T7	rsmH mraW sync_2647	64471	PF01795;	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	sync_2647
Q0I6V1	trpB sync_2633	64471	PF00291;	Tryptophan synthase beta chain (EC 4.2.1.20)	sync_2633
Q0I6V9	ndhA sync_2625	64471	PF00146;	NAD(P)H-quinone oxidoreductase subunit 1 (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit 1) (NDH-1 subunit 1) (NDH-A)	sync_2625
Q0I6W0	ndhI sync_2624	64471	PF12838;	NAD(P)H-quinone oxidoreductase subunit I (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit I) (NDH-1 subunit I) (NDH-I)	sync_2624
Q0I6X0	ndhD sync_2614	64471	PF00361;	NAD(P)H-quinone oxidoreductase chain 4 (EC 7.1.1.-) (NAD(P)H dehydrogenase I, chain 4) (NDH-1, chain 4)	sync_2614
Q0I6Z7	psbD1 sync_0897; psbD2 sync_2586	64471	PF00124;	Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)	sync_0897; sync_2586
Q0I708	ndhO sync_2575	64471	PF11910;	NAD(P)H-quinone oxidoreductase subunit O (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit O) (NDH-1 subunit O) (NDH-O)	sync_2575
Q0I735	rimO sync_2548	64471	PF04055;PF18693;PF00919;	Ribosomal protein uS12 methylthiotransferase RimO (uS12 MTTase) (uS12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein uS12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)	sync_2548
Q0I740	uppP sync_2543	64471	PF02673;	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	sync_2543
Q0I762	anmK sync_2516	64471	PF03702;	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	sync_2516
Q0I7I2	obg sync_2394	64471	PF01018;PF01926;	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	sync_2394
Q0I7L2	rpiA sync_2363	64471	PF06026;	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	sync_2363
Q0I7L7	rpoB sync_2358	64471	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560;	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	sync_2358
Q0I7L8	rpoC1 sync_2357	64471	PF04997;PF00623;PF04983;	DNA-directed RNA polymerase subunit gamma (RNAP subunit gamma) (EC 2.7.7.6) (RNA polymerase subunit gamma) (Transcriptase subunit gamma)	sync_2357
Q0I7L9	rpoC2 sync_2356	64471	PF04983;PF05000;PF04998;	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	sync_2356
Q0I7Q8	atpE atpH sync_2317	64471	PF00137;	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	sync_2317
Q0I7R2	atpA sync_2313	64471	PF00006;PF00306;PF02874;	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	sync_2313
Q0I7U1	atpD atpB sync_2284	64471	PF00006;PF02874;PF22919;	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	sync_2284
Q0I7U3	groEL2 groL2 sync_2282	64471	PF00118;	Chaperonin GroEL 2 (EC 5.6.1.7) (60 kDa chaperonin 2) (Chaperonin-60 2) (Cpn60 2)	sync_2282
Q0I7X4	psbV sync_2250	64471	PF14495;	Photosystem II extrinsic protein V (PsbV) (Cytochrome c-550) (Cytochrome c550) (Low-potential cytochrome c)	sync_2250
Q0I7X5	rnz sync_2249	64471	PF23023;	Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)	sync_2249
Q0I816	pepA sync_2208	64471	PF00883;PF02789;	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	sync_2208
Q0I824	pyrF sync_2200	64471	PF00215;	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	sync_2200
Q0I858	gltX sync_2163	64471	PF19269;PF00749;	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	sync_2163
Q0I865	tsaD gcp sync_2156	64471	PF00814;	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	sync_2156
Q0I868	gmk sync_2153	64471	PF00625;	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	sync_2153
Q0I872	petC sync_2149	64471	PF00355;PF25471;	Cytochrome b6-f complex iron-sulfur subunit (EC 7.1.1.6) (Plastohydroquinone:plastocyanin oxidoreductase iron-sulfur protein) (ISP) (RISP) (Rieske iron-sulfur protein)	sync_2149
Q0I885	groEL1 groL1 sync_2135	64471	PF00118;	Chaperonin GroEL 1 (EC 5.6.1.7) (60 kDa chaperonin 1) (Chaperonin-60 1) (Cpn60 1)	sync_2135
Q0I8A7	ndhB sync_2113	64471	PF00361;	NAD(P)H-quinone oxidoreductase subunit 2 (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 2) (NADH-plastoquinone oxidoreductase subunit 2) (NDH-1, subunit 2)	sync_2113
Q0I8C9	serS sync_2091	64471	PF02403;PF00587;	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	sync_2091
Q0I8D2	pnp sync_2088	64471	PF00013;PF03726;PF01138;PF03725;PF00575;	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	sync_2088
Q0I8G1	hemL sync_2058	64471	PF00202;	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	sync_2058
Q0I8I3	hemC sync_2036	64471	PF01379;PF03900;	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	sync_2036
Q0I8J0	argB sync_2029	64471	PF00696;	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)	sync_2029
Q0I8J6	purA sync_2023	64471	PF00709;	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	sync_2023
Q0I8L5	pyrH sync_2004	64471	PF00696;	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	sync_2004
Q0I8L9	hemH sync_2000	64471	PF00762;	Ferrochelatase (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)	sync_2000
Q0I8N1	accA sync_1988	64471	PF03255;	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	sync_1988
Q0I8P4	chlL sync_1975	64471	PF00142;	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)	sync_1975
Q0I8P5	chlB sync_1974	64471	PF00148;PF08369;	Light-independent protochlorophyllide reductase subunit B (DPOR subunit B) (LI-POR subunit B) (EC 1.3.7.7)	sync_1974
Q0I8P6	chlN sync_1973	64471	PF00148;	Light-independent protochlorophyllide reductase subunit N (DPOR subunit N) (LI-POR subunit N) (EC 1.3.7.7)	sync_1973
Q0I8Q2	cbbL rbcL sync_1967	64471	PF00016;PF02788;	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	sync_1967
Q0I8S8	gloB sync_1941	64471	PF16123;PF00753;	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (Glx II)	sync_1941
Q0I8T6	dnaA sync_1933	64471	PF00308;PF08299;PF11638;	Chromosomal replication initiator protein DnaA	sync_1933
Q0I8V6	ndhL sync_1912	64471	PF10716;	NAD(P)H-quinone oxidoreductase subunit L (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit L) (NDH-1 subunit L) (NDH-L)	sync_1912
Q0I8Y1	hemE sync_1887	64471	PF01208;	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	sync_1887
Q0I8Y2	glgB sync_1886	64471	PF00128;PF02806;PF02922;PF22019;	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	sync_1886
Q0I902	thrS sync_1866	64471	PF03129;PF00587;PF07973;	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	sync_1866
Q0I9G1	accD sync_1707	64471	PF01039;PF17848;	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	sync_1707
Q0I9I2	hemA sync_1686	64471	PF00745;PF05201;PF01488;	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	sync_1686
Q0I9I3	sync_1685	64471	PF03320;	D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase (FBPase class 2/SBPase) (EC 3.1.3.11) (EC 3.1.3.37)	sync_1685
Q0I9J4	ispG sync_1674	64471	PF04551;PF26540;	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	sync_1674
Q0I9R7	rlmH sync_1600	64471	PF02590;	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	sync_1600
Q0I9S3	rsmA ksgA sync_1594	64471	PF00398;	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	sync_1594
Q0I9S4	ispE sync_1593	64471	PF08544;PF00288;	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	sync_1593
Q0I9Y0	aroA sync_1537	64471	PF00275;	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	sync_1537
Q0I9Z1	menD sync_1526	64471	PF02775;PF16582;PF02776;	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9)	sync_1526
Q0IAA6	dxs sync_1410	64471	PF13292;PF02779;PF02780;	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	sync_1410
Q0IAC3	pstB sync_1392	64471	PF00005;	Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)	sync_1392
Q0IAE0	leuS sync_1375	64471	PF08264;PF00133;PF13603;PF09334;	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	sync_1375
Q0IAF3	coaD sync_1362	64471	PF01467;	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	sync_1362
Q0IAT7	apt sync_1226	64471	PF00156;	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	sync_1226
Q0IAV3	tpiA sync_1210	64471	PF00121;	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	sync_1210
Q0IB11	pdxJ sync_1151	64471	PF03740;	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	sync_1151
Q0IB24	trmFO sync_1138	64471	PF01134;	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO (EC 2.1.1.74) (Folate-dependent tRNA (uracil-5-)-methyltransferase) (Folate-dependent tRNA(M-5-U54)-methyltransferase)	sync_1138
Q0IBC8	bioB sync_1032	64471	PF06968;PF04055;	Biotin synthase (EC 2.8.1.6)	sync_1032
Q0IBG9	folD sync_0990	64471	PF00763;PF02882;	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	sync_0990
Q0IBI3	leuA sync_0976	64471	PF22617;PF00682;PF08502;	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	sync_0976
Q0IBJ8	ruvC sync_0961	64471	PF02075;	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	sync_0961
Q0IBN9	dxr sync_0920	64471	PF08436;PF02670;PF13288;	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	sync_0920
Q0IC13	surE sync_0795	64471	PF01975;	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)	sync_0795
Q0IC17	thiE sync_0791	64471	PF17792;PF02581;	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	sync_0791
Q0IC27	ispF sync_0781	64471	PF02542;	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	sync_0781
Q0IC33	trmD sync_0775	64471	PF01746;	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	sync_0775
Q0IC49	mnmA sync_0759	64471	PF03054;PF20258;PF20259;	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	sync_0759
Q0IC70	miaB sync_0735	64471	PF04055;PF01938;PF00919;	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	sync_0735
Q0IC71	ddl sync_0734	64471	PF07478;PF01820;	D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)	sync_0734
Q0IC75	panB sync_0730	64471	PF02548;	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	sync_0730
Q0ICA6	hisF sync_0698	64471	PF00977;	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	sync_0698
Q0ICF2	lepA sync_0652	64471	PF00679;PF00009;PF03144;PF06421;	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	sync_0652
Q0ICH5	rpsD rps4 sync_0629	64471	PF00163;PF01479;	Small ribosomal subunit protein uS4 (30S ribosomal protein S4)	sync_0629
Q0ICL5	mtnD sync_0589	64471	PF03079;	Acireductone dioxygenase (1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase) (DHK-MTPene dioxygenase) (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53)	sync_0589
Q0ICP8	petB sync_0549	64471	PF00033;	Cytochrome b6	sync_0549
Q0ICR7	metK sync_0529	64471	PF02773;PF02772;PF00438;	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	sync_0529
Q0ICW4	purM sync_0481	64471	PF00586;PF02769;	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)	sync_0481
Q0ID00	recA sync_0443	64471	PF21096;PF00154;	Protein RecA (Recombinase A)	sync_0443
Q0ID06	rplD rpl4 sync_0436	64471	PF00573;	Large ribosomal subunit protein uL4 (50S ribosomal protein L4)	sync_0436
Q0ID11	rpsC rps3 sync_0431	64471	PF07650;PF00189;	Small ribosomal subunit protein uS3 (30S ribosomal protein S3)	sync_0431
Q0ID24	adk sync_0418	64471	PF00406;	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	sync_0418
Q0ID28	rpoA sync_0414	64471	PF01000;PF03118;PF01193;	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	sync_0414
Q0ID47	psaB sync_0394	64471	PF00223;	Photosystem I P700 chlorophyll a apoprotein A2 (EC 1.97.1.12) (PsaB)	sync_0394
Q0ID48	psaA sync_0393	64471	PF00223;	Photosystem I P700 chlorophyll a apoprotein A1 (EC 1.97.1.12) (PsaA)	sync_0393
Q0ID56	rpsL rps12 sync_0384	64471	PF00164;	Small ribosomal subunit protein uS12 (30S ribosomal protein S12)	sync_0384
Q0ID59	tuf sync_0381	64471	PF00009;PF03144;PF03143;	Elongation factor Tu (EF-Tu) (EC 3.6.5.3)	sync_0381
Q0ID65	rnhB sync_0375	64471	PF01351;	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	sync_0375
Q0ID68	dapL aspB sync_0372	64471	PF00155;	LL-diaminopimelate aminotransferase (DAP-AT) (DAP-aminotransferase) (LL-DAP-aminotransferase) (EC 2.6.1.83)	sync_0372
Q0ID82	aroC sync_0358	64471	PF01264;	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	sync_0358
Q0ID96	pyrB sync_0343	64471	PF00185;PF02729;	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	sync_0343
Q0IDA5	ileS sync_0333	64471	PF08264;PF00133;PF06827;	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	sync_0333
Q0IDB3	glmM sync_0325	64471	PF02878;PF02879;PF02880;PF00408;	Phosphoglucosamine mutase (EC 5.4.2.10)	sync_0325
Q0IDC6	pth sync_0312	64471	PF01195;	Peptidyl-tRNA hydrolase (Pth) (EC 3.1.1.29)	sync_0312
Q0IDD5	leuC sync_0303	64471	PF00330;	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	sync_0303
Q0IDD8	glyA sync_0300	64471	PF00464;	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	sync_0300
Q0IDE5	ispH sync_0292	64471	PF02401;	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4)	sync_0292
Q0IDE8	purH sync_0289	64471	PF01808;PF02142;	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	sync_0289
Q0IDF3	tgt sync_0284	64471	PF01702;	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	sync_0284
Q0IDJ2	ndhJ sync_0244	64471	PF00329;	NAD(P)H-quinone oxidoreductase subunit J (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit J) (NADH-plastoquinone oxidoreductase subunit J) (NDH-1 subunit J) (NDH-J)	sync_0244
Q0IDJ3	ndhK sync_0243	64471	PF01058;	NAD(P)H-quinone oxidoreductase subunit K (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit K) (NDH-1 subunit K) (NDH-K)	sync_0243
Q0IDJ4	ndhC sync_0242	64471	PF00507;	NAD(P)H-quinone oxidoreductase subunit 3 (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 3) (NADH-plastoquinone oxidoreductase subunit 3) (NDH-1 subunit 3) (NDH-C)	sync_0242
Q0IDJ7	psbE sync_0239	64471	PF00283;PF00284;	Cytochrome b559 subunit alpha (PSII reaction center subunit V)	sync_0239
Q0IDV2	psaC sync_0133	64471	PF12838;	Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC)	sync_0133
