locus_tag	has_pfam	n_pfam_domains	pfam_domains
sync_0064	yes	4	PF00004.36;PF06689.20;PF07724.21;PF10431.16
sync_0065	yes	1	PF00574.29
sync_0066	yes	3	PF00254.35;PF05697.19;PF05698.20
sync_0067	yes	2	PF01118.31;PF02774.24
sync_0068	yes	1	PF00701.29
sync_0069	yes	2	PF00753.34;PF22505.2
sync_0070	no	0	
sync_0071	yes	1	PF01171.27
sync_0072	yes	1	PF04481.19
sync_0073	yes	1	PF04020.19
sync_0074	yes	6	PF00271.38;PF02151.26;PF04851.22;PF12344.15;PF17757.7;PF27431.1
sync_0075	yes	3	PF00696.34;PF01842.32;PF22468.3
sync_0076	yes	1	PF03783.21
sync_0077	yes	2	PF06144.20;PF21694.3
sync_0078	yes	1	PF02570.21
sync_0079	yes	5	PF00488.28;PF01624.26;PF05188.24;PF05190.24;PF05192.24
sync_0080	yes	1	PF01737.23
sync_0081	yes	1	PF00885.25
sync_0083	yes	1	PF00903.32
sync_0084	yes	3	PF00583.32;PF13508.14;PF13673.14
sync_0085	yes	4	PF00534.27;PF13439.13;PF13579.13;PF13692.13
sync_0086	yes	4	PF01043.27;PF07516.19;PF07517.21;PF21090.4
sync_0088	yes	1	PF00392.28
sync_0089	yes	1	PF01738.25
sync_0090	yes	2	PF00707.28;PF05198.22
sync_0091	yes	1	PF01715.24
sync_0092	yes	4	PF00204.32;PF00986.27;PF01751.29;PF02518.32
sync_0093	no	0	
sync_0094	yes	1	PF02537.22
sync_0095	yes	1	PF02537.22
sync_0096	yes	1	PF00255.26
sync_0097	yes	3	PF00571.34;PF01769.22;PF03448.23
sync_0098	yes	4	PF00140.26;PF04539.23;PF04542.21;PF04545.23
sync_0099	yes	3	PF00561.27;PF12146.16;PF12697.14
sync_0100	yes	1	PF00873.26
sync_0101	yes	1	PF25917.1
sync_0102	yes	3	PF00293.35;PF00730.32;PF14815.13
sync_0103	yes	1	PF00294.30
sync_0104	yes	1	PF00294.30
sync_0105	yes	1	PF00120.30
sync_0106	yes	1	PF00474.24
sync_0107	yes	1	PF02367.24
sync_0108	yes	3	PF00670.28;PF02826.26;PF05221.24
sync_0109	yes	1	PF09335.17
sync_0110	yes	1	PF00436.32
sync_0111	yes	2	PF06723.20;PF14450.13
sync_0112	yes	1	PF04085.21
sync_0113	no	0	
sync_0114	yes	2	PF01547.31;PF13416.12
sync_0115	yes	2	PF00072.31;PF00486.35
sync_0116	yes	2	PF00152.26;PF01336.32
sync_0117	no	0	
sync_0118	yes	2	PF27863.1;PF27865.1
sync_0119	yes	1	PF27862.1
sync_0120	yes	1	PF10017.16
sync_0121	yes	1	PF03781.23
sync_0122	yes	1	PF00069.32
sync_0123	yes	1	PF01668.24
sync_0124	yes	5	PF00004.36;PF05491.20;PF05496.19;PF07728.21;PF17864.8
sync_0125	no	0	
sync_0126	yes	2	PF01546.34;PF07687.20
sync_0127	yes	1	PF11384.14
sync_0128	yes	1	PF13646.13
sync_0129	yes	1	PF01964.25
sync_0130	yes	4	PF00456.27;PF02779.30;PF02780.26;PF22613.2
sync_0131	yes	2	PF00109.33;PF02801.29
sync_0132	yes	1	PF00550.32
sync_0133	yes	1	PF12838.13
sync_0134	yes	3	PF01380.28;PF13522.12;PF13537.12
sync_0135	no	0	
sync_0136	no	0	
sync_0139	yes	2	PF00535.33;PF10111.15
sync_0140	no	0	
sync_0141	yes	1	PF01531.23
sync_0142	no	0	
sync_0143	no	0	
sync_0144	no	0	
sync_0145	yes	2	PF01370.28;PF16363.12
sync_0146	yes	2	PF01370.28;PF16363.12
sync_0147	yes	1	PF02397.23
sync_0149	yes	1	PF02563.22
sync_0150	no	0	
sync_0151	yes	1	PF00782.26
sync_0152	no	0	
sync_0153	no	0	
sync_0154	no	0	
sync_0155	yes	1	PF13506.14
sync_0156	yes	11	PF00107.33;PF00109.33;PF00550.32;PF02801.29;PF07993.19;PF08659.17;PF13602.13;PF14765.13;PF16197.12;PF21089.4;PF22621.3
sync_0157	no	0	
sync_0158	no	0	
sync_0159	yes	3	PF01073.26;PF01370.28;PF16363.12
sync_0160	yes	4	PF00483.30;PF01050.25;PF07883.18;PF22640.2
sync_0162	no	0	
sync_0164	no	0	
sync_0165	yes	1	PF08780.17
sync_0166	yes	2	PF01909.30;PF18765.8
sync_0168	no	0	
sync_0169	yes	1	PF02350.26
sync_0170	yes	1	PF02348.26
sync_0171	yes	1	PF03023.20
sync_0172	yes	1	PF00117.35
sync_0173	yes	1	PF17836.8
sync_0174	yes	1	PF03102.21
sync_0175	no	0	
sync_0176	yes	1	PF00977.28
sync_0177	no	0	
sync_0178	yes	3	PF00733.28;PF13522.12;PF13537.12
sync_0179	yes	1	PF01041.24
sync_0180	no	0	
sync_0181	yes	1	PF03102.21
sync_0182	yes	1	PF02348.26
sync_0183	yes	1	PF02397.23
sync_0184	no	0	
sync_0185	no	0	
sync_0186	yes	1	PF01636.30
sync_0187	yes	2	PF00106.32;PF13561.13
sync_0189	no	0	
sync_0190	no	0	
sync_0192	yes	3	PF01370.28;PF02719.22;PF04321.24
sync_0194	yes	3	PF00939.26;PF02080.27;PF03600.23
sync_0195	yes	3	PF01782.25;PF05239.22;PF24986.2
sync_0196	yes	1	PF11623.15
sync_0197	yes	2	PF00520.38;PF07885.23
sync_0198	yes	1	PF01850.28
sync_0199	no	0	
sync_0200	yes	3	PF00035.33;PF00636.32;PF14622.12
sync_0202	yes	1	PF01741.24
sync_0203	no	0	
sync_0204	no	0	
sync_0205	yes	1	PF00343.27
sync_0206	yes	1	PF00999.27
sync_0207	no	0	
sync_0208	yes	3	PF00561.27;PF12146.16;PF12697.14
sync_0209	yes	1	PF01263.27
sync_0210	yes	1	PF01565.29
sync_0211	yes	2	PF07005.17;PF17042.11
sync_0212	no	0	
sync_0213	yes	2	PF02754.22;PF13183.12
sync_0214	yes	1	PF00180.26
sync_0215	no	0	
sync_0216	yes	1	PF01126.26
sync_0217	no	0	
sync_0219	yes	2	PF00005.34;PF00664.29
sync_0220	yes	2	PF00534.27;PF13692.13
sync_0221	yes	3	PF00534.27;PF13439.13;PF13692.13
sync_0222	yes	3	PF00534.27;PF13692.13;PF20706.4
sync_0223	yes	2	PF00534.27;PF13692.13
sync_0224	no	0	
sync_0226	yes	2	PF00685.34;PF13469.13
sync_0227	yes	3	PF00580.28;PF13245.13;PF13361.13
sync_0228	yes	1	PF01743.27
sync_0229	yes	1	PF04932.21
sync_0230	yes	2	PF00586.30;PF02769.28
sync_0231	yes	5	PF01073.26;PF01370.28;PF02719.22;PF08659.17;PF16363.12
sync_0232	yes	3	PF00587.31;PF03129.26;PF13393.12
sync_0233	yes	3	PF00984.25;PF03720.23;PF03721.21
sync_0234	yes	5	PF01073.26;PF01370.28;PF02719.22;PF04321.24;PF16363.12
sync_0236	yes	1	PF01788.23
sync_0237	yes	1	PF02419.23
sync_0238	yes	1	PF00283.25
sync_0239	yes	2	PF00283.25;PF00284.26
sync_0240	yes	1	PF14870.13
sync_0241	yes	1	PF00301.26
sync_0242	yes	1	PF00507.25
sync_0243	yes	1	PF01058.30
sync_0244	yes	1	PF00329.26
sync_0245	yes	1	PF01933.24
sync_0246	yes	1	PF00005.34
sync_0247	yes	1	PF02470.26
sync_0248	yes	3	PF13519.13;PF17863.8;PF26791.1
sync_0249	yes	1	PF01288.26
sync_0252	yes	2	PF00875.25;PF03441.20
sync_0253	yes	1	PF01041.24
sync_0254	no	0	
sync_0255	no	0	
sync_0256	no	0	
sync_0257	yes	1	PF03441.20
sync_0258	yes	2	PF00106.32;PF13561.13
sync_0259	yes	1	PF25539.2
sync_0260	yes	1	PF00475.25
sync_0261	yes	1	PF03055.22
sync_0262	yes	1	PF22778.4
sync_0263	yes	2	PF00512.32;PF02518.32
sync_0264	yes	1	PF12833.14
sync_0265	yes	1	PF00072.31
sync_0266	yes	1	PF04402.20
sync_0267	yes	1	PF07690.22
sync_0268	yes	1	PF02028.25
sync_0269	yes	1	PF01266.31
sync_0270	yes	1	PF00208.28
sync_0271	yes	1	PF03492.22
sync_0272	yes	1	PF01725.22
sync_0273	yes	3	PF02878.23;PF02879.23;PF02880.23
sync_0274	yes	1	PF13482.13
sync_0275	no	0	
sync_0276	no	0	
sync_0277	no	0	
sync_0279	yes	2	PF01595.26;PF03471.23
sync_0280	yes	3	PF01408.29;PF02894.23;PF22725.2
sync_0281	yes	2	PF00723.28;PF19292.5
sync_0282	yes	1	PF03808.20
sync_0283	yes	1	PF02533.21
sync_0284	yes	1	PF01702.26
sync_0285	yes	1	PF02654.21
sync_0286	yes	1	PF02518.32
sync_0287	yes	1	PF11352.14
sync_0288	yes	1	PF02230.23
sync_0289	yes	2	PF01808.25;PF02142.28
sync_0290	yes	1	PF13301.12
sync_0291	yes	1	PF09366.16
sync_0292	yes	1	PF02401.24
sync_0293	yes	1	PF00909.27
sync_0294	yes	2	PF03749.20;PF17746.8
sync_0295	yes	1	PF03023.20
sync_0296	no	0	
sync_0297	yes	1	PF11378.14
sync_0298	no	0	
sync_0300	yes	2	PF00155.28;PF00464.26
sync_0301	yes	1	PF00953.27
sync_0302	yes	3	PF00994.30;PF02464.24;PF18146.7
sync_0303	yes	1	PF00330.26
sync_0304	yes	1	PF00694.26
sync_0305	yes	1	PF00805.29
sync_0306	yes	1	PF12600.15
sync_0307	yes	1	PF02532.20
sync_0308	yes	3	PF01074.29;PF07748.20;PF09261.17
sync_0309	yes	1	PF02468.21
sync_0310	yes	1	PF00737.26
sync_0311	yes	1	PF02416.22
sync_0312	yes	1	PF01195.26
sync_0313	yes	1	PF11344.14
sync_0314	no	0	
sync_0315	yes	1	PF11283.14
sync_0316	yes	3	PF00027.36;PF00325.27;PF13545.13
sync_0317	yes	2	PF01138.28;PF03725.21
sync_0318	yes	1	PF02572.22
sync_0319	yes	1	PF22769.2
sync_0320	yes	1	PF02511.21
sync_0321	yes	1	PF00085.27
sync_0322	no	0	
sync_0323	yes	1	PF01464.26
sync_0325	yes	4	PF00408.27;PF02878.23;PF02879.23;PF02880.23
sync_0326	yes	1	PF01869.27
sync_0327	yes	1	PF04932.21
sync_0328	yes	1	PF02390.24
sync_0329	yes	2	PF08495.16;PF10442.15
sync_0330	yes	1	PF11375.14
sync_0331	yes	1	PF24869.2
sync_0332	no	0	
sync_0333	yes	3	PF00133.29;PF08264.20;PF09334.18
sync_0334	no	0	
sync_0336	yes	1	PF00487.31
sync_0337	yes	1	PF02686.21
sync_0338	yes	1	PF02633.20
sync_0339	no	0	
sync_0340	yes	1	PF02592.21
sync_0342	yes	1	PF02245.22
sync_0343	yes	2	PF00185.31;PF02729.27
sync_0344	yes	1	PF07992.21
sync_0345	yes	1	PF04483.18
sync_0346	no	0	
sync_0347	no	0	
sync_0348	no	0	
sync_0349	yes	2	PF00144.30;PF17660.7
sync_0351	yes	1	PF10742.15
sync_0352	yes	2	PF02441.25;PF04127.23
sync_0353	yes	1	PF01716.25
sync_0354	yes	2	PF01747.24;PF14306.13
sync_0355	yes	3	PF00004.36;PF01434.25;PF17862.8
sync_0356	yes	1	PF01081.26
sync_0357	no	0	
sync_0358	yes	1	PF01264.27
sync_0359	yes	1	PF06172.18
sync_0360	no	0	
sync_0361	yes	1	PF00128.32
sync_0362	yes	1	PF08282.19
sync_0363	yes	1	PF02566.25
sync_0364	no	0	
sync_0365	no	0	
sync_0366	yes	2	PF00497.26;PF03458.19
sync_0369	yes	1	PF04055.28
sync_0370	yes	1	PF02517.22
sync_0371	yes	1	PF02617.23
sync_0372	yes	1	PF00155.28
sync_0373	yes	3	PF04055.28;PF10105.15;PF19864.6
sync_0374	yes	1	PF10150.15
sync_0375	yes	1	PF01351.26
sync_0376	yes	1	PF09366.16
sync_0377	yes	1	PF00800.24
sync_0378	yes	6	PF02353.27;PF08241.19;PF08242.19;PF13489.13;PF13649.13;PF13847.13
sync_0379	yes	1	PF02190.23
sync_0380	yes	1	PF00338.28
sync_0381	yes	3	PF00009.34;PF03143.24;PF03144.32
sync_0382	yes	6	PF00009.34;PF00679.31;PF03144.32;PF03764.25;PF14492.13;PF22042.3
sync_0383	yes	1	PF00177.28
sync_0384	yes	1	PF00164.32
sync_0385	no	0	
sync_0386	yes	1	PF09992.15
sync_0387	yes	4	PF00310.27;PF01493.26;PF01645.24;PF04898.21
sync_0388	no	0	
sync_0389	yes	1	PF04055.28
sync_0391	yes	3	PF00590.26;PF01890.22;PF11760.14
sync_0392	no	0	
sync_0393	yes	1	PF00223.25
sync_0394	yes	1	PF00223.25
sync_0395	no	0	
sync_0396	yes	1	PF00487.31
sync_0397	yes	1	PF00873.26
sync_0398	yes	1	PF02605.21
sync_0399	no	0	
sync_0400	no	0	
sync_0401	yes	2	PF00535.33;PF13641.13
sync_0402	yes	1	PF00877.26
sync_0403	yes	1	PF13354.13
sync_0406	yes	2	PF00842.28;PF01168.27
sync_0407	yes	2	PF01844.30;PF14279.13
sync_0408	yes	2	PF00472.27;PF03462.24
sync_0409	yes	1	PF01197.24
sync_0410	yes	1	PF00380.26
sync_0411	yes	1	PF00572.25
sync_0412	yes	1	PF01416.26
sync_0413	yes	1	PF01196.25
sync_0414	yes	3	PF01000.32;PF01193.30;PF03118.22
sync_0415	yes	1	PF00411.25
sync_0416	yes	1	PF00416.28
sync_0417	yes	1	PF00444.24
sync_0418	yes	2	PF00406.30;PF13207.13
sync_0419	yes	1	PF00344.26
sync_0420	yes	1	PF00828.26
sync_0421	yes	2	PF00333.27;PF03719.22
sync_0422	yes	1	PF00861.28
sync_0423	yes	1	PF00347.29
sync_0424	yes	1	PF00410.25
sync_0425	yes	2	PF00281.25;PF00673.27
sync_0426	yes	2	PF00467.36;PF17136.11
sync_0427	yes	1	PF00238.25
sync_0428	yes	1	PF00366.27
sync_0429	yes	1	PF00831.29
sync_0430	yes	1	PF00252.25
sync_0431	yes	2	PF00189.26;PF07650.24
sync_0432	yes	1	PF00237.25
sync_0433	yes	1	PF00203.27
sync_0434	yes	2	PF00181.31;PF03947.25
sync_0435	yes	1	PF00276.26
sync_0436	yes	1	PF00573.28
sync_0437	yes	1	PF00297.29
sync_0438	yes	1	PF11909.14
sync_0439	yes	2	PF12617.14;PF25160.2
sync_0440	yes	2	PF19568.6;PF25516.2
sync_0442	no	0	
sync_0443	yes	2	PF00154.28;PF21096.3
sync_0444	yes	1	PF08844.16
sync_0445	yes	1	PF10999.14
sync_0446	no	0	
sync_0447	yes	2	PF02153.24;PF20463.4
sync_0448	yes	3	PF01266.31;PF01593.31;PF13450.13
sync_0449	yes	2	PF01636.30;PF03881.21
sync_0450	yes	1	PF14159.12
sync_0451	yes	1	PF14464.12
sync_0452	yes	2	PF00581.26;PF00899.28
sync_0453	yes	1	PF02572.22
sync_0454	no	0	
sync_0455	yes	1	PF00282.26
sync_0456	yes	1	PF02675.22
sync_0457	yes	1	PF02463.26
sync_0459	no	0	
sync_0460	yes	1	PF00311.24
sync_0461	yes	1	PF04107.19
sync_0462	yes	2	PF00425.25;PF04715.20
sync_0463	yes	1	PF02531.22
sync_0464	no	0	
sync_0465	yes	1	PF01098.25
sync_0466	yes	3	PF01656.30;PF10609.16;PF13614.13
sync_0467	yes	1	PF01218.24
sync_0468	no	0	
sync_0469	yes	1	PF12046.14
sync_0470	no	0	
sync_0471	yes	1	PF01612.27
sync_0472	no	0	
sync_0473	no	0	
sync_0476	yes	2	PF00520.38;PF07885.23
sync_0477	no	0	
sync_0478	no	0	
sync_0479	yes	1	PF00248.28
sync_0480	no	0	
sync_0481	yes	2	PF00586.30;PF02769.28
sync_0482	yes	1	PF03330.25
sync_0483	yes	2	PF02224.25;PF02569.22
sync_0484	yes	1	PF01451.28
sync_0485	yes	1	PF13646.13
sync_0486	yes	1	PF13646.13
sync_0487	yes	1	PF06206.18
sync_0488	yes	1	PF00502.26
sync_0489	yes	1	PF00502.26
sync_0490	yes	1	PF05996.18
sync_0491	yes	1	PF05996.18
sync_0492	yes	1	PF09367.17
sync_0493	no	0	
sync_0495	yes	1	PF00502.26
sync_0496	yes	1	PF00502.26
sync_0497	yes	1	PF13646.13
sync_0498	yes	1	PF10847.15
sync_0499	no	0	
sync_0500	yes	1	PF13646.13
sync_0501	yes	1	PF13646.13
sync_0502	yes	1	PF00427.27
sync_0504	yes	1	PF00502.26
sync_0505	yes	1	PF00502.26
sync_0506	no	0	
sync_0507	no	0	
sync_0508	yes	1	PF07862.17
sync_0509	yes	1	PF06206.18
sync_0510	yes	1	PF09367.17
sync_0511	yes	1	PF00427.27
sync_0512	yes	1	PF00427.27
sync_0513	yes	2	PF00427.27;PF01383.28
sync_0514	no	0	
sync_0515	yes	1	PF00427.27
sync_0516	yes	1	PF00427.27
sync_0517	yes	1	PF00502.26
sync_0518	no	0	
sync_0519	no	0	
sync_0520	no	0	
sync_0521	no	0	
sync_0525	no	0	
sync_0526	yes	1	PF10615.15
sync_0528	no	0	
sync_0529	yes	3	PF00438.26;PF02772.22;PF02773.22
sync_0530	yes	3	PF00702.33;PF12710.14;PF13419.13
sync_0531	yes	1	PF00575.30
sync_0532	yes	2	PF03477.22;PF22811.3
sync_0533	yes	1	PF01405.24
sync_0534	yes	1	PF00421.25
sync_0535	no	0	
sync_0536	yes	1	PF05151.18
sync_0537	yes	1	PF00582.33
sync_0538	yes	1	PF13279.13
sync_0539	yes	1	PF02481.22
sync_0540	yes	1	PF05175.21
sync_0541	yes	1	PF01300.25
sync_0543	yes	1	PF00196.26
sync_0544	yes	1	PF03776.20
sync_0545	yes	4	PF01656.30;PF06564.19;PF10609.16;PF13614.13
sync_0546	yes	1	PF03775.23
sync_0547	yes	1	PF01966.29
sync_0548	yes	1	PF03572.24
sync_0549	yes	2	PF00033.25;PF13631.12
sync_0550	yes	1	PF00032.23
sync_0551	yes	1	PF12899.14
sync_0552	no	0	
sync_0559	yes	1	PF00916.27
sync_0561	yes	3	PF01149.30;PF06827.21;PF06831.20
sync_0562	yes	1	PF02427.24
sync_0563	no	0	
sync_0564	yes	2	PF00270.36;PF00271.38
sync_0565	yes	1	PF01476.27
sync_0566	yes	1	PF00171.28
sync_0567	yes	2	PF00128.32;PF16657.12
sync_0568	yes	2	PF01266.31;PF16901.11
sync_0569	yes	2	PF00370.28;PF02782.23
sync_0570	yes	1	PF00128.32
sync_0571	no	0	
sync_0572	no	0	
sync_0573	yes	3	PF02518.32;PF02743.25;PF22673.3
sync_0574	yes	2	PF00072.31;PF00196.26
sync_0578	yes	1	PF01220.25
sync_0579	yes	1	PF06175.18
sync_0581	no	0	
sync_0582	no	0	
sync_0584	no	0	
sync_0586	yes	1	PF00196.26
sync_0589	yes	1	PF03079.21
sync_0590	yes	1	PF00590.26
sync_0591	yes	1	PF13301.12
sync_0592	yes	4	PF00535.33;PF13506.14;PF13632.13;PF13641.13
sync_0593	yes	1	PF01207.24
sync_0594	yes	1	PF08853.17
sync_0595	yes	1	PF03734.20
sync_0596	yes	4	PF00009.34;PF01926.30;PF02421.25;PF14714.12
sync_0597	yes	1	PF02361.22
sync_0598	yes	1	PF12058.14
sync_0599	yes	1	PF01168.27
sync_0600	yes	1	PF04472.18
sync_0601	yes	1	PF14748.12
sync_0602	yes	4	PF00534.27;PF13439.13;PF13579.13;PF13692.13
sync_0603	yes	2	PF05977.20;PF07690.22
sync_0604	yes	2	PF02565.22;PF11967.15
sync_0605	no	0	
sync_0606	yes	2	PF02482.26;PF16321.11
sync_0607	yes	1	PF21948.2
sync_0608	yes	2	PF00501.35;PF23562.3
sync_0609	no	0	
sync_0610	no	0	
sync_0613	no	0	
sync_0614	no	0	
sync_0616	yes	1	PF11068.14
sync_0617	yes	3	PF00198.29;PF00364.29;PF02817.23
sync_0618	yes	1	PF13520.13
sync_0619	yes	1	PF02547.21
sync_0620	yes	1	PF00291.32
sync_0621	yes	1	PF13505.13
sync_0622	yes	1	PF01053.27
sync_0623	yes	1	PF01053.27
sync_0624	no	0	
sync_0626	yes	1	PF07864.17
sync_0627	no	0	
sync_0628	no	0	
sync_0629	yes	2	PF00163.25;PF01479.31
sync_0630	yes	1	PF01809.24
sync_0631	yes	1	PF05768.21
sync_0632	yes	2	PF02875.27;PF08245.19
sync_0633	yes	1	PF01699.30
sync_0634	yes	3	PF01094.35;PF13433.13;PF13458.13
sync_0635	no	0	
sync_0636	yes	1	PF00266.26
sync_0637	no	0	
sync_0639	no	0	
sync_0641	no	0	
sync_0642	yes	1	PF13301.12
sync_0643	yes	2	PF07859.20;PF20434.6
sync_0644	no	0	
sync_0646	no	0	
sync_0647	yes	1	PF01106.23
sync_0648	yes	2	PF01266.31;PF06039.22
sync_0649	yes	2	PF00465.26;PF13685.13
sync_0650	no	0	
sync_0651	yes	1	PF00893.26
sync_0652	yes	4	PF00009.34;PF00679.31;PF03144.32;PF06421.18
sync_0653	no	0	
sync_0654	no	0	
sync_0655	no	0	
sync_0656	no	0	
sync_0657	no	0	
sync_0659	no	0	
sync_0662	no	0	
sync_0663	no	0	
sync_0664	no	0	
sync_0665	no	0	
sync_0666	no	0	
sync_0667	no	0	
sync_0668	yes	2	PF00512.32;PF02518.32
sync_0669	yes	2	PF00072.31;PF00486.35
sync_0670	no	0	
sync_0671	no	0	
sync_0672	no	0	
sync_0673	no	0	
sync_0674	no	0	
sync_0675	yes	2	PF00512.32;PF02518.32
sync_0676	yes	1	PF00528.28
sync_0677	no	0	
sync_0678	yes	2	PF00395.26;PF04966.19
sync_0679	yes	1	PF05154.22
sync_0680	yes	1	PF00210.31
sync_0681	yes	4	PF01926.30;PF02421.25;PF07664.18;PF07670.20
sync_0682	yes	1	PF04023.21
sync_0683	no	0	
sync_0684	no	0	
sync_0685	no	0	
sync_0686	yes	2	PF01545.27;PF16916.12
sync_0689	yes	2	PF00578.28;PF08534.17
sync_0690	yes	2	PF00588.25;PF12105.14
sync_0691	no	0	
sync_0692	no	0	
sync_0693	yes	1	PF01035.27
sync_0694	yes	3	PF01029.24;PF01189.24;PF22458.2
sync_0695	yes	2	PF00905.28;PF00912.29
sync_0696	yes	1	PF01040.24
sync_0697	yes	1	PF11061.15
sync_0698	yes	1	PF00977.28
sync_0699	no	0	
sync_0700	yes	6	PF01209.25;PF08241.19;PF08242.19;PF13489.13;PF13649.13;PF13847.13
sync_0701	no	0	
sync_0702	no	0	
sync_0705	no	0	
sync_0706	yes	2	PF00512.32;PF02518.32
sync_0707	yes	2	PF00072.31;PF00486.35
sync_0708	yes	1	PF11302.16
sync_0709	yes	1	PF00353.26
sync_0710	no	0	
sync_0711	yes	1	PF20191.4
sync_0712	no	0	
sync_0714	no	0	
sync_0716	yes	1	PF05019.19
sync_0717	yes	1	PF02091.21
sync_0718	yes	2	PF03772.22;PF13567.12
sync_0720	no	0	
sync_0721	no	0	
sync_0722	no	0	
sync_0723	yes	1	PF02397.23
sync_0724	yes	1	PF03186.19
sync_0725	yes	2	PF01450.26;PF07991.19
sync_0726	yes	1	PF00574.29
sync_0727	yes	1	PF00574.29
sync_0728	yes	1	PF27675.1
sync_0729	yes	1	PF04055.28
sync_0730	yes	1	PF02548.22
sync_0731	yes	2	PF00091.32;PF12327.14
sync_0732	yes	1	PF08478.16
sync_0733	no	0	
sync_0734	yes	3	PF01820.28;PF02222.28;PF07478.19
sync_0735	yes	2	PF00919.27;PF04055.28
sync_0736	yes	1	PF13378.13
sync_0737	yes	2	PF07755.18;PF17396.9
sync_0739	yes	1	PF14271.12
sync_0740	yes	1	PF07969.18
sync_0741	yes	1	PF01565.29
sync_0742	yes	1	PF00805.29
sync_0743	yes	1	PF27239.1
sync_0744	yes	1	PF00202.28
sync_0746	yes	1	PF00275.26
sync_0748	no	0	
sync_0749	yes	1	PF00588.25
sync_0750	yes	4	PF00070.34;PF01134.29;PF02852.29;PF07992.21
sync_0751	yes	1	PF00218.28
sync_0753	no	0	
sync_0754	no	0	
sync_0755	yes	1	PF09055.17
sync_0756	yes	1	PF00254.35
sync_0757	no	0	
sync_0758	no	0	
sync_0759	yes	3	PF03054.23;PF20258.5;PF20259.4
sync_0760	yes	2	PF01256.23;PF03853.22
sync_0761	yes	4	PF00140.26;PF04539.23;PF04542.21;PF04545.23
sync_0762	no	0	
sync_0763	yes	1	PF00850.25
sync_0764	yes	1	PF00676.26
sync_0765	yes	3	PF13355.13;PF23468.2;PF25515.2
sync_0766	yes	3	PF00448.29;PF02881.25;PF02978.27
sync_0767	yes	1	PF00886.25
sync_0768	yes	1	PF02562.23
sync_0769	yes	1	PF01027.27
sync_0770	yes	2	PF00083.31;PF07690.22
sync_0771	yes	1	PF27721.1
sync_0772	yes	1	PF03306.19
sync_0773	yes	3	PF01926.30;PF02421.25;PF07650.24
sync_0774	no	0	
sync_0775	yes	1	PF01746.27
sync_0781	yes	1	PF02542.22
sync_0782	no	0	
sync_0783	yes	1	PF00731.27
sync_0784	no	0	
sync_0785	yes	1	PF07466.17
sync_0786	yes	1	PF02597.27
sync_0787	no	0	
sync_0788	no	0	
sync_0791	yes	2	PF02581.24;PF17792.7
sync_0793	yes	2	PF01687.24;PF06574.19
sync_0794	yes	1	PF12263.14
sync_0795	yes	1	PF01975.24
sync_0796	yes	2	PF01409.26;PF02912.24
sync_0797	no	0	
sync_0798	no	0	
sync_0799	no	0	
sync_0804	yes	2	PF03109.23;PF27536.1
