Entry	Gene Names	Organism (ID)	Pfam	Protein names	Gene Names (ordered locus)
Q3AUW2	rplD rpl4 Syncc9902_1956	316279	PF00573;	Large ribosomal subunit protein uL4 (50S ribosomal protein L4)	Syncc9902_1956
Q3AUX0	rpsC rps3 Syncc9902_1961	316279	PF07650;PF00189;	Small ribosomal subunit protein uS3 (30S ribosomal protein S3)	Syncc9902_1961
Q3AUX3	petB Syncc9902_1849	316279	PF00033;	Cytochrome b6	Syncc9902_1849
Q3AUZ9	groEL2 groL2 Syncc9902_1747	316279	PF00118;	Chaperonin GroEL 2 (EC 5.6.1.7) (60 kDa chaperonin 2) (Chaperonin-60 2) (Cpn60 2)	Syncc9902_1747
Q3AV08	obg Syncc9902_1824	316279	PF01018;PF01926;	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	Syncc9902_1824
Q3AV44	pnp Syncc9902_1794	316279	PF00013;PF03726;PF01138;PF03725;PF00575;	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	Syncc9902_1794
Q3AV47	serS Syncc9902_1791	316279	PF02403;PF00587;	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	Syncc9902_1791
Q3AV54	accA Syncc9902_1633	316279	PF03255;	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	Syncc9902_1633
Q3AV73	mnmA Syncc9902_1521	316279	PF03054;PF20258;PF20259;	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	Syncc9902_1521
Q3AV89	ddl Syncc9902_1541	316279	PF07478;PF01820;	D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)	Syncc9902_1541
Q3AV90	miaB Syncc9902_1540	316279	PF04055;PF01938;PF00919;	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	Syncc9902_1540
Q3AV98	pyrH Syncc9902_1648	316279	PF00696;	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	Syncc9902_1648
Q3AVB7	panB Syncc9902_1545	316279	PF02548;	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	Syncc9902_1545
Q3AVC3	clpP3 Syncc9902_1549	316279	PF00574;	ATP-dependent Clp protease proteolytic subunit 3 (EC 3.4.21.92) (Endopeptidase Clp 3)	Syncc9902_1549
Q3AVE5	surE Syncc9902_1499	316279	PF01975;	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)	Syncc9902_1499
Q3AVF6	menD Syncc9902_1334	316279	PF02775;PF16582;PF02776;	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9)	Syncc9902_1334
Q3AVF9	glgA Syncc9902_1331	316279	PF08323;PF00534;	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	Syncc9902_1331
Q3AVH3	pdxJ Syncc9902_1414	316279	PF03740;	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	Syncc9902_1414
Q3AVJ1	pheT Syncc9902_1135	316279	PF03483;PF03484;PF03147;PF01588;PF17759;	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	Syncc9902_1135
Q3AVL6	mraY Syncc9902_2311	316279	PF00953;PF10555;	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	Syncc9902_2311
Q3AVL9	argG Syncc9902_2308	316279	PF20979;PF00764;	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	Syncc9902_2308
Q3AVP2	moaC Syncc9902_2276	316279	PF01967;	Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)	Syncc9902_2276
Q3AVP9	moaA Syncc9902_2269	316279	PF06463;PF04055;	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	Syncc9902_2269
Q3AVR1	ureC Syncc9902_2257	316279	PF01979;PF00449;	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	Syncc9902_2257
Q3AVS9	aspS Syncc9902_2233	316279	PF02938;PF00152;PF01336;	Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS)	Syncc9902_2233
Q3AVV3	alaS Syncc9902_2173	316279	PF02272;PF01411;PF07973;	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	Syncc9902_2173
Q3AVV9	coaE Syncc9902_2167	316279	PF01121;	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	Syncc9902_2167
Q3AVW5	eno Syncc9902_2161	316279	PF00113;PF03952;	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	Syncc9902_2161
Q3AVX2	murG Syncc9902_2147	316279	PF04101;PF03033;	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	Syncc9902_2147
Q3AVX6	pgk Syncc9902_2143	316279	PF00162;	Phosphoglycerate kinase (EC 2.7.2.3)	Syncc9902_2143
Q3AVY3	mnmE trmE Syncc9902_2136	316279	PF01926;PF12631;PF10396;	tRNA modification GTPase MnmE (EC 3.6.-.-)	Syncc9902_2136
Q3AVZ9	ndhH Syncc9902_2112	316279	PF00346;	NAD(P)H-quinone oxidoreductase subunit H (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit H) (NADH-plastoquinone oxidoreductase subunit H) (NDH-1 subunit H) (NDH-H)	Syncc9902_2112
Q3AW11	trpB Syncc9902_2098	316279	PF00291;	Tryptophan synthase beta chain (EC 4.2.1.20)	Syncc9902_2098
Q3AW18	glyA Syncc9902_2091	316279	PF00464;	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	Syncc9902_2091
Q3AW21	leuC Syncc9902_2088	316279	PF00330;	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	Syncc9902_2088
Q3AW32	glmM Syncc9902_2067	316279	PF02878;PF02879;PF02880;PF00408;	Phosphoglucosamine mutase (EC 5.4.2.10)	Syncc9902_2067
Q3AW35	trmB Syncc9902_2064	316279	PF02390;	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	Syncc9902_2064
Q3AW44	dapL Syncc9902_2031	316279	PF00155;	LL-diaminopimelate aminotransferase (DAP-AT) (DAP-aminotransferase) (LL-DAP-aminotransferase) (EC 2.6.1.83)	Syncc9902_2031
Q3AW47	rnhB Syncc9902_2028	316279	PF01351;	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	Syncc9902_2028
Q3AW53	tuf Syncc9902_2022	316279	PF00009;PF03144;PF03143;	Elongation factor Tu (EF-Tu) (EC 3.6.5.3)	Syncc9902_2022
Q3AW56	rpsL rps12 Syncc9902_2019	316279	PF00164;	Small ribosomal subunit protein uS12 (30S ribosomal protein S12)	Syncc9902_2019
Q3AW67	rplM rpl13 Syncc9902_1981	316279	PF00572;	Large ribosomal subunit protein uL13 (50S ribosomal protein L13)	Syncc9902_1981
Q3AW68	truA Syncc9902_1980	316279	PF01416;	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	Syncc9902_1980
Q3AW70	rpoA Syncc9902_1978	316279	PF01000;PF03118;PF01193;	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	Syncc9902_1978
Q3AW74	adk Syncc9902_1974	316279	PF00406;	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	Syncc9902_1974
Q3AW77	rpsE rps5 Syncc9902_1971	316279	PF00333;PF03719;	Small ribosomal subunit protein uS5 (30S ribosomal protein S5)	Syncc9902_1971
Q3AWA8	hemF Syncc9902_1926	316279	PF01218;	Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	Syncc9902_1926
Q3AWE6	metK Syncc9902_1869	316279	PF02773;PF02772;PF00438;	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	Syncc9902_1869
Q3AWF3	mtnC Syncc9902_1846	316279	PF00702;	Enolase-phosphatase E1 (EC 3.1.3.77) (2,3-diketo-5-methylthio-1-phosphopentane phosphatase)	Syncc9902_1846
Q3AWG6	aroQ Syncc9902_1833	316279	PF01220;	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Syncc9902_1833
Q3AWJ7	ndhB Syncc9902_1766	316279	PF00361;	NAD(P)H-quinone oxidoreductase subunit 2 (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 2) (NADH-plastoquinone oxidoreductase subunit 2) (NDH-1, subunit 2)	Syncc9902_1766
Q3AWL7	petC Syncc9902_1734	316279	PF00355;PF25471;	Cytochrome b6-f complex iron-sulfur subunit (EC 7.1.1.6) (Plastohydroquinone:plastocyanin oxidoreductase iron-sulfur protein) (ISP) (RISP) (Rieske iron-sulfur protein)	Syncc9902_1734
Q3AWM1	gmk Syncc9902_1730	316279	PF00625;	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	Syncc9902_1730
Q3AWM4	tsaD gcp Syncc9902_1727	316279	PF00814;	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	Syncc9902_1727
Q3AWM6	gltX Syncc9902_1719	316279	PF19269;PF00749;	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	Syncc9902_1719
Q3AWP4	hemL Syncc9902_1701	316279	PF00202;	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	Syncc9902_1701
Q3AWQ4	hemC Syncc9902_1680	316279	PF01379;PF03900;	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	Syncc9902_1680
Q3AWR0	argB Syncc9902_1674	316279	PF00696;	Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)	Syncc9902_1674
Q3AWR7	purA Syncc9902_1667	316279	PF00709;	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	Syncc9902_1667
Q3AWT4	chlL Syncc9902_1621	316279	PF00142;	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)	Syncc9902_1621
Q3AWT5	chlB Syncc9902_1620	316279	PF00148;PF08369;	Light-independent protochlorophyllide reductase subunit B (DPOR subunit B) (LI-POR subunit B) (EC 1.3.7.7)	Syncc9902_1620
Q3AWT6	chlN Syncc9902_1619	316279	PF00148;	Light-independent protochlorophyllide reductase subunit N (DPOR subunit N) (LI-POR subunit N) (EC 1.3.7.7)	Syncc9902_1619
Q3AWU1	cbbL rbcL Syncc9902_1614	316279	PF00016;PF02788;	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	Syncc9902_1614
Q3AWW5	rpsD rps4 Syncc9902_1590	316279	PF00163;PF01479;	Small ribosomal subunit protein uS4 (30S ribosomal protein S4)	Syncc9902_1590
Q3AWX3	lepA Syncc9902_1582	316279	PF00679;PF00009;PF03144;PF06421;	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	Syncc9902_1582
Q3AWY4	hisF Syncc9902_1571	316279	PF00977;	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	Syncc9902_1571
Q3AX63	trmFO Syncc9902_1425	316279	PF01134;	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO (EC 2.1.1.74) (Folate-dependent tRNA (uracil-5-)-methyltransferase) (Folate-dependent tRNA(M-5-U54)-methyltransferase)	Syncc9902_1425
Q3AX82	bioB Syncc9902_1394	316279	PF06968;PF04055;	Biotin synthase (EC 2.8.1.6)	Syncc9902_1394
Q3AXB7	aroA Syncc9902_1326	316279	PF00275;	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Syncc9902_1326
Q3AXF3	rsmA ksgA Syncc9902_1283	316279	PF00398;	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	Syncc9902_1283
Q3AXF4	ispE Syncc9902_1282	316279	PF08544;PF00288;	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	Syncc9902_1282
Q3AXK3	Syncc9902_1229	316279	PF03320;	D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase (FBPase class 2/SBPase) (EC 3.1.3.11) (EC 3.1.3.37)	Syncc9902_1229
Q3AXK4	hemA Syncc9902_1228	316279	PF00745;PF05201;PF01488;	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	Syncc9902_1228
Q3AXL0	ilvD Syncc9902_1222	316279	PF24877;PF00920;	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	Syncc9902_1222
Q3AXP3	ispG Syncc9902_1179	316279	PF04551;PF26540;	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	Syncc9902_1179
Q3AXV0	coaD Syncc9902_1113	316279	PF01467;	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	Syncc9902_1113
Q3AXV7	leuS Syncc9902_1106	316279	PF08264;PF00133;PF13603;PF09334;	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	Syncc9902_1106
Q3AXV8	pgi Syncc9902_1105	316279	PF00342;	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	Syncc9902_1105
Q3AXW8	murQ Syncc9902_1095	316279	PF22645;	N-acetylmuramic acid 6-phosphate etherase (MurNAc-6-P etherase) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase) (N-acetylmuramic acid 6-phosphate lyase)	Syncc9902_1095
Q3AXX4	pstB Syncc9902_1089	316279	PF00005;	Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)	Syncc9902_1089
Q3AXZ4	dxs Syncc9902_1069	316279	PF13292;PF02779;PF02780;	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	Syncc9902_1069
Q3AY04	clpP1 Syncc9902_1059	316279	PF00574;	ATP-dependent Clp protease proteolytic subunit 1 (EC 3.4.21.92) (Endopeptidase Clp 1)	Syncc9902_1059
Q3AYC6	thrS Syncc9902_0935	316279	PF03129;PF00587;PF07973;	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	Syncc9902_0935
Q3AYD4	proA Syncc9902_0927	316279	PF00171;	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	Syncc9902_0927
Q3AYE2	glgB Syncc9902_0919	316279	PF00128;PF02806;PF02922;PF22019;	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	Syncc9902_0919
Q3AYE3	hemE Syncc9902_0918	316279	PF01208;	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	Syncc9902_0918
Q3AYG7	ndhL Syncc9902_0894	316279	PF10716;	NAD(P)H-quinone oxidoreductase subunit L (EC 7.1.1.-) (NAD(P)H dehydrogenase I subunit L) (NDH-1 subunit L) (NDH-L)	Syncc9902_0894
Q3AYG9	pyrC Syncc9902_0892	316279	PF01979;	Dihydroorotase (DHOase) (EC 3.5.2.3)	Syncc9902_0892
Q3AYI2	gloB Syncc9902_0879	316279	PF16123;PF00753;	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (Glx II)	Syncc9902_0879
Q3AYN1	tpiA Syncc9902_0830	316279	PF00121;	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	Syncc9902_0830
Q3AYN5	dapB Syncc9902_0826	316279	PF05173;PF01113;	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	Syncc9902_0826
Q3AYP0	apt Syncc9902_0821	316279	PF00156;	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	Syncc9902_0821
Q3AYR1	purQ Syncc9902_0800	316279	PF13507;	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)	Syncc9902_0800
Q3AYR8	accD Syncc9902_0793	316279	PF01039;PF17848;	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	Syncc9902_0793
Q3AYS1	leuB Syncc9902_0788	316279	PF00180;	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	Syncc9902_0788
Q3AYS2	lpxD Syncc9902_0787	316279	PF00132;PF04613;	UDP-3-O-acylglucosamine N-acyltransferase (EC 2.3.1.191)	Syncc9902_0787
Q3AYS3	proB Syncc9902_0786	316279	PF00696;PF01472;	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	Syncc9902_0786
Q3AYX2	folD Syncc9902_0737	316279	PF00763;PF02882;	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	Syncc9902_0737
Q3AYY2	leuA Syncc9902_0727	316279	PF22617;PF00682;PF08502;	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	Syncc9902_0727
Q3AYZ0	hisH Syncc9902_0719	316279	PF00117;	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	Syncc9902_0719
Q3AYZ7	ruvC Syncc9902_0712	316279	PF02075;	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	Syncc9902_0712
Q3AZ20	dxr Syncc9902_0689	316279	PF08436;PF02670;PF13288;	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	Syncc9902_0689
Q3AZ50	lipB Syncc9902_0659	316279	PF21948;	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	Syncc9902_0659
Q3AZA2	rpoC2 Syncc9902_0607	316279	PF04983;PF05000;PF04998;	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	Syncc9902_0607
Q3AZA3	rpoC1 Syncc9902_0606	316279	PF04997;PF00623;PF04983;	DNA-directed RNA polymerase subunit gamma (RNAP subunit gamma) (EC 2.7.7.6) (RNA polymerase subunit gamma) (Transcriptase subunit gamma)	Syncc9902_0606
Q3AZA4	rpoB Syncc9902_0605	316279	PF04563;PF04561;PF04565;PF10385;PF00562;PF04560;	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	Syncc9902_0605
Q3AZA8	rpiA Syncc9902_0601	316279	PF06026;	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	Syncc9902_0601
