old_locus_tag	protein_id
Syncc9902_0056	WP_011358898.1
Syncc9902_0057	WP_011358899.1
Syncc9902_0058	WP_011358900.1
Syncc9902_0059	WP_011358901.1
Syncc9902_0060	WP_011358902.1
Syncc9902_0061	WP_011358903.1
Syncc9902_0062	WP_041425257.1
Syncc9902_0063	WP_011358905.1
Syncc9902_0064	WP_011358906.1
Syncc9902_0065	WP_011358907.1
Syncc9902_0066	WP_011358908.1
Syncc9902_0067	WP_011358909.1
Syncc9902_0068	WP_011358910.1
Syncc9902_0070	WP_011358912.1
Syncc9902_0072	WP_011358914.1
Syncc9902_0073	WP_011358915.1
Syncc9902_0074	WP_011358916.1
Syncc9902_0075	WP_011358917.1
Syncc9902_0076	WP_011358918.1
Syncc9902_0077	WP_011358919.1
Syncc9902_0078	WP_011358920.1
Syncc9902_0079	WP_011358921.1
Syncc9902_0080	WP_011358922.1
Syncc9902_0081	WP_011358923.1
Syncc9902_0082	WP_011358924.1
Syncc9902_0083	WP_011358925.1
Syncc9902_0084	WP_011358926.1
Syncc9902_0085	WP_011358927.1
Syncc9902_0086	WP_041424686.1
Syncc9902_0087	WP_011358929.1
Syncc9902_0088	WP_198001743.1
Syncc9902_0089	WP_011358931.1
Syncc9902_0090	WP_011358932.1
Syncc9902_0091	WP_011358933.1
Syncc9902_0092	WP_011358934.1
Syncc9902_0093	WP_011358935.1
Syncc9902_0094	WP_011358936.1
Syncc9902_0095	WP_011358937.1
Syncc9902_0096	WP_011358938.1
Syncc9902_0097	WP_011358939.1
Syncc9902_0098	WP_011358940.1
Syncc9902_0099	WP_011358941.1
Syncc9902_0100	WP_071818388.1
Syncc9902_0101	WP_011358943.1
Syncc9902_0102	WP_011358944.1
Syncc9902_0103	WP_011358945.1
Syncc9902_0104	WP_011358946.1
Syncc9902_0105	WP_011358947.1
Syncc9902_0106	WP_011358948.1
Syncc9902_0107	WP_156771025.1
Syncc9902_0108	WP_156771026.1
Syncc9902_0109	WP_011358951.1
Syncc9902_0110	WP_071818424.1
Syncc9902_0111	WP_011358953.1
Syncc9902_0112	WP_011358954.1
Syncc9902_0113	WP_011358955.1
Syncc9902_0114	WP_011358956.1
Syncc9902_0115	WP_011358957.1
Syncc9902_0116	WP_011358958.1
Syncc9902_0117	WP_011358959.1
Syncc9902_0118	WP_011358960.1
Syncc9902_0119	WP_011358961.1
Syncc9902_0120	WP_041424700.1
Syncc9902_0121	WP_071818391.1
Syncc9902_0122	WP_011358964.1
Syncc9902_0123	WP_011358965.1
Syncc9902_0124	WP_232179233.1
Syncc9902_0125	WP_232179234.1
Syncc9902_0127	WP_011358969.1
Syncc9902_0128	WP_011358970.1
Syncc9902_0129	WP_011358971.1
Syncc9902_0130	WP_011358972.1
Syncc9902_0131	WP_011358973.1
Syncc9902_0132	WP_011358974.1
Syncc9902_0133	WP_011358975.1
Syncc9902_0134	WP_011358976.1
Syncc9902_0135	WP_011358977.1
Syncc9902_0136	WP_049749468.1
Syncc9902_0137	WP_041424704.1
Syncc9902_0138	WP_011358980.1
Syncc9902_0139	WP_011358981.1
Syncc9902_0140	WP_011358982.1
Syncc9902_0141	WP_011358983.1
Syncc9902_0143	WP_041424708.1
Syncc9902_0144	WP_011358986.1
Syncc9902_0145	WP_011358987.1
Syncc9902_0146	WP_011358988.1
Syncc9902_0147	WP_011358989.1
Syncc9902_0148	WP_009788437.1
Syncc9902_0149	WP_011358990.1
Syncc9902_0150	WP_011358991.1
Syncc9902_0151	WP_041424712.1
Syncc9902_0152	WP_011358993.1
Syncc9902_0153	WP_011358994.1
Syncc9902_0154	WP_011358995.1
Syncc9902_0155	WP_006851112.1
Syncc9902_0156	WP_011358996.1
Syncc9902_0157	WP_009788429.1
Syncc9902_0158	WP_011358997.1
Syncc9902_0159	WP_011358998.1
Syncc9902_0160	WP_011358999.1
Syncc9902_0161	WP_011359000.1
Syncc9902_0162	WP_011359001.1
Syncc9902_0163	WP_011359002.1
Syncc9902_0164	WP_011359003.1
Syncc9902_0165	WP_011359004.1
Syncc9902_0166	WP_011359005.1
Syncc9902_0167	WP_011359006.1
Syncc9902_0168	WP_011359007.1
Syncc9902_0169	WP_011359008.1
Syncc9902_0170	WP_009788395.1
Syncc9902_0171	WP_006850103.1
Syncc9902_0172	WP_011359010.1
Syncc9902_0173	WP_041424717.1
Syncc9902_0174	WP_011359012.1
Syncc9902_0175	WP_011359013.1
Syncc9902_0176	WP_011359014.1
Syncc9902_0177	WP_011359015.1
Syncc9902_0178	WP_011359016.1
Syncc9902_0179	WP_011359017.1
Syncc9902_0180	WP_011359018.1
Syncc9902_0181	WP_011359019.1
Syncc9902_0182	WP_011359020.1
Syncc9902_0183	WP_011359021.1
Syncc9902_0184	WP_011359022.1
Syncc9902_0185	WP_011359023.1
Syncc9902_0186	WP_011359024.1
Syncc9902_0187	WP_011359025.1
Syncc9902_0188	WP_011359026.1
Syncc9902_0189	WP_011359027.1
Syncc9902_0190	WP_011359028.1
Syncc9902_0191	WP_011359029.1
Syncc9902_0192	WP_011359030.1
Syncc9902_0193	WP_011359031.1
Syncc9902_0194	WP_011359032.1
Syncc9902_0195	WP_011359033.1
Syncc9902_0196	WP_041424720.1
Syncc9902_0197	WP_011359035.1
Syncc9902_0198	WP_011359036.1
Syncc9902_0199	WP_011359037.1
Syncc9902_0200	WP_011359038.1
Syncc9902_0201	WP_011359039.1
Syncc9902_0202	WP_011359040.1
Syncc9902_0203	WP_011359041.1
Syncc9902_0204	WP_156771030.1
Syncc9902_0205	WP_011359043.1
Syncc9902_0206	WP_041424723.1
Syncc9902_0207	WP_011359045.1
Syncc9902_0208	WP_011359046.1
Syncc9902_0209	WP_011359047.1
Syncc9902_0210	WP_011359048.1
Syncc9902_0211	WP_011359049.1
Syncc9902_0212	WP_011359050.1
Syncc9902_0213	WP_011359051.1
Syncc9902_0214	WP_011359052.1
Syncc9902_0215	WP_011359053.1
Syncc9902_0216	WP_232179236.1
Syncc9902_0217	WP_011359055.1
Syncc9902_0218	WP_369776181.1
Syncc9902_0219	WP_011359057.1
Syncc9902_0220	WP_011359058.1
Syncc9902_0221	WP_011359059.1
Syncc9902_0222	WP_011359060.1
Syncc9902_0223	WP_011359061.1
Syncc9902_0224	WP_009788331.1
Syncc9902_0225	WP_009788330.1
Syncc9902_0226	WP_011359062.1
Syncc9902_0227	WP_011359063.1
Syncc9902_0228	WP_011359064.1
Syncc9902_0229	WP_041424726.1
Syncc9902_0230	WP_011359066.1
Syncc9902_0231	WP_011359067.1
Syncc9902_0232	WP_011359068.1
Syncc9902_0233	WP_041425265.1
Syncc9902_0234	WP_083756840.1
Syncc9902_0235	WP_011359071.1
Syncc9902_0236	WP_011359072.1
Syncc9902_0237	WP_011359073.1
Syncc9902_0238	WP_011359074.1
Syncc9902_0239	WP_011359075.1
Syncc9902_0240	WP_011359076.1
Syncc9902_0241	WP_011359077.1
Syncc9902_0242	WP_011359078.1
Syncc9902_0243	WP_041424729.1
Syncc9902_0244	WP_011359080.1
Syncc9902_0245	WP_011359081.1
Syncc9902_0246	WP_041425269.1
Syncc9902_0247	WP_011359083.1
Syncc9902_0248	WP_011359084.1
Syncc9902_0249	WP_011359085.1
Syncc9902_0250	WP_156771031.1
Syncc9902_0251	WP_011359087.1
Syncc9902_0252	WP_011359088.1
Syncc9902_0253	WP_011359089.1
Syncc9902_0256	WP_011359090.1
Syncc9902_0257	WP_011359091.1
Syncc9902_0258	WP_011359092.1
Syncc9902_0259	WP_011359093.1
Syncc9902_0260	WP_011359094.1
Syncc9902_0261	WP_011359095.1
Syncc9902_0262	WP_011359096.1
Syncc9902_0263	WP_011359097.1
Syncc9902_0264	WP_011359098.1
Syncc9902_0265	WP_011359099.1
Syncc9902_0266	WP_037987809.1
Syncc9902_0267	WP_011359100.1
Syncc9902_0268	WP_011359101.1
Syncc9902_0269	WP_011359102.1
Syncc9902_0270	WP_011359103.1
Syncc9902_0271	WP_011359104.1
Syncc9902_0272	WP_011359105.1
Syncc9902_0273	WP_011359106.1
Syncc9902_0274	WP_011359107.1
Syncc9902_0275	WP_011359108.1
Syncc9902_0276	WP_011359109.1
Syncc9902_0277	WP_041424740.1
Syncc9902_0278	WP_011359111.1
Syncc9902_0279	WP_011359112.1
Syncc9902_0280	WP_198001764.1
Syncc9902_0281	WP_011359114.1
Syncc9902_0282	WP_009788273.1
Syncc9902_0283	WP_009788272.1
Syncc9902_0284	WP_011359115.1
Syncc9902_0285	WP_011359116.1
Syncc9902_0286	WP_083756832.1
Syncc9902_0287	WP_011359118.1
Syncc9902_0288	WP_011359119.1
Syncc9902_0289	WP_011359120.1
Syncc9902_0290	WP_041424742.1
Syncc9902_0291	WP_011359122.1
Syncc9902_0292	WP_011359123.1
Syncc9902_0293	WP_011359124.1
Syncc9902_0294	WP_011359125.1
Syncc9902_0295	WP_011359126.1
Syncc9902_0296	WP_011359127.1
Syncc9902_0297	WP_011359128.1
Syncc9902_0298	WP_011359129.1
Syncc9902_0299	WP_011359130.1
Syncc9902_0300	WP_009788255.1
Syncc9902_0301	WP_011359131.1
Syncc9902_0301a	WP_011359132.1
Syncc9902_0302	WP_011359133.1
Syncc9902_0303	WP_011359134.1
Syncc9902_0304	WP_011359135.1
Syncc9902_0305	WP_011359136.1
Syncc9902_0306	WP_011359137.1
Syncc9902_0307	WP_011359138.1
Syncc9902_0308	WP_009788247.1
Syncc9902_0309	WP_011359139.1
Syncc9902_0310	WP_011359140.1
Syncc9902_0311	WP_011359141.1
Syncc9902_0312	WP_011359142.1
Syncc9902_0313	WP_011359143.1
Syncc9902_0314	WP_011359144.1
Syncc9902_0315	WP_011359145.1
Syncc9902_0317	WP_009788239.1
Syncc9902_0318	WP_011359147.1
Syncc9902_0319	WP_011359148.1
Syncc9902_0320	WP_011359149.1
Syncc9902_0321	WP_041424754.1
Syncc9902_0322	WP_011359151.1
Syncc9902_0323	WP_011359152.1
Syncc9902_0324	WP_011359153.1
Syncc9902_0325	WP_011359154.1
Syncc9902_0326	WP_011359155.1
Syncc9902_0327	WP_011359156.1
Syncc9902_0328	WP_011359157.1
Syncc9902_0329	WP_011359158.1
Syncc9902_0330	WP_011359159.1
Syncc9902_0331	WP_011359160.1
Syncc9902_0332	WP_011359161.1
Syncc9902_0333	WP_011359162.1
Syncc9902_0334	WP_009788219.1
Syncc9902_0335	WP_011359164.1
Syncc9902_0336	WP_011359165.1
Syncc9902_0337	WP_011359166.1
Syncc9902_0338	WP_011359167.1
Syncc9902_0339	WP_011359168.1
Syncc9902_0340	WP_011359169.1
Syncc9902_0341	WP_011359170.1
Syncc9902_0342	WP_011359171.1
Syncc9902_0343	WP_011359172.1
Syncc9902_0344	WP_011359173.1
Syncc9902_0345	WP_011359174.1
Syncc9902_0346	WP_011359175.1
Syncc9902_0347	WP_011359176.1
Syncc9902_0348	WP_011359177.1
Syncc9902_0349	WP_011359178.1
Syncc9902_0350	WP_011359179.1
Syncc9902_0351	WP_011359180.1
Syncc9902_0351a	WP_009788201.1
Syncc9902_0352	WP_011359181.1
Syncc9902_0353	WP_011359182.1
Syncc9902_0354	WP_011359183.1
Syncc9902_0355	WP_011359184.1
Syncc9902_0356	WP_011359185.1
Syncc9902_0357	WP_011359186.1
Syncc9902_0358	WP_011359187.1
Syncc9902_0359	WP_011359188.1
Syncc9902_0360	WP_083756841.1
Syncc9902_0363	WP_049749470.1
Syncc9902_0364	WP_011359191.1
Syncc9902_0365	WP_011359192.1
Syncc9902_0366	WP_011359193.1
Syncc9902_0367	WP_011359194.1
Syncc9902_0368	WP_009790628.1
Syncc9902_0369	WP_011359195.1
Syncc9902_0370	WP_009790625.1
Syncc9902_0371	WP_011359196.1
Syncc9902_0372	WP_011359197.1
Syncc9902_0373	WP_011359198.1
Syncc9902_0374	WP_011359199.1
Syncc9902_0375	WP_011359200.1
Syncc9902_0376	WP_011359201.1
Syncc9902_0377	WP_011359202.1
Syncc9902_0378	WP_011359203.1
Syncc9902_0379	WP_011359204.1
Syncc9902_0380	WP_011359205.1
Syncc9902_0381	WP_011359206.1
Syncc9902_0382	WP_011359207.1
Syncc9902_0383	WP_011359208.1
Syncc9902_0384	WP_011359209.1
Syncc9902_0385	WP_232179243.1
Syncc9902_0386	WP_011359211.1
Syncc9902_0387	WP_369776165.1
Syncc9902_0388	WP_011359213.1
Syncc9902_0389	WP_041424767.1
Syncc9902_0390	WP_011359215.1
Syncc9902_0391	WP_011359216.1
Syncc9902_0392	WP_011359217.1
Syncc9902_0393	WP_011359218.1
Syncc9902_0394	WP_232179244.1
Syncc9902_0395	WP_198001745.1
Syncc9902_0396	WP_011359221.1
Syncc9902_0397	WP_011359222.1
Syncc9902_0398	WP_011359223.1
Syncc9902_0399	WP_011359224.1
Syncc9902_0400	WP_011359225.1
Syncc9902_0401	WP_011359226.1
Syncc9902_0402	WP_011359227.1
Syncc9902_0403	WP_011359228.1
Syncc9902_0404	WP_011359229.1
Syncc9902_0405	WP_011359230.1
Syncc9902_0406	WP_011359231.1
Syncc9902_0407	WP_011359232.1
Syncc9902_0408	WP_011359233.1
Syncc9902_0409	WP_011359234.1
Syncc9902_0410	WP_011359235.1
Syncc9902_0411	WP_232179287.1
Syncc9902_0412	WP_011359237.1
Syncc9902_0413	WP_011359238.1
Syncc9902_0414	WP_011359239.1
Syncc9902_0415	WP_009790579.1
Syncc9902_0416	WP_041424768.1
Syncc9902_0417	WP_011359241.1
Syncc9902_0418	WP_011359242.1
Syncc9902_0419	WP_009790575.1
Syncc9902_0420	WP_049749410.1
Syncc9902_0421	WP_011359244.1
Syncc9902_0422	WP_011359245.1
Syncc9902_0423	WP_009790571.1
Syncc9902_0424	WP_011359246.1
Syncc9902_0425	WP_011359247.1
Syncc9902_0426	WP_011359248.1
Syncc9902_0427	WP_011359249.1
Syncc9902_0428	WP_009790566.1
Syncc9902_0429	WP_011359250.1
Syncc9902_0430	WP_071818427.1
Syncc9902_0431	WP_011359252.1
Syncc9902_0432	WP_041425279.1
Syncc9902_0436	WP_041424772.1
Syncc9902_0437	WP_232179246.1
Syncc9902_0438	WP_011359257.1
Syncc9902_0439	WP_011359258.1
Syncc9902_0440	WP_041424774.1
Syncc9902_0442	WP_011359261.1
Syncc9902_0443	WP_011359262.1
Syncc9902_0444	WP_011359263.1
Syncc9902_0447	WP_232179247.1
Syncc9902_0448	WP_071818395.1
Syncc9902_0449	WP_011359268.1
Syncc9902_0451	WP_041424798.1
Syncc9902_0453	WP_041424800.1
Syncc9902_0454	WP_255346181.1
Syncc9902_0455	WP_011359274.1
Syncc9902_0456	WP_011359275.1
Syncc9902_0457	WP_011359276.1
Syncc9902_0458	WP_011359277.1
Syncc9902_0459	WP_011359278.1
Syncc9902_0460	WP_041424803.1
Syncc9902_0461	WP_011359280.1
Syncc9902_0462	WP_011359281.1
Syncc9902_0463	WP_011359282.1
Syncc9902_0464	WP_041424806.1
Syncc9902_0465	WP_011359284.1
Syncc9902_0466	WP_232179250.1
Syncc9902_0467	WP_011359286.1
Syncc9902_0468	WP_011359287.1
Syncc9902_0469	WP_011359288.1
Syncc9902_0470	WP_011359289.1
Syncc9902_0471	WP_011359290.1
Syncc9902_0472	WP_011359291.1
Syncc9902_0473	WP_198001767.1
Syncc9902_0474	WP_011359293.1
Syncc9902_0475	WP_011359294.1
Syncc9902_0476	WP_041425288.1
Syncc9902_0477	WP_011359296.1
Syncc9902_0478	WP_009790505.1
Syncc9902_0479	WP_011359297.1
Syncc9902_0480	WP_011359298.1
Syncc9902_0481	WP_011359299.1
Syncc9902_0482	WP_041425292.1
Syncc9902_0483	WP_011359301.1
Syncc9902_0484	WP_009790499.1
Syncc9902_0485	WP_011359302.1
Syncc9902_0486	WP_011359303.1
Syncc9902_0487	WP_011359304.1
Syncc9902_0488	WP_011359305.1
Syncc9902_0489	WP_011359306.1
Syncc9902_0490	WP_011359307.1
Syncc9902_0491	WP_011359308.1
Syncc9902_0492	WP_011359309.1
Syncc9902_0493	WP_011359310.1
Syncc9902_0494	WP_011359311.1
Syncc9902_0495	WP_011359312.1
Syncc9902_0496	WP_011359313.1
Syncc9902_0497	WP_156771042.1
Syncc9902_0499	WP_011359316.1
Syncc9902_0500	WP_011359317.1
Syncc9902_0501	WP_011359318.1
Syncc9902_0502	WP_011359319.1
Syncc9902_0503	WP_011359320.1
Syncc9902_0504	WP_011359321.1
Syncc9902_0505	WP_011359322.1
Syncc9902_0506	WP_009790474.1
Syncc9902_0507	WP_011359323.1
Syncc9902_0508	WP_011359324.1
Syncc9902_0509	WP_156771044.1
Syncc9902_0510	WP_011359326.1
Syncc9902_0511	WP_156771045.1
Syncc9902_0512	WP_041424820.1
Syncc9902_0513	WP_011359329.1
Syncc9902_0514	WP_011359330.1
Syncc9902_0515	WP_041425294.1
Syncc9902_0516	WP_198001769.1
Syncc9902_0517	WP_011359333.1
Syncc9902_0518	WP_011359334.1
Syncc9902_0519	WP_009790464.1
Syncc9902_0520	WP_011359336.1
Syncc9902_0521	WP_011359337.1
Syncc9902_0522	WP_041424822.1
Syncc9902_0523	WP_041425296.1
Syncc9902_0524	WP_011359340.1
Syncc9902_0525	WP_011359341.1
Syncc9902_0526	WP_011359342.1
Syncc9902_0527	WP_011359343.1
Syncc9902_0528	WP_011359344.1
Syncc9902_0529	WP_006043345.1
Syncc9902_0530	WP_011359345.1
Syncc9902_0531	WP_011359346.1
Syncc9902_0532	WP_011359347.1
Syncc9902_0533	WP_011359348.1
Syncc9902_0534	WP_011359349.1
Syncc9902_0535	WP_011359350.1
Syncc9902_0536	WP_011359351.1
Syncc9902_0537	WP_041424826.1
Syncc9902_0538	WP_011359353.1
Syncc9902_0539	WP_011359354.1
Syncc9902_0540	WP_232179251.1
Syncc9902_0542	WP_011359357.1
Syncc9902_0543	WP_011359358.1
Syncc9902_0544	WP_011359359.1
Syncc9902_0545	WP_011359360.1
Syncc9902_0546	WP_011359361.1
Syncc9902_0547	WP_011359362.1
Syncc9902_0548	WP_011359363.1
Syncc9902_0549	WP_011359364.1
Syncc9902_0550	WP_011359365.1
Syncc9902_0551	WP_011359366.1
Syncc9902_0552	WP_011359367.1
Syncc9902_0553	WP_011359368.1
Syncc9902_0554	WP_232179253.1
Syncc9902_0555	WP_011359370.1
Syncc9902_0556	WP_011359371.1
Syncc9902_0557	WP_011359372.1
Syncc9902_0558	WP_011359373.1
Syncc9902_0559	WP_011359374.1
Syncc9902_0560	WP_011359375.1
Syncc9902_0561	WP_011359376.1
Syncc9902_0562	WP_011359377.1
Syncc9902_0563	WP_011359378.1
Syncc9902_0564	WP_011359379.1
Syncc9902_0565	WP_011359380.1
Syncc9902_0566	WP_009790413.1
Syncc9902_0567	WP_011359381.1
Syncc9902_0568	WP_011359382.1
Syncc9902_0569	WP_011359383.1
Syncc9902_0570	WP_011359384.1
Syncc9902_0571	WP_041424834.1
Syncc9902_0572	WP_011359386.1
Syncc9902_0573	WP_011359387.1
Syncc9902_0574	WP_011359388.1
Syncc9902_0575	WP_011359389.1
Syncc9902_0576	WP_049749476.1
Syncc9902_0577	WP_011359391.1
Syncc9902_0578	WP_011359392.1
Syncc9902_0579	WP_255346187.1
Syncc9902_0580	WP_011359393.1
Syncc9902_0581	WP_156771046.1
Syncc9902_0582	WP_011359395.1
Syncc9902_0583	WP_011359396.1
Syncc9902_0584	WP_011359397.1
Syncc9902_0585	WP_011359398.1
Syncc9902_0586	WP_011359399.1
Syncc9902_0587	WP_232179254.1
Syncc9902_0588	WP_232179255.1
Syncc9902_0589	WP_041425303.1
Syncc9902_0592	WP_011359405.1
Syncc9902_0593	WP_011359406.1
Syncc9902_0594	WP_011359407.1
Syncc9902_0595	WP_198001747.1
Syncc9902_0596	WP_011359409.1
Syncc9902_0597	WP_011359410.1
Syncc9902_0598	WP_011359411.1
Syncc9902_0599	WP_011359412.1
Syncc9902_0600	WP_011359413.1
Syncc9902_0601	WP_011359414.1
Syncc9902_0602	WP_041424847.1
Syncc9902_0603	WP_011359416.1
Syncc9902_0604	WP_011359417.1
Syncc9902_0605	WP_011359418.1
Syncc9902_0606	WP_011359419.1
Syncc9902_0607	WP_011359420.1
Syncc9902_0608	WP_011359421.1
Syncc9902_0609	WP_011359422.1
Syncc9902_0610	WP_011359423.1
Syncc9902_0611	WP_011359424.1
Syncc9902_0612	WP_011359425.1
Syncc9902_0613	WP_011359426.1
Syncc9902_0614	WP_011359427.1
Syncc9902_0615	WP_369776183.1
Syncc9902_0616	WP_011359429.1
Syncc9902_0617	WP_011359430.1
Syncc9902_0618	WP_011359431.1
Syncc9902_0619	WP_011359432.1
Syncc9902_0620	WP_011359433.1
Syncc9902_0621	WP_011359434.1
Syncc9902_0622	WP_011359435.1
Syncc9902_0623	WP_011359436.1
Syncc9902_0624	WP_011359437.1
Syncc9902_0625	WP_011359438.1
Syncc9902_0626	WP_009790345.1
Syncc9902_0627	WP_011359439.1
Syncc9902_0628	WP_011359440.1
Syncc9902_0629	WP_011359441.1
Syncc9902_0630	WP_011359442.1
Syncc9902_0631	WP_011359443.1
Syncc9902_0632	WP_011359444.1
Syncc9902_0633	WP_011359445.1
Syncc9902_0634	WP_011359446.1
Syncc9902_0635	WP_011359447.1
Syncc9902_0636	WP_011359448.1
Syncc9902_0637	WP_011359449.1
Syncc9902_0638	WP_011359450.1
Syncc9902_0639	WP_156771049.1
Syncc9902_0640	WP_011359452.1
Syncc9902_0641	WP_011359453.1
Syncc9902_0642	WP_011359454.1
Syncc9902_0643	WP_011359455.1
Syncc9902_0644	WP_011359456.1
Syncc9902_0645	WP_011359457.1
Syncc9902_0646	WP_011359458.1
Syncc9902_0647	WP_198001749.1
Syncc9902_0648	WP_011359460.1
Syncc9902_0649	WP_011359461.1
Syncc9902_0650	WP_011359462.1
Syncc9902_0651	WP_011359463.1
Syncc9902_0652	WP_156771050.1
Syncc9902_0653	WP_011359465.1
Syncc9902_0654	WP_041424854.1
Syncc9902_0655	WP_011359467.1
Syncc9902_0656	WP_011359468.1
Syncc9902_0657	WP_011359469.1
Syncc9902_0658	WP_011359470.1
Syncc9902_0659	WP_041424856.1
Syncc9902_0660	WP_011359472.1
Syncc9902_0661	WP_011359473.1
Syncc9902_0662	WP_011359474.1
Syncc9902_0663	WP_011359475.1
Syncc9902_0664	WP_011359476.1
Syncc9902_0665	WP_011359477.1
Syncc9902_0666	WP_011359478.1
Syncc9902_0667	WP_011359479.1
Syncc9902_0668	WP_009788239.1
Syncc9902_0669	WP_011359481.1
Syncc9902_0670	WP_011359482.1
Syncc9902_0671	WP_011359483.1
Syncc9902_0672	WP_011359484.1
Syncc9902_0673	WP_011359485.1
Syncc9902_0674	WP_011359486.1
Syncc9902_0675	WP_011359487.1
Syncc9902_0676	WP_011359488.1
Syncc9902_0677	WP_011359489.1
Syncc9902_0678	WP_011359490.1
Syncc9902_0679	WP_006041809.1
Syncc9902_0680	WP_011359491.1
Syncc9902_0681	WP_041425314.1
Syncc9902_0682	WP_071818399.1
Syncc9902_0683	WP_041424858.1
Syncc9902_0684	WP_198001750.1
Syncc9902_0685	WP_009790292.1
Syncc9902_0686	WP_011359496.1
Syncc9902_0687	WP_011359497.1
Syncc9902_0688	WP_011359498.1
Syncc9902_0689	WP_011359499.1
Syncc9902_0690	WP_011359500.1
Syncc9902_0691	WP_011359501.1
Syncc9902_0692	WP_011359502.1
Syncc9902_0693	WP_011359503.1
Syncc9902_0694	WP_041425316.1
Syncc9902_0695	WP_011359505.1
Syncc9902_0696	WP_156771052.1
Syncc9902_0697	WP_232179258.1
Syncc9902_0698	WP_011359508.1
Syncc9902_0699	WP_011359509.1
Syncc9902_0700	WP_011359510.1
Syncc9902_0701	WP_011359511.1
Syncc9902_0702	WP_011359512.1
Syncc9902_0703	WP_011359513.1
Syncc9902_0704	WP_011359514.1
Syncc9902_0705	WP_011359515.1
Syncc9902_0706	WP_011359516.1
Syncc9902_0707	WP_011359517.1
Syncc9902_0708	WP_011359518.1
Syncc9902_0710	WP_011359520.1
Syncc9902_0711	WP_011359521.1
Syncc9902_0712	WP_009790266.1
Syncc9902_0713	WP_011359522.1
Syncc9902_0714	WP_011359523.1
Syncc9902_0715	WP_011359524.1
Syncc9902_0716	WP_049749419.1
Syncc9902_0717	WP_011359526.1
Syncc9902_0719	WP_011359528.1
Syncc9902_0720	WP_255346182.1
Syncc9902_0721	WP_011359529.1
Syncc9902_0722	WP_011359530.1
Syncc9902_0723	WP_011359531.1
Syncc9902_0724	WP_011359532.1
Syncc9902_0725	WP_156771057.1
Syncc9902_0726	WP_041424868.1
Syncc9902_0727	WP_011359535.1
Syncc9902_0728	WP_041424870.1
Syncc9902_0729	WP_011359537.1
Syncc9902_0730	WP_011359538.1
Syncc9902_0731	WP_011359539.1
Syncc9902_0732	WP_011359540.1
Syncc9902_0733	WP_011359541.1
Syncc9902_0734	WP_011359542.1
Syncc9902_0735	WP_011359543.1
Syncc9902_0736	WP_041424872.1
Syncc9902_0737	WP_041425320.1
Syncc9902_0738	WP_232179260.1
Syncc9902_0739	WP_011359547.1
Syncc9902_0740	WP_011359548.1
Syncc9902_0741	WP_011359549.1
Syncc9902_0742	WP_011359550.1
Syncc9902_0743	WP_011359551.1
Syncc9902_0744	WP_232179261.1
Syncc9902_0745	WP_011359553.1
Syncc9902_0746	WP_011359554.1
Syncc9902_0747	WP_011359555.1
Syncc9902_0748	WP_011359556.1
Syncc9902_0749	WP_011359557.1
Syncc9902_0750	WP_011359558.1
Syncc9902_0751	WP_011359559.1
Syncc9902_0752	WP_011359560.1
Syncc9902_0753	WP_156771059.1
Syncc9902_0754	WP_011359562.1
Syncc9902_0755	WP_011359563.1
Syncc9902_0756	WP_011359564.1
Syncc9902_0757	WP_255346191.1
