locus_tag	has_pfam	n_pfam_domains	pfam_domains
Syncc9902_0147	yes	1	PF09335.17
Syncc9902_0148	yes	1	PF00436.32
Syncc9902_0149	yes	2	PF06723.20;PF14450.13
Syncc9902_0150	yes	1	PF04085.21
Syncc9902_0151	no	0	
Syncc9902_0152	yes	2	PF01547.31;PF13416.12
Syncc9902_0153	yes	2	PF00072.31;PF00486.35
Syncc9902_0154	yes	2	PF00152.26;PF01336.32
Syncc9902_0155	no	0	
Syncc9902_0156	yes	2	PF27863.1;PF27865.1
Syncc9902_0157	yes	1	PF27862.1
Syncc9902_0158	yes	1	PF10017.16
Syncc9902_0159	yes	1	PF03781.23
Syncc9902_0160	yes	1	PF00069.32
Syncc9902_0161	yes	1	PF01668.24
Syncc9902_0162	yes	5	PF00004.36;PF05491.20;PF05496.19;PF07728.21;PF17864.8
Syncc9902_0163	yes	1	PF13432.13
Syncc9902_0164	yes	2	PF01546.34;PF07687.20
Syncc9902_0165	yes	1	PF11384.14
Syncc9902_0166	yes	1	PF13646.13
Syncc9902_0167	yes	1	PF01964.25
Syncc9902_0168	yes	4	PF00456.27;PF02779.30;PF02780.26;PF22613.2
Syncc9902_0169	yes	2	PF00109.33;PF02801.29
Syncc9902_0170	yes	1	PF00550.32
Syncc9902_0171	yes	1	PF12838.13
Syncc9902_0172	yes	3	PF01380.28;PF13522.12;PF13537.12
Syncc9902_0173	yes	2	PF01370.28;PF16363.12
Syncc9902_0174	yes	2	PF01370.28;PF16363.12
Syncc9902_0175	yes	4	PF00483.30;PF01050.25;PF07883.18;PF22640.2
Syncc9902_0176	yes	2	PF01782.25;PF24986.2
Syncc9902_0177	yes	1	PF11623.15
Syncc9902_0178	yes	2	PF00520.38;PF07885.23
Syncc9902_0179	yes	3	PF00035.33;PF00636.32;PF14622.12
Syncc9902_0180	no	0	
Syncc9902_0181	no	0	
Syncc9902_0182	yes	1	PF00343.27
Syncc9902_0183	yes	1	PF00999.27
Syncc9902_0184	no	0	
Syncc9902_0185	yes	3	PF00561.27;PF12146.16;PF12697.14
Syncc9902_0186	yes	1	PF01263.27
Syncc9902_0187	yes	1	PF01565.29
Syncc9902_0188	yes	2	PF07005.17;PF17042.11
Syncc9902_0189	yes	3	PF02754.22;PF12838.13;PF13183.12
Syncc9902_0190	no	0	
Syncc9902_0191	yes	1	PF00180.26
Syncc9902_0192	yes	2	PF00535.33;PF13641.13
Syncc9902_0193	yes	2	PF04138.21;PF04794.18
Syncc9902_0194	yes	1	PF01048.27
Syncc9902_0195	no	0	
Syncc9902_0196	yes	1	PF01126.26
Syncc9902_0197	no	0	
Syncc9902_0198	yes	2	PF00005.34;PF00664.29
Syncc9902_0199	yes	2	PF00534.27;PF13692.13
Syncc9902_0200	yes	5	PF00534.27;PF13439.13;PF13579.13;PF13692.13;PF20706.4
Syncc9902_0201	yes	2	PF00534.27;PF13692.13
Syncc9902_0202	yes	2	PF00534.27;PF13692.13
Syncc9902_0203	no	0	
Syncc9902_0204	no	0	
Syncc9902_0205	no	0	
Syncc9902_0206	yes	1	PF00793.27
Syncc9902_0207	yes	3	PF00580.28;PF13245.13;PF13361.13
Syncc9902_0208	no	0	
Syncc9902_0209	yes	2	PF02348.26;PF12804.14
Syncc9902_0210	yes	1	PF00702.33
Syncc9902_0211	yes	2	PF00571.34;PF01380.28
Syncc9902_0212	yes	1	PF01743.27
Syncc9902_0213	no	0	
Syncc9902_0214	yes	2	PF00586.30;PF02769.28
Syncc9902_0215	yes	7	PF00106.32;PF01073.26;PF01370.28;PF02719.22;PF04321.24;PF08659.17;PF16363.12
Syncc9902_0216	no	0	
Syncc9902_0217	yes	2	PF00005.34;PF00664.29
Syncc9902_0218	yes	2	PF25984.1;PF26002.1
Syncc9902_0219	yes	4	PF00534.27;PF12000.15;PF13524.13;PF13692.13
Syncc9902_0220	yes	3	PF00587.31;PF03129.26;PF13393.12
Syncc9902_0221	yes	3	PF01073.26;PF01370.28;PF16363.12
Syncc9902_0222	yes	3	PF00984.25;PF03720.23;PF03721.21
Syncc9902_0223	yes	5	PF01073.26;PF01370.28;PF02719.22;PF04321.24;PF16363.12
Syncc9902_0224	yes	1	PF01788.23
Syncc9902_0225	yes	1	PF02419.23
Syncc9902_0226	yes	1	PF00283.25
Syncc9902_0227	yes	2	PF00283.25;PF00284.26
Syncc9902_0228	yes	1	PF14870.13
Syncc9902_0229	yes	1	PF00301.26
Syncc9902_0230	yes	1	PF00507.25
Syncc9902_0231	yes	1	PF01058.30
Syncc9902_0232	yes	1	PF00329.26
Syncc9902_0233	yes	1	PF01933.24
Syncc9902_0234	yes	1	PF00005.34
Syncc9902_0235	yes	1	PF02470.26
Syncc9902_0236	yes	3	PF13519.13;PF17863.8;PF26791.1
Syncc9902_0237	yes	1	PF01288.26
Syncc9902_0238	yes	1	PF00293.35
Syncc9902_0239	yes	2	PF00875.25;PF03441.20
Syncc9902_0240	no	0	
Syncc9902_0241	yes	1	PF01041.24
Syncc9902_0242	yes	1	PF00578.28
Syncc9902_0243	no	0	
Syncc9902_0244	no	0	
Syncc9902_0245	yes	1	PF03441.20
Syncc9902_0246	yes	2	PF00106.32;PF13561.13
Syncc9902_0247	yes	1	PF00475.25
Syncc9902_0248	yes	1	PF03055.22
Syncc9902_0249	yes	1	PF04402.20
Syncc9902_0250	no	0	
Syncc9902_0251	yes	1	PF02028.25
Syncc9902_0252	yes	1	PF01266.31
Syncc9902_0253	yes	1	PF00208.28
Syncc9902_0256	yes	1	PF01725.22
Syncc9902_0257	yes	3	PF02878.23;PF02879.23;PF02880.23
Syncc9902_0258	yes	1	PF13482.13
Syncc9902_0259	no	0	
Syncc9902_0260	no	0	
Syncc9902_0261	no	0	
Syncc9902_0262	yes	2	PF01595.26;PF03471.23
Syncc9902_0263	yes	2	PF01408.29;PF22725.2
Syncc9902_0264	yes	2	PF00723.28;PF19292.5
Syncc9902_0265	yes	1	PF03808.20
Syncc9902_0266	yes	1	PF02533.21
Syncc9902_0267	yes	1	PF01702.26
Syncc9902_0268	yes	1	PF02654.21
Syncc9902_0269	yes	2	PF00512.32;PF02518.32
Syncc9902_0270	yes	1	PF11352.14
Syncc9902_0271	yes	1	PF02230.23
Syncc9902_0272	yes	2	PF01808.25;PF02142.28
Syncc9902_0273	yes	1	PF13301.12
Syncc9902_0274	yes	1	PF09366.16
Syncc9902_0275	yes	1	PF02401.24
Syncc9902_0276	yes	1	PF00909.27
Syncc9902_0277	yes	2	PF03749.20;PF17746.8
Syncc9902_0278	yes	1	PF03023.20
Syncc9902_0279	yes	1	PF00285.27
Syncc9902_0280	yes	1	PF00146.27
Syncc9902_0281	no	0	
Syncc9902_0282	yes	1	PF00499.26
Syncc9902_0283	yes	1	PF00420.30
Syncc9902_0284	yes	2	PF01513.27;PF20143.5
Syncc9902_0285	yes	1	PF01928.27
Syncc9902_0286	no	0	
Syncc9902_0287	yes	1	PF00196.26
Syncc9902_0288	yes	1	PF02219.24
Syncc9902_0289	yes	1	PF00483.30
Syncc9902_0290	yes	1	PF02616.20
Syncc9902_0291	no	0	
Syncc9902_0292	yes	1	PF00361.26
Syncc9902_0293	yes	2	PF00361.26;PF00662.27
Syncc9902_0294	yes	1	PF07298.17
Syncc9902_0295	yes	2	PF00126.34;PF03466.26
Syncc9902_0296	yes	1	PF11371.14
Syncc9902_0297	yes	1	PF10664.16
Syncc9902_0298	yes	2	PF01593.31;PF13450.13
Syncc9902_0299	yes	1	PF00494.25
Syncc9902_0300	yes	1	PF00076.29
Syncc9902_0301	yes	1	PF01743.27
Syncc9902_0301a	yes	1	PF10718.15
Syncc9902_0302	no	0	
Syncc9902_0303	yes	1	PF02698.24
Syncc9902_0304	yes	1	PF01553.27
Syncc9902_0305	yes	1	PF00698.27
Syncc9902_0306	yes	2	PF08541.17;PF08545.17
Syncc9902_0307	yes	1	PF02504.21
Syncc9902_0308	yes	2	PF00072.31;PF00486.35
Syncc9902_0309	yes	2	PF13481.13;PF18073.8
Syncc9902_0310	no	0	
Syncc9902_0311	yes	3	PF00122.26;PF00403.33;PF00702.33
Syncc9902_0312	yes	1	PF02223.24
Syncc9902_0313	yes	1	PF13177.13
Syncc9902_0314	yes	2	PF00072.31;PF00486.35
Syncc9902_0315	yes	1	PF00005.34
Syncc9902_0318	no	0	
Syncc9902_0319	no	0	
Syncc9902_0320	yes	1	PF09852.16
Syncc9902_0321	no	0	
Syncc9902_0322	yes	1	PF09852.16
Syncc9902_0323	yes	2	PF00395.26;PF04966.19
Syncc9902_0324	yes	2	PF00395.26;PF04966.19
Syncc9902_0325	yes	1	PF00291.32
Syncc9902_0326	yes	1	PF00226.37
Syncc9902_0327	no	0	
Syncc9902_0328	yes	1	PF11910.15
Syncc9902_0329	yes	1	PF00999.27
Syncc9902_0330	yes	2	PF01370.28;PF08338.17
Syncc9902_0331	no	0	
Syncc9902_0332	no	0	
Syncc9902_0333	no	0	
Syncc9902_0334	yes	1	PF01521.27
Syncc9902_0335	yes	2	PF01593.31;PF13450.13
Syncc9902_0336	yes	2	PF03364.26;PF10604.16
Syncc9902_0337	no	0	
Syncc9902_0338	yes	1	PF02602.21
Syncc9902_0339	yes	1	PF00535.33
Syncc9902_0340	yes	2	PF00933.28;PF18034.7
Syncc9902_0341	yes	1	PF02033.24
Syncc9902_0342	yes	1	PF05421.17
Syncc9902_0343	yes	2	PF13409.13;PF13417.13
Syncc9902_0344	yes	1	PF20670.4
Syncc9902_0345	yes	1	PF12095.14
Syncc9902_0346	yes	1	PF01202.29
Syncc9902_0347	yes	1	PF01242.25
Syncc9902_0348	yes	1	PF01872.23
Syncc9902_0349	no	0	
Syncc9902_0350	yes	2	PF04339.19;PF13480.14
Syncc9902_0351	yes	1	PF14251.13
Syncc9902_0351a	no	0	
Syncc9902_0352	yes	2	PF05977.20;PF07690.22
Syncc9902_0353	yes	3	PF00919.27;PF04055.28;PF18693.8
Syncc9902_0354	yes	1	PF07884.20
Syncc9902_0355	yes	1	PF00890.31
Syncc9902_0356	yes	1	PF06514.18
Syncc9902_0357	yes	1	PF11318.15
Syncc9902_0358	yes	1	PF02673.25
Syncc9902_0359	yes	3	PF04459.18;PF17820.8;PF19238.6
Syncc9902_0360	yes	1	PF02321.24
Syncc9902_0363	yes	1	PF03631.21
Syncc9902_0364	no	0	
Syncc9902_0365	yes	1	PF11196.14
Syncc9902_0366	no	0	
Syncc9902_0367	yes	2	PF02601.21;PF13742.13
Syncc9902_0368	no	0	
Syncc9902_0369	yes	4	PF00270.36;PF00271.38;PF08482.16;PF24473.2
Syncc9902_0370	no	0	
Syncc9902_0371	yes	1	PF11189.14
Syncc9902_0372	yes	4	PF00089.33;PF13180.13;PF13365.13;PF17820.8
Syncc9902_0373	yes	2	PF00005.34;PF12848.14
Syncc9902_0374	no	0	
Syncc9902_0375	no	0	
Syncc9902_0376	no	0	
Syncc9902_0377	yes	1	PF07878.18
Syncc9902_0378	yes	1	PF03702.21
Syncc9902_0379	yes	1	PF02254.25
Syncc9902_0380	yes	1	PF02386.23
Syncc9902_0381	yes	2	PF02080.27;PF03600.23
Syncc9902_0382	yes	3	PF01926.30;PF13167.12;PF16360.11
Syncc9902_0383	yes	1	PF07992.21
Syncc9902_0384	yes	1	PF01507.26
Syncc9902_0385	yes	1	PF03309.21
Syncc9902_0386	yes	2	PF00578.28;PF08534.17
Syncc9902_0387	no	0	
Syncc9902_0388	yes	4	PF00004.36;PF05496.19;PF12002.14;PF16193.12
Syncc9902_0389	yes	1	PF25917.1
Syncc9902_0390	yes	1	PF00873.26
Syncc9902_0391	no	0	
Syncc9902_0392	yes	4	PF02878.23;PF02879.23;PF02880.23;PF24947.2
Syncc9902_0393	no	0	
Syncc9902_0394	no	0	
Syncc9902_0395	no	0	
Syncc9902_0396	yes	1	PF13091.13
Syncc9902_0397	no	0	
Syncc9902_0398	yes	1	PF16258.12
Syncc9902_0399	yes	1	PF00427.27
Syncc9902_0400	yes	1	PF09367.17
Syncc9902_0401	no	0	
Syncc9902_0402	no	0	
Syncc9902_0403	yes	1	PF02943.21
Syncc9902_0404	yes	2	PF01458.24;PF19295.6
Syncc9902_0405	yes	1	PF00005.34
Syncc9902_0406	yes	1	PF01458.24
Syncc9902_0407	yes	1	PF00266.26
Syncc9902_0408	yes	2	PF00326.28;PF01738.25
Syncc9902_0409	yes	1	PF01327.27
Syncc9902_0410	no	0	
Syncc9902_0411	yes	1	PF12565.14
Syncc9902_0412	yes	4	PF01078.28;PF07728.21;PF13335.13;PF13541.13
Syncc9902_0413	yes	2	PF01230.30;PF11969.14
Syncc9902_0414	yes	4	PF00005.34;PF00664.29;PF05992.18;PF06472.21
Syncc9902_0415	no	0	
Syncc9902_0416	no	0	
Syncc9902_0417	no	0	
Syncc9902_0418	yes	1	PF07444.17
Syncc9902_0419	yes	1	PF06596.17
Syncc9902_0420	yes	1	PF02325.24
Syncc9902_0421	yes	5	PF00289.29;PF02222.28;PF02785.26;PF02786.23;PF07478.19
Syncc9902_0422	no	0	
Syncc9902_0423	yes	1	PF01641.27
Syncc9902_0424	no	0	
Syncc9902_0425	yes	3	PF02463.26;PF06470.19;PF13476.13
Syncc9902_0426	no	0	
Syncc9902_0427	no	0	
Syncc9902_0428	yes	1	PF07332.17
Syncc9902_0429	yes	2	PF01170.25;PF02926.23
Syncc9902_0430	yes	1	PF00589.28
Syncc9902_0431	no	0	
Syncc9902_0432	yes	1	PF27546.1
Syncc9902_0436	yes	1	PF01145.32
Syncc9902_0437	no	0	
Syncc9902_0438	yes	1	PF04248.20
Syncc9902_0439	yes	1	PF01786.25
Syncc9902_0440	no	0	
Syncc9902_0442	no	0	
Syncc9902_0443	yes	1	PF12570.14
Syncc9902_0444	yes	1	PF00427.27
Syncc9902_0447	yes	1	PF00565.24
Syncc9902_0448	yes	3	PF00270.36;PF00271.38;PF04851.22
Syncc9902_0449	yes	1	PF07864.17
Syncc9902_0451	no	0	
Syncc9902_0453	yes	1	PF11189.14
Syncc9902_0454	yes	1	PF10985.14
Syncc9902_0455	yes	1	PF00685.34
Syncc9902_0456	yes	1	PF03567.21
Syncc9902_0457	no	0	
Syncc9902_0458	yes	2	PF01261.31;PF03102.21
Syncc9902_0459	yes	1	PF20471.5
Syncc9902_0460	yes	1	PF20471.5
Syncc9902_0461	yes	1	PF20471.5
Syncc9902_0462	yes	1	PF02348.26
Syncc9902_0463	yes	1	PF05159.21
Syncc9902_0464	yes	1	PF05159.21
Syncc9902_0465	yes	2	PF00109.33;PF02801.29
Syncc9902_0466	yes	1	PF00550.32
Syncc9902_0467	yes	1	PF13444.13
Syncc9902_0468	yes	1	PF02563.22
Syncc9902_0469	yes	2	PF00206.26;PF10397.15
Syncc9902_0470	yes	1	PF00543.28
Syncc9902_0471	yes	1	PF14489.12
Syncc9902_0472	yes	1	PF05140.20
Syncc9902_0473	yes	1	PF02683.23
Syncc9902_0474	yes	1	PF01098.25
Syncc9902_0475	no	0	
Syncc9902_0476	yes	1	PF01728.26
Syncc9902_0477	yes	1	PF01383.28
Syncc9902_0478	yes	1	PF00502.26
Syncc9902_0479	yes	1	PF00502.26
Syncc9902_0480	yes	2	PF00427.27;PF00502.26
Syncc9902_0481	yes	5	PF08241.19;PF08242.19;PF13489.13;PF13649.13;PF13847.13
Syncc9902_0482	no	0	
Syncc9902_0483	yes	1	PF00119.26
Syncc9902_0484	yes	1	PF00137.27
Syncc9902_0485	yes	1	PF00430.24
Syncc9902_0486	yes	1	PF00430.24
Syncc9902_0487	yes	1	PF00213.24
Syncc9902_0488	yes	3	PF00006.32;PF00306.33;PF02874.30
Syncc9902_0489	yes	1	PF00231.25
Syncc9902_0490	yes	1	PF13759.13
Syncc9902_0491	yes	1	PF00111.33
Syncc9902_0492	no	0	
Syncc9902_0493	yes	1	PF11805.14
Syncc9902_0494	yes	1	PF17775.8
Syncc9902_0495	yes	2	PF00795.28;PF02540.24
Syncc9902_0496	no	0	
Syncc9902_0497	yes	2	PF01926.30;PF05128.18
Syncc9902_0499	yes	1	PF01595.26
Syncc9902_0500	yes	2	PF00557.30;PF05195.23
Syncc9902_0501	yes	1	PF00702.33
Syncc9902_0502	yes	1	PF04839.19
Syncc9902_0503	yes	1	PF02823.22
Syncc9902_0504	yes	3	PF00006.32;PF02874.30;PF22919.2
Syncc9902_0505	yes	1	PF00166.27
Syncc9902_0506	yes	1	PF00118.30
Syncc9902_0507	no	0	
Syncc9902_0508	no	0	
Syncc9902_0509	no	0	
Syncc9902_0510	no	0	
Syncc9902_0511	no	0	
Syncc9902_0512	yes	1	PF03840.20
Syncc9902_0513	yes	2	PF01676.24;PF06415.19
Syncc9902_0514	yes	1	PF00156.34
Syncc9902_0515	yes	1	PF02941.22
Syncc9902_0516	no	0	
Syncc9902_0517	yes	1	PF00012.27
Syncc9902_0518	no	0	
Syncc9902_0519	no	0	
Syncc9902_0520	yes	1	PF08848.18
Syncc9902_0521	yes	1	PF10929.14
Syncc9902_0522	no	0	
Syncc9902_0523	yes	1	PF01878.25
Syncc9902_0524	yes	2	PF02875.27;PF08245.19
Syncc9902_0525	yes	1	PF21278.4
Syncc9902_0526	no	0	
Syncc9902_0527	yes	4	PF00389.37;PF01842.32;PF02826.26;PF19304.5
Syncc9902_0528	yes	1	PF06325.20
Syncc9902_0529	yes	1	PF00111.33
Syncc9902_0530	no	0	
Syncc9902_0531	yes	1	PF14495.12
Syncc9902_0532	yes	2	PF12706.14;PF23023.2
Syncc9902_0533	yes	1	PF08486.16
Syncc9902_0534	yes	1	PF01182.27
Syncc9902_0535	no	0	
Syncc9902_0536	no	0	
Syncc9902_0537	yes	1	PF07862.17
Syncc9902_0538	no	0	
Syncc9902_0539	yes	1	PF11691.14
Syncc9902_0540	no	0	
Syncc9902_0542	yes	2	PF01709.27;PF20772.3
Syncc9902_0543	yes	1	PF01509.24
Syncc9902_0544	yes	4	PF08241.19;PF08242.19;PF13489.13;PF13649.13
Syncc9902_0545	yes	1	PF01016.25
Syncc9902_0546	yes	1	PF00829.27
Syncc9902_0547	yes	2	PF07688.18;PF21714.4
Syncc9902_0548	yes	1	PF07689.19
Syncc9902_0549	yes	1	PF06745.20
Syncc9902_0550	yes	5	PF00512.32;PF00672.31;PF00989.32;PF02518.32;PF08448.17
Syncc9902_0551	yes	3	PF01071.25;PF02843.23;PF02844.22
Syncc9902_0552	no	0	
Syncc9902_0553	yes	1	PF01259.25
Syncc9902_0554	yes	1	PF01103.30
Syncc9902_0555	yes	1	PF03331.20
Syncc9902_0556	yes	2	PF07977.20;PF22818.3
Syncc9902_0557	yes	1	PF13720.12
Syncc9902_0558	yes	1	PF02684.22
Syncc9902_0559	yes	1	PF01625.29
Syncc9902_0560	no	0	
Syncc9902_0561	yes	2	PF00883.27;PF02789.24
Syncc9902_0562	no	0	
Syncc9902_0563	no	0	
Syncc9902_0564	no	0	
Syncc9902_0565	yes	1	PF00196.26
Syncc9902_0566	yes	1	PF08855.16
Syncc9902_0567	yes	1	PF00579.32
Syncc9902_0568	yes	1	PF08450.19
Syncc9902_0569	no	0	
Syncc9902_0570	yes	1	PF00215.31
Syncc9902_0571	yes	1	PF03797.26
Syncc9902_0572	yes	1	PF02660.21
Syncc9902_0573	yes	1	PF11285.14
Syncc9902_0574	yes	1	PF11317.14
Syncc9902_0575	yes	1	PF02405.22
Syncc9902_0576	yes	2	PF07690.22;PF13347.13
Syncc9902_0577	yes	3	PF00128.32;PF02922.25;PF21156.4
Syncc9902_0578	no	0	
Syncc9902_0579	yes	1	PF00216.27
Syncc9902_0580	yes	1	PF00749.28
Syncc9902_0581	no	0	
Syncc9902_0582	no	0	
Syncc9902_0583	no	0	
Syncc9902_0584	yes	1	PF13085.12
Syncc9902_0585	yes	3	PF00890.31;PF01266.31;PF02910.26
Syncc9902_0586	no	0	
Syncc9902_0587	no	0	
Syncc9902_0588	no	0	
Syncc9902_0589	no	0	
Syncc9902_0592	yes	5	PF00009.34;PF01926.30;PF04760.22;PF11987.14;PF22042.3
Syncc9902_0593	yes	1	PF04296.19
Syncc9902_0594	yes	3	PF08529.17;PF13184.13;PF26594.2
Syncc9902_0595	yes	1	PF02576.23
Syncc9902_0596	no	0	
Syncc9902_0597	yes	1	PF04055.28
Syncc9902_0598	no	0	
Syncc9902_0599	yes	1	PF00497.26
Syncc9902_0600	yes	4	PF00089.33;PF13180.13;PF13365.13;PF17820.8
Syncc9902_0601	yes	1	PF06026.21
Syncc9902_0602	yes	1	PF00815.26
Syncc9902_0603	yes	1	PF01649.24
Syncc9902_0604	yes	1	PF01026.28
Syncc9902_0605	yes	6	PF00562.34;PF04560.26;PF04561.20;PF04563.21;PF04565.22;PF10385.15
Syncc9902_0606	yes	3	PF00623.26;PF04983.24;PF04997.18
Syncc9902_0607	yes	2	PF04998.23;PF05000.23
Syncc9902_0608	no	0	
