Locus Tag	Description	dN/dS	dN	dS	%min5Xcov	%min1Xcov	avg read depth	dN/dS vs CC9902	dN/dS 70_70	dN/dS PAML
Syncc9902_0024	UDP-N-acetylenolpyruvoylglucosamine reductase (EC:1.1.1.158 )	0.183	0.027	0.148	70.46	100.0	5.968	0.175	0.183	0.277790088664819
Syncc9902_0025	UDP-N-acetylmuramate--alanine ligase	0.09	0.014	0.154	74.2	100.0	6.805	0.099	0.09	0.224199981398976
Syncc9902_0026	Glyceraldehyde-3-phosphate dehydrogenase, type I (EC:1.2.1.12 )	0.041	0.008	0.196	87.52	100.0	7.113	0.045	0.041	0.0303797332227788
Syncc9902_0027	Thiamine-monophosphate kinase (EC:2.7.4.16 )	0.267	0.036	0.136	40.66	100.0	4.257	0.241	0.267	0.17202776983842
Syncc9902_0028	putative cyclophilin-type peptidyl-prolyl cis-trans isomerase	0.097	0.012	0.125	55.68	100.0	5.174	0.104	0.097	0.230976001353925
Syncc9902_0029	elongation factor P	0.01	0.001	0.087	92.69	100.0	7.123	0.01	0.01	0.00535314797059764
Syncc9902_0030	Acetyl-CoA biotin carboxyl carrier	0.0	0.0	0.142	32.28	95.57	3.249	0.0	0.0	0.0
Syncc9902_0031	4-hydroxythreonine-4-phosphate dehydrogenase (EC:1.1.1.262 )	0.168	0.02	0.12	65.88	96.76	6.29	0.161	0.174	0.122535144052808
Syncc9902_0032	hypothetical protein	0.2	0.036	0.18	100.0	100.0	13.56	0.197	0.2	0.221972604899598
Syncc9902_0033	HNH nuclease	0.077	0.02	0.264	100.0	100.0	13.17	0.076	0.077	0.0628904174144661
Syncc9902_0034	DEAD/DEAH box helicase-like	0.075	0.016	0.211	95.24	100.0	9.617	0.086	0.075	0.086417001500705
Syncc9902_0035	hypothetical protein	0.096	0.028	0.288	94.35	100.0	14.61	0.114	0.107	0.414988611843176
Syncc9902_0036	hypothetical protein	0.117	0.024	0.209	100.0	100.0	15.127	0.116	0.117	0.0850226885408266
Syncc9902_0037	hypothetical protein	0.173	0.04	0.233	100.0	100.0	22.111	0.154	0.173	0.0742665655007656
Syncc9902_0038	hypothetical protein	0.116	0.027	0.234	97.19	100.0	9.153	0.111	0.116	0.501801595396024
Syncc9902_0039	hypothetical protein	0.066	0.026	0.394	100.0	100.0	14.419	0.066	0.066	0.0717886137646338
Syncc9902_0040	soluble hydrogenase small subunit	0.055	0.011	0.199	100.0	100.0	13.263	0.055	0.056	0.0787979074290827
Syncc9902_0041	cobalt-precorrin-6A synthase	0.151	0.034	0.227	97.52	100.0	12.599	0.143	0.151	0.23358346400964
Syncc9902_0042	bifunctional GMP synthase/glutamine amidotransferase protein	0.035	0.007	0.2	93.82	99.87	7.817	0.037	0.034	0.0186546994826065
Syncc9902_0043	Methylase involved in ubiquinone/menaquinone biosynthesis-like	NaN	0.0	0.0	0.0	36.11	0.361	NaN	NaN	NaN
Syncc9902_0044	hypothetical protein	0.114	0.031	0.274	85.67	100.0	10.253	0.113	0.114	0.1475144495353
Syncc9902_0045	hypothetical protein	0.057	0.011	0.199	99.84	100.0	13.436	0.057	0.076	0.0643187057075492
Syncc9902_0046	hypothetical protein	0.129	0.041	0.315	100.0	100.0	13.965	0.136	0.126	0.204921873262668
Syncc9902_0047	Peptidoglycan glycosyltransferase (EC:2.4.1.129 )	0.141	0.032	0.228	92.15	100.0	11.298	0.14	0.146	0.116448996358593
Syncc9902_0048	SqdX	0.081	0.018	0.227	100.0	100.0	12.958	0.082	0.081	0.206195060403841
Syncc9902_0049	sulfolipid (UDP-sulfoquinovose) biosynthesis protein	0.04	0.012	0.304	100.0	100.0	15.377	0.042	0.04	0.0162731403690748
Syncc9902_0050	high light-inducible protein-like	0.047	0.005	0.11	100.0	100.0	10.328	0.047	0.047	0.597208908984254
Syncc9902_0051	thiazole synthase	0.082	0.02	0.241	100.0	100.0	14.903	0.086	0.082	0.0423978161613766
Syncc9902_0052	hypothetical protein	0.112	0.032	0.285	100.0	100.0	12.918	0.112	0.121	0.0600049516211969
Syncc9902_0053	TPR repeat	0.071	0.017	0.246	97.87	100.0	12.079	0.08	0.081	0.0670990590967154
Syncc9902_0054	50S ribosomal protein L20	0.063	0.011	0.181	69.54	100.0	6.739	0.077	0.063	0.0433077882730351
Syncc9902_0055	50S ribosomal protein L35	0.14	0.007	0.05	100.0	100.0	9.46	0.074	0.14	0.480487804878049
Syncc9902_0056	possible amidase enhancer	0.169	0.033	0.195	98.9	100.0	11.946	0.19	0.169	0.16652136045028
Syncc9902_0057	putative glycosyltransferase	0.09	0.024	0.27	90.09	100.0	8.505	0.094	0.087	0.0999601117874
Syncc9902_0058	DNA-directed DNA polymerase (EC:2.7.7.7 )	0.142	0.038	0.268	100.0	100.0	17.058	0.143	0.151	0.153139782285892
Syncc9902_0059	hypothetical protein	0.157	0.053	0.336	100.0	100.0	20.042	0.161	0.155	0.187543461865404
Syncc9902_0060	Peptidase, metallopeptidase	0.251	0.05	0.198	49.53	100.0	4.581	0.263	0.26	0.313549417145338
Syncc9902_0061	ATP-dependent protease ATP-binding subunit	0.039	0.013	0.328	100.0	100.0	19.044	0.039	0.04	0.071766880405658
Syncc9902_0062	Peptidase S14, ClpP (EC:3.4.21.92 )	0.018	0.004	0.21	100.0	100.0	16.337	0.021	0.018	0.0451609992892077
Syncc9902_0063	trigger factor	0.091	0.023	0.255	100.0	100.0	16.836	0.093	0.091	0.086180621317777
Syncc9902_0064	Aspartate-semialdehyde dehydrogenase, USG-1 related (EC:1.2.1.11 )	0.086	0.022	0.255	100.0	100.0	17.061	0.1	0.086	0.0620364585930516
Syncc9902_0065	dihydrodipicolinate synthase	0.096	0.024	0.254	100.0	100.0	13.81	0.104	0.096	0.0791055987076907
Syncc9902_0066	hypothetical protein	0.024	0.006	0.232	84.71	100.0	10.389	0.029	0.026	0.0295826364516083
Syncc9902_0067	hypothetical protein	0.28	0.094	0.337	31.43	94.83	4.601	0.275	0.294	0.787314250115814
Syncc9902_0068	aspartate kinase (EC:2.7.2.4 )	0.059	0.016	0.261	97.18	100.0	14.527	0.062	0.065	0.0571835630698823
Syncc9902_0069	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0070	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0071	aspartate kinase	NaN	0.0	0.0	0.0	45.64	1.015	NaN	NaN	3.03842603851605
Syncc9902_0072	hypothetical protein	0.11	0.035	0.32	95.34	100.0	11.529	0.105	0.109	0.354541671581786
Syncc9902_0073	putative precorrin-8X methylmutase CobH	0.298	0.095	0.317	32.87	83.02	4.262	0.269	0.302	0.146121964109932
Syncc9902_0074	possible MesJ-like	0.621	0.079	0.128	7.5	76.73	1.974	0.758	0.6	0.179553699288775
Syncc9902_0075	hypothetical protein	0.104	0.025	0.244	97.23	100.0	8.207	0.098	0.109	0.0974105681905978
Syncc9902_0076	hypothetical protein	0.123	0.024	0.198	91.97	100.0	13.852	0.146	0.125	0.132402776986029
Syncc9902_0077	excinuclease ABC subunit B	0.047	0.015	0.328	93.58	100.0	12.598	0.048	0.048	0.037661024786836
Syncc9902_0078	hypothetical protein	NaN	0.0	0.0	0.0	37.34	0.373	NaN	NaN	NaN
Syncc9902_0079	hypothetical protein	NaN	0.0	0.0	0.0	81.14	1.077	NaN	NaN	NaN
Syncc9902_0080	hypothetical protein	NaN	0.0	0.0	0.0	60.24	1.311	NaN	NaN	1.00082740151827
Syncc9902_0081	DNA mismatch repair protein	0.123	0.045	0.369	89.0	100.0	10.07	0.129	0.125	0.125488989364843
Syncc9902_0082	photosystem II reaction center protein PsbZ	NaN	0.0	0.0	0.0	27.51	0.55	NaN	NaN	NaN
Syncc9902_0083	glycosyltransferase	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0084	N-acylneuraminate-9-phosphate synthase (EC:2.5.1.57 )	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0085	dTDP-4-dehydrorhamnose reductase-like	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0086	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0087	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0088	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0089	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0090	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0091	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0092	Glutamate-1-semialdehyde aminotransferase-like	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0093	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0094	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0095	dehydrogenase and related proteins-like	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0096	spore coat polysaccharide biosynthesis protein spsC	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0097	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0098	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0099	Capsular polysaccharide biosynthesis protein-like	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0100	HAD-superfamily hydrolase subfamily IA	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0101	capsular polysaccharide biosynthesis protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0102	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0103	riboflavin synthase subunit beta (EC:2.5.1.9 )	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0104	TPR repeat	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0105	Glycosyltransferase-like	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0106	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0107	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0108	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0109	probable glycosyltransferase	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0110	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0111	probable glycosyltransferase	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0112	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0113	O-linked N-acetylglucosamine transferase SPINDLY family-like	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0114	TPR repeat	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0115	TPR repeat	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0116	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0117	cyclic nucleotide-binding domain (cNMP-BD) protein	NaN	0.0	0.0	0.0	2.68	0.027	NaN	NaN	NaN
Syncc9902_0118	hemolysin secretion protein-like	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0119	Glycosyltransferase-like	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0120	TPR repeat	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0121	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0122	Glycosyltransferase-like	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0123	translocase	0.056	0.033	0.581	81.38	92.22	10.635	0.061	0.069	0.02641598311116
Syncc9902_0124	hypothetical protein	NaN	0.0	0.0	0.0	77.78	1.109	NaN	1.042	0.146092728320829
Syncc9902_0125	hypothetical protein	0.166	0.043	0.258	22.99	71.72	2.441	0.173	0.166	0.298454230940878
Syncc9902_0126	hypothetical protein	NaN	0.0	0.0	0.0	66.04	1.021	NaN	NaN	NaN
Syncc9902_0127	hypothetical protein	NaN	0.0	0.0	0.0	67.7	0.739	NaN	NaN	NaN
Syncc9902_0128	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
Syncc9902_0129	Serine O-acetyltransferase (EC:2.3.1.30 )	0.047	0.014	0.294	58.33	97.85	6.665	0.046	0.054	0.36177149564435
Syncc9902_0130	transcriptional regulator, GntR family	0.012	0.003	0.267	100.0	100.0	13.377	0.017	0.012	0.238180717531767
Syncc9902_0131	translation initiation factor IF-3	0.042	0.015	0.349	100.0	100.0	14.832	0.048	0.042	0.024322101634575
Syncc9902_0132	tRNA isopentenyltransferase (EC:2.5.1.8 )	0.173	0.036	0.209	100.0	100.0	11.574	0.174	0.173	0.249120954769009
Syncc9902_0133	DNA topoisomerase IV subunit B (EC:5.99.1.3 )	0.041	0.015	0.381	100.0	100.0	15.071	0.043	0.042	0.0334116603726496
Syncc9902_0134	hypothetical protein	0.121	0.043	0.357	100.0	100.0	13.068	0.131	0.121	0.136367148502584
Syncc9902_0135	integral membrane protein possibly involved in chromosome condensation	0.24	0.085	0.354	100.0	100.0	13.307	0.243	0.24	0.159101750622381
Syncc9902_0136	putative integral membrane protein	0.366	0.113	0.31	100.0	100.0	15.988	0.419	0.37	0.225542533539699
Syncc9902_0137	glutathione peroxidase	0.127	0.048	0.376	100.0	100.0	15.947	0.124	0.127	0.267606572085557
Syncc9902_0138	Divalent cation transporter	0.053	0.017	0.319	100.0	100.0	19.381	0.058	0.053	0.0251804815320685
Syncc9902_0139	type II alternative RNA polymerase sigma factor, sigma-70 family	0.025	0.012	0.456	100.0	100.0	18.225	0.028	0.03	0.0189216170882739
Syncc9902_0140	hypothetical protein	0.129	0.047	0.362	97.28	100.0	8.466	0.133	0.158	0.256115639167875
Syncc9902_0141	fatty acid desaturase	0.073	0.034	0.47	80.14	100.0	9.321	0.068	0.073	0.0699338533288825
Syncc9902_0142	hypothetical protein	0.6	0.12	0.2	5.95	100.0	3.024	0.66	0.6	NaN
Syncc9902_0143	Mutator MutT	0.217	0.061	0.281	100.0	100.0	11.305	0.209	0.212	0.197566450121018
Syncc9902_0144	putative fructokinase	0.191	0.053	0.276	100.0	100.0	10.97	0.204	0.193	0.20955059260633
Syncc9902_0145	hypothetical protein	0.224	0.054	0.241	100.0	100.0	10.299	0.227	0.224	0.157355571851378
Syncc9902_0146	S-adenosyl-L-homocysteine hydrolase (EC:3.3.1.1 )	0.041	0.011	0.277	100.0	100.0	15.639	0.041	0.06	0.0537136942672366
Syncc9902_0147	putative alkaline phosphatase-like protein	0.08	0.019	0.234	100.0	100.0	10.42	0.074	0.08	0.109185894859399
Syncc9902_0148	single-strand DNA-binding protein	0.028	0.006	0.213	100.0	100.0	8.659	0.016	0.028	0.0634717352262037
Syncc9902_0149	Cell shape determining protein MreB/Mrl	0.02	0.005	0.239	83.29	100.0	7.146	0.019	0.02	0.0129157776323486
Syncc9902_0150	putative rod shape-determining protein	0.069	0.012	0.176	90.5	100.0	6.423	0.069	0.069	0.103219647642048
Syncc9902_0151	hypothetical protein	0.147	0.024	0.165	67.97	100.0	5.78	0.166	0.147	0.288720215737008
Syncc9902_0152	putative sugar-binding protein	0.131	0.028	0.215	90.08	100.0	9.037	0.13	0.131	0.142573270561307
Syncc9902_0153	two component transcriptional regulator, winged helix family	0.028	0.009	0.311	98.29	100.0	7.647	0.025	0.028	0.0700393031330952
Syncc9902_0154	lysyl-tRNA synthetase	0.04	0.008	0.195	66.07	100.0	5.597	0.039	0.04	0.0603657780626007
Syncc9902_0155	hypothetical protein	0.015	0.002	0.147	81.06	100.0	5.485	0.014	0.015	0.0109368376430691
Syncc9902_0156	hypothetical protein	0.157	0.03	0.194	95.78	100.0	6.549	0.146	0.154	0.282520041177926
Syncc9902_0157	hypothetical protein	0.035	0.007	0.192	72.43	100.0	5.177	0.041	0.035	0.0
Syncc9902_0158	hypothetical protein	0.166	0.033	0.2	17.71	79.35	2.197	0.123	0.16	0.577552189089808
Syncc9902_0159	hypothetical protein	0.162	0.036	0.221	72.66	100.0	5.365	0.163	0.162	0.329176138326483
Syncc9902_0160	serine/threonine protein kinase	0.176	0.056	0.32	93.78	100.0	9.91	0.176	0.176	0.135367124533976
Syncc9902_0161	SsrA-binding protein	0.04	0.01	0.244	84.33	100.0	7.669	0.042	0.04	0.247492077507371
Syncc9902_0162	Holliday junction DNA helicase RuvB	0.057	0.015	0.271	100.0	100.0	10.045	0.063	0.057	0.0559101803085278
Syncc9902_0163	TPR repeat	0.074	0.017	0.234	97.54	100.0	8.446	0.083	0.074	0.0884876087049934
Syncc9902_0164	Peptidase M20D, amidohydrolase (EC:3.5.1.32 )	0.093	0.022	0.241	86.51	100.0	10.606	0.097	0.101	0.124344513689257
Syncc9902_0165	hypothetical protein	0.265	0.068	0.257	100.0	100.0	17.022	0.268	0.265	0.327157359280615
Syncc9902_0166	hypothetical protein	0.171	0.055	0.324	100.0	100.0	23.294	0.185	0.171	0.159221821897891
Syncc9902_0167	thiamine biosynthesis protein ThiC	0.034	0.016	0.462	97.64	100.0	15.447	0.035	0.037	0.0338775306038112
Syncc9902_0168	transketolase	0.033	0.01	0.291	92.69	98.46	9.723	0.035	0.033	0.0933483945436588
Syncc9902_0169	3-oxoacyl-(acyl-carrier-protein) synthase II	0.069	0.014	0.21	100.0	100.0	10.77	0.069	0.069	0.116428616028608
Syncc9902_0170	acyl carrier protein	0.0	0.0	0.137	100.0	100.0	9.811	0.0	0.0	0.0
Syncc9902_0171	photosystem I subunit VII	0.09	0.028	0.307	100.0	100.0	10.883	0.093	0.113	0.0370766654689566
Syncc9902_0172	D-fructose-6-phosphate amidotransferase	0.094	0.026	0.276	90.26	100.0	10.473	0.092	0.092	0.079741765003242
Syncc9902_0173	NAD dependent epimerase/dehydratase	NaN	0.0	0.0	0.0	65.84	0.763	NaN	NaN	1.22312652355115
Syncc9902_0174	GDP-mannose 4,6-dehydratase	NaN	0.0	0.0	0.0	87.79	1.375	NaN	NaN	0.073627844712182
Syncc9902_0175	Mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase (EC:2.7.7.22 )	0.047	0.011	0.23	97.05	100.0	9.208	0.046	0.053	0.238842185103326
Syncc9902_0176	16S rRNA-processing protein	0.171	0.028	0.162	64.27	100.0	5.317	0.176	0.171	0.557375204067008
Syncc9902_0177	hypothetical protein	NaN	0.0	0.0	1.61	100.0	3.253	NaN	NaN	NaN
Syncc9902_0178	possible potassium channel, VIC family	0.109	0.028	0.257	74.44	100.0	6.83	0.107	0.133	0.0680630491932203
Syncc9902_0179	Ribonuclease III (EC:3.1.26.3 )	0.26	0.058	0.222	95.6	100.0	8.091	0.301	0.267	0.235276021619599
Syncc9902_0180	hypothetical protein	0.086	0.015	0.18	100.0	100.0	9.621	0.083	0.086	0.0750372034000511
Syncc9902_0181	hypothetical protein	0.119	0.031	0.263	70.75	100.0	6.441	0.119	0.138	0.12757039260439
Syncc9902_0182	Glycogen/starch/alpha-glucan phosphorylase (EC:2.4.1.1 )	0.06	0.013	0.221	69.88	100.0	6.444	0.058	0.06	0.0488202741340798
Syncc9902_0183	putative Na+/H+ antiporter, CPA2 family	0.052	0.012	0.232	67.03	100.0	5.402	0.065	0.054	0.0544544320262563
Syncc9902_0184	hypothetical protein	0.105	0.022	0.213	100.0	100.0	8.142	0.107	0.105	0.0440771349862259
Syncc9902_0185	hypothetical protein	0.081	0.017	0.209	67.76	100.0	5.655	0.096	0.081	0.145944957526801
Syncc9902_0186	hypothetical protein	0.07	0.012	0.17	85.75	100.0	6.708	0.065	0.07	0.0602343651672798
Syncc9902_0187	putative glycolate oxidase subunit GlcE	0.194	0.025	0.129	20.5	62.58	2.777	0.192	0.146	0.882578083612928
Syncc9902_0188	hypothetical protein	0.21	0.037	0.177	94.06	100.0	8.789	0.212	0.21	0.209720869889039
Syncc9902_0189	putative glycolate oxidase subunit (Fe-S) protein	0.103	0.02	0.19	56.98	100.0	6.25	0.1	0.106	0.0802923426733306
Syncc9902_0190	hypothetical protein	0.284	0.03	0.107	26.76	97.83	3.135	0.27	0.284	0.390937332082224
Syncc9902_0191	isocitrate dehydrogenase	0.064	0.016	0.255	96.49	100.0	9.68	0.066	0.064	0.0682202717526376
Syncc9902_0192	putative glycosyl transferase family protein	0.082	0.023	0.277	98.71	100.0	12.66	0.087	0.088	0.0813689066509412
Syncc9902_0193	hypothetical protein	0.204	0.044	0.218	90.64	100.0	8.494	0.21	0.217	0.215716050262927
Syncc9902_0194	Methylthioadenosine nucleosidase (EC:3.2.2.16 )	0.23	0.063	0.273	100.0	100.0	15.961	0.236	0.239	0.319553509782854
Syncc9902_0195	hypothetical protein	0.204	0.066	0.326	100.0	100.0	19.806	0.213	0.204	0.159977290698705
Syncc9902_0196	Heme oxygenase (decyclizing) (EC:1.14.99.3 )	0.043	0.014	0.331	99.04	100.0	16.316	0.043	0.043	0.079808467019898
Syncc9902_0197	hypothetical protein	0.191	0.039	0.206	83.85	100.0	7.978	0.194	0.181	0.155956330913672
Syncc9902_0198	ATPase	0.074	0.014	0.185	50.92	100.0	4.934	0.073	0.074	0.0558347046711366
Syncc9902_0199	hypothetical protein	0.382	0.021	0.056	14.66	69.18	2.203	0.426	0.382	0.137228118402392
Syncc9902_0200	putative glycosyl transferase, group 1	0.0	0.0	0.014	16.2	70.99	2.124	0.0	0.0	0.0886075949367088
Syncc9902_0201	glycosyl transferase, group 1	0.0	0.0	0.043	10.03	57.64	1.842	0.0	0.0	0.106044646487046
Syncc9902_0202	glycosyl transferase, group 1	0.0	0.0	0.033	4.1	86.3	1.639	0.0	0.0	0.342245989304813
Syncc9902_0203	hypothetical protein	0.088	0.007	0.085	29.01	99.18	3.947	0.089	0.088	0.133895507872313
Syncc9902_0204	hypothetical protein	0.166	0.008	0.051	14.73	95.16	2.564	0.166	0.166	0.361597200538702
Syncc9902_0205	hypothetical protein	0.18	0.041	0.227	58.57	100.0	5.316	0.17	0.18	0.145273637180171
Syncc9902_0206	2-dehydro-3-deoxyphosphooctonate aldolase	0.084	0.033	0.39	86.45	100.0	9.857	0.084	0.093	0.150114242975691
Syncc9902_0207	ATP-dependent DNA helicase PcrA	0.045	0.017	0.381	100.0	100.0	13.868	0.044	0.044	0.0388897538626755
Syncc9902_0208	hypothetical protein	0.081	0.032	0.39	100.0	100.0	17.903	0.088	0.081	0.0598447368601786
Syncc9902_0209	3-deoxy-manno-octulosonate cytidylyltransferase (EC:2.7.7.38 )	0.106	0.029	0.277	99.74	100.0	11.294	0.104	0.106	0.0600738569198396
Syncc9902_0210	Phosphatase kdsC	0.198	0.054	0.27	100.0	100.0	14.553	0.181	0.198	0.227525291817996
Syncc9902_0211	KpsF/GutQ (EC:5.3.1.13 )	0.1	0.027	0.272	100.0	100.0	14.843	0.094	0.105	0.159020798869362
Syncc9902_0212	possible polyA polymerase	0.242	0.058	0.242	100.0	100.0	12.942	0.252	0.242	0.258069710172998
Syncc9902_0213	hypothetical protein	0.254	0.046	0.182	80.35	100.0	8.613	0.275	0.254	0.27518502162022
Syncc9902_0214	Selenide,water dikinase (EC:2.7.9.3 )	0.227	0.062	0.272	100.0	100.0	13.326	0.246	0.228	0.358729611125898
Syncc9902_0215	UDP-glucose 4-epimerase	0.125	0.041	0.326	99.61	100.0	13.32	0.132	0.125	0.219183042273272
Syncc9902_0216	hypothetical protein	0.273	0.018	0.064	19.28	100.0	3.489	0.311	0.501	0.235946534533665
Syncc9902_0217	Type I secretion system ATPase, HlyB	0.061	0.019	0.309	47.36	95.37	4.551	0.065	0.08	0.101047294957558
Syncc9902_0218	possible similar to leukotoxin secretion protein	0.131	0.025	0.191	95.63	100.0	9.463	0.143	0.129	0.149018812772279
Syncc9902_0219	putative glycosyltransferase	0.148	0.049	0.333	7.37	91.35	1.91	0.165	0.205	0.218173415735356
