old_locus_tag	protein_id
sync_0088	WP_011618075.1
sync_0089	WP_041426230.1
sync_0090	WP_011618077.1
sync_0091	WP_011618078.1
sync_0092	WP_011618079.1
sync_0093	WP_041426233.1
sync_0094	WP_041426827.1
sync_0095	WP_011618082.1
sync_0096	WP_011618083.1
sync_0097	WP_011618084.1
sync_0098	WP_011618085.1
sync_0099	WP_041426235.1
sync_0100	WP_011618087.1
sync_0101	WP_011618088.1
sync_0102	WP_011618089.1
sync_0103	WP_011618090.1
sync_0104	WP_041426238.1
sync_0105	WP_011618092.1
sync_0106	WP_041426242.1
sync_0107	WP_011618094.1
sync_0108	WP_011618095.1
sync_0109	WP_011618096.1
sync_0110	WP_011618097.1
sync_0111	WP_011618098.1
sync_0112	WP_011618099.1
sync_0113	WP_011618100.1
sync_0114	WP_041426245.1
sync_0115	WP_011618102.1
sync_0116	WP_011618103.1
sync_0117	WP_006042532.1
sync_0118	WP_011618104.1
sync_0119	WP_011618105.1
sync_0120	WP_041426248.1
sync_0121	WP_193328836.1
sync_0122	WP_011618108.1
sync_0123	WP_011618109.1
sync_0124	WP_011618110.1
sync_0125	WP_011618111.1
sync_0126	WP_011618112.1
sync_0127	WP_011618113.1
sync_0128	WP_011618114.1
sync_0129	WP_011618115.1
sync_0130	WP_011618116.1
sync_0131	WP_011618117.1
sync_0132	WP_038014040.1
sync_0133	WP_006042515.1
sync_0134	WP_011618119.1
sync_0135	WP_011618120.1
sync_0136	WP_011618121.1
sync_0139	WP_011618124.1
sync_0140	WP_041426254.1
sync_0141	WP_041426256.1
sync_0142	WP_011618127.1
sync_0143	WP_011618128.1
sync_0144	WP_148201791.1
sync_0145	WP_041426261.1
sync_0146	WP_011618131.1
sync_0147	WP_011618132.1
sync_0149	WP_148201792.1
sync_0150	WP_011618135.1
sync_0151	WP_011618136.1
sync_0152	WP_011618137.1
sync_0153	WP_011618138.1
sync_0154	WP_011618139.1
sync_0155	WP_041426262.1
sync_0156	WP_011618141.1
sync_0157	WP_011618142.1
sync_0158	WP_011618143.1
sync_0159	WP_011618144.1
sync_0160	WP_011618145.1
sync_0162	WP_011618147.1
sync_0164	WP_011618149.1
sync_0165	WP_237699242.1
sync_0166	WP_011618151.1
sync_0168	WP_011618153.1
sync_0169	WP_011618154.1
sync_0170	WP_011618155.1
sync_0171	WP_011618156.1
sync_0172	WP_011618157.1
sync_0173	WP_011618158.1
sync_0174	WP_049750307.1
sync_0175	WP_011618160.1
sync_0176	WP_011618161.1
sync_0177	WP_148201795.1
sync_0178	WP_011618163.1
sync_0179	WP_148201796.1
sync_0180	WP_041426270.1
sync_0181	WP_011618166.1
sync_0182	WP_011618167.1
sync_0183	WP_011618168.1
sync_0184	WP_011618169.1
sync_0185	WP_041426272.1
sync_0186	WP_011618171.1
sync_0187	WP_041426273.1
sync_0189	WP_011618174.1
sync_0190	WP_011618175.1
sync_0192	WP_011618177.1
sync_0194	WP_011618179.1
sync_0195	WP_011618180.1
sync_0196	WP_011618181.1
sync_0197	WP_041426278.1
sync_0198	WP_011618183.1
sync_0199	WP_011618184.1
sync_0200	WP_011618185.1
sync_0202	WP_011618186.1
sync_0203	WP_011618187.1
sync_0204	WP_011618188.1
sync_0205	WP_041426838.1
sync_0206	WP_083756083.1
sync_0207	WP_041426281.1
sync_0208	WP_237699294.1
sync_0209	WP_011618193.1
sync_0210	WP_011618194.1
sync_0211	WP_011618195.1
sync_0212	WP_011618196.1
sync_0213	WP_049750308.1
sync_0214	WP_041426283.1
sync_0215	WP_011618199.1
sync_0216	WP_011618200.1
sync_0217	WP_011618201.1
sync_0219	WP_041426284.1
sync_0220	WP_369791615.1
sync_0221	WP_011618205.1
sync_0222	WP_011618206.1
sync_0223	WP_041426841.1
sync_0224	WP_041426286.1
sync_0226	WP_041426287.1
sync_0227	WP_011618211.1
sync_0228	WP_041426289.1
sync_0229	WP_011618213.1
sync_0230	WP_041426290.1
sync_0231	WP_011618215.1
sync_0232	WP_011618216.1
sync_0233	WP_011618217.1
sync_0234	WP_011618218.1
sync_0236	WP_011618220.1
sync_0237	WP_006853746.1
sync_0238	WP_006853745.1
sync_0239	WP_006853744.1
sync_0240	WP_011618221.1
sync_0241	WP_011618222.1
sync_0242	WP_041426843.1
sync_0243	WP_011618224.1
sync_0244	WP_011618225.1
sync_0245	WP_041426845.1
sync_0246	WP_011618227.1
sync_0247	WP_011618228.1
sync_0248	WP_011618229.1
sync_0249	WP_041426847.1
sync_0252	WP_011618233.1
sync_0253	WP_011618234.1
sync_0254	WP_049750309.1
sync_0255	WP_011618236.1
sync_0256	WP_041426291.1
sync_0257	WP_011618238.1
sync_0258	WP_011618239.1
sync_0259	WP_011618240.1
sync_0260	WP_011618241.1
sync_0261	WP_041426848.1
sync_0262	WP_011618243.1
sync_0263	WP_011618244.1
sync_0264	WP_167897135.1
sync_0265	WP_041426293.1
sync_0266	WP_237699245.1
sync_0267	WP_041426294.1
sync_0268	WP_041426295.1
sync_0269	WP_041426296.1
sync_0270	WP_011618251.1
sync_0271	WP_041426297.1
sync_0272	WP_011618253.1
sync_0273	WP_011618254.1
sync_0274	WP_011618255.1
sync_0275	WP_011618256.1
sync_0276	WP_011618257.1
sync_0277	WP_049750377.1
sync_0279	WP_011618259.1
sync_0280	WP_011618260.1
sync_0281	WP_041426298.1
sync_0282	WP_041426850.1
sync_0283	WP_011618263.1
sync_0284	WP_011618264.1
sync_0285	WP_011618265.1
sync_0286	WP_041426299.1
sync_0287	WP_006853701.1
sync_0288	WP_011618268.1
sync_0289	WP_011618269.1
sync_0290	WP_011618270.1
sync_0291	WP_011618271.1
sync_0292	WP_011618272.1
sync_0293	WP_011618273.1
sync_0294	WP_011618274.1
sync_0295	WP_011618275.1
sync_0296	WP_041426851.1
sync_0297	WP_011618277.1
sync_0298	WP_011618278.1
sync_0300	WP_011618279.1
sync_0301	WP_011618280.1
sync_0302	WP_011618281.1
sync_0303	WP_011618282.1
sync_0304	WP_011618283.1
sync_0305	WP_011618284.1
sync_0306	WP_011618285.1
sync_0307	WP_006042333.1
sync_0308	WP_011618286.1
sync_0309	WP_011618287.1
sync_0310	WP_006853680.1
sync_0311	WP_011618288.1
sync_0312	WP_011618289.1
sync_0313	WP_006853677.1
sync_0314	WP_011618290.1
sync_0315	WP_041426301.1
sync_0316	WP_011618292.1
sync_0317	WP_011618293.1
sync_0318	WP_011618294.1
sync_0319	WP_011618295.1
sync_0320	WP_011618296.1
sync_0321	WP_041426302.1
sync_0322	WP_041426303.1
sync_0323	WP_011618299.1
sync_0325	WP_041426305.1
sync_0326	WP_041426306.1
sync_0327	WP_041426307.1
sync_0328	WP_011618304.1
sync_0329	WP_011618305.1
sync_0330	WP_011618306.1
sync_0331	WP_011618307.1
sync_0332	WP_148201801.1
sync_0333	WP_011618309.1
sync_0334	WP_255321990.1
sync_0336	WP_011618311.1
sync_0337	WP_011618312.1
sync_0338	WP_011618313.1
sync_0339	WP_006853653.1
sync_0340	WP_041426308.1
sync_0342	WP_049750378.1
sync_0343	WP_011618317.1
sync_0344	WP_011618318.1
sync_0345	WP_011618319.1
sync_0346	WP_006853639.1
sync_0347	WP_167897100.1
sync_0348	WP_193328837.1
sync_0349	WP_011618322.1
sync_0351	WP_011618323.1
sync_0352	WP_011618324.1
sync_0353	WP_011618325.1
sync_0354	WP_011618326.1
sync_0355	WP_011618327.1
sync_0356	WP_011618328.1
sync_0357	WP_011618329.1
sync_0358	WP_011618330.1
sync_0359	WP_011618331.1
sync_0360	WP_041426310.1
sync_0361	WP_011618333.1
sync_0362	WP_041426311.1
sync_0363	WP_011618335.1
sync_0364	WP_041426312.1
sync_0365	WP_148201802.1
sync_0366	WP_083756084.1
sync_0368	WP_011618340.1
sync_0369	WP_011618341.1
sync_0370	WP_011618342.1
sync_0371	WP_011618343.1
sync_0372	WP_041426857.1
sync_0373	WP_237699299.1
sync_0374	WP_011618346.1
sync_0375	WP_011618347.1
sync_0376	WP_011618348.1
sync_0377	WP_011618349.1
sync_0378	WP_011618350.1
sync_0379	WP_011618351.1
sync_0380	WP_006042265.1
sync_0381	WP_011618352.1
sync_0382	WP_011618353.1
sync_0383	WP_011618354.1
sync_0384	WP_011618355.1
sync_0385	WP_011618356.1
sync_0386	WP_237699247.1
sync_0387	WP_041426316.1
sync_0388	WP_011618359.1
sync_0389	WP_041426858.1
sync_0391	WP_083756058.1
sync_0392	WP_237699248.1
sync_0393	WP_011618363.1
sync_0394	WP_011618364.1
sync_0395	WP_011618365.1
sync_0396	WP_148201804.1
sync_0397	WP_011618367.1
sync_0398	WP_011618368.1
sync_0399	WP_011618369.1
sync_0400	WP_011618370.1
sync_0401	WP_011618371.1
sync_0402	WP_011618372.1
sync_0403	WP_011618373.1
sync_0406	WP_011618375.1
sync_0407	WP_006854798.1
sync_0408	WP_011618376.1
sync_0409	WP_011618377.1
sync_0410	WP_011618378.1
sync_0411	WP_011618379.1
sync_0412	WP_193328845.1
sync_0413	WP_006854805.1
sync_0414	WP_011618381.1
sync_0415	WP_006854807.1
sync_0416	WP_006854808.1
sync_0417	WP_011618382.1
sync_0418	WP_011618383.1
sync_0419	WP_011618384.1
sync_0420	WP_011618385.1
sync_0421	WP_041426318.1
sync_0422	WP_011618387.1
sync_0423	WP_011618388.1
sync_0424	WP_011618389.1
sync_0425	WP_006854816.1
sync_0426	WP_041426319.1
sync_0427	WP_006854818.1
sync_0428	WP_011618391.1
sync_0429	WP_011618392.1
sync_0430	WP_011618393.1
sync_0431	WP_011618394.1
sync_0432	WP_011618395.1
sync_0433	WP_006854824.1
sync_0434	WP_011618396.1
sync_0435	WP_011618397.1
sync_0436	WP_011618398.1
sync_0437	WP_011618399.1
sync_0438	WP_011618400.1
sync_0439	WP_011618401.1
sync_0440	WP_011618402.1
sync_0442	WP_011618403.1
sync_0443	WP_011618404.1
sync_0444	WP_011618405.1
sync_0445	WP_011618406.1
sync_0446	WP_011618407.1
sync_0447	WP_011618408.1
sync_0448	WP_011618409.1
sync_0449	WP_011618410.1
sync_0450	WP_011618411.1
sync_0451	WP_011618412.1
sync_0452	WP_011618413.1
sync_0453	WP_011618414.1
sync_0454	WP_011618415.1
sync_0455	WP_041426320.1
sync_0456	WP_011618417.1
sync_0457	WP_041426321.1
sync_0459	WP_011618419.1
sync_0460	WP_193328838.1
sync_0461	WP_011618421.1
sync_0462	WP_011618422.1
sync_0463	WP_011618423.1
sync_0464	WP_011618424.1
sync_0465	WP_011618425.1
sync_0466	WP_011618426.1
sync_0467	WP_041426322.1
sync_0468	WP_011618428.1
sync_0469	WP_011618429.1
sync_0470	WP_011618430.1
sync_0471	WP_011618431.1
sync_0472	WP_011618432.1
sync_0473	WP_011618433.1
sync_0476	WP_049750311.1
sync_0477	WP_011618436.1
sync_0478	WP_041426324.1
sync_0479	WP_011618438.1
sync_0480	WP_011618439.1
sync_0481	WP_011618440.1
sync_0482	WP_011618441.1
sync_0483	WP_011618442.1
sync_0484	WP_011618443.1
sync_0485	WP_011618444.1
sync_0486	WP_237699251.1
sync_0487	WP_011618446.1
sync_0488	WP_011618447.1
sync_0489	WP_011618448.1
sync_0490	WP_011618449.1
sync_0491	WP_011618450.1
sync_0492	WP_011618451.1
sync_0493	WP_041426326.1
sync_0495	WP_011618454.1
sync_0496	WP_011618455.1
sync_0497	WP_011618456.1
sync_0498	WP_041426327.1
sync_0499	WP_148201807.1
sync_0500	WP_237699252.1
sync_0501	WP_049750312.1
sync_0502	WP_041426328.1
sync_0504	WP_011618463.1
sync_0505	WP_041426329.1
sync_0506	WP_011618465.1
sync_0507	WP_011618466.1
sync_0508	WP_011618467.1
sync_0509	WP_011618468.1
sync_0510	WP_011618469.1
sync_0511	WP_011618470.1
sync_0512	WP_041426331.1
sync_0513	WP_011618472.1
sync_0514	WP_011618473.1
sync_0515	WP_011618474.1
sync_0516	WP_011618475.1
sync_0517	WP_041426332.1
sync_0518	WP_011618477.1
sync_0519	WP_011618478.1
sync_0520	WP_041426870.1
sync_0521	WP_237699254.1
sync_0525	WP_148201810.1
sync_0526	WP_011618484.1
sync_0528	WP_011618486.1
sync_0529	WP_011618487.1
sync_0530	WP_011618488.1
sync_0531	WP_041426335.1
sync_0532	WP_011618490.1
sync_0533	WP_006854916.1
sync_0534	WP_011618491.1
sync_0535	WP_011618492.1
sync_0536	WP_006854919.1
sync_0537	WP_011618493.1
sync_0538	WP_011618494.1
sync_0539	WP_011618495.1
sync_0540	WP_011618496.1
sync_0541	WP_011618497.1
sync_0543	WP_011618498.1
sync_0544	WP_011618499.1
sync_0545	WP_011618500.1
sync_0546	WP_041426337.1
sync_0547	WP_011618502.1
sync_0548	WP_011618503.1
sync_0549	WP_006854932.1
sync_0550	WP_006854933.1
sync_0551	WP_041426339.1
sync_0552	WP_148201811.1
sync_0559	WP_237699257.1
sync_0561	WP_011618509.1
sync_0562	WP_006854760.1
sync_0563	WP_237699300.1
sync_0564	WP_011618511.1
sync_0565	WP_041426341.1
sync_0566	WP_011618513.1
sync_0567	WP_041426874.1
sync_0568	WP_011618515.1
sync_0569	WP_011618516.1
sync_0570	WP_011618517.1
sync_0571	WP_011618518.1
sync_0572	WP_041426342.1
sync_0573	WP_011618520.1
sync_0574	WP_011618521.1
sync_0578	WP_041426343.1
sync_0579	WP_011618524.1
sync_0581	WP_041426344.1
sync_0582	WP_011618527.1
sync_0584	WP_011618529.1
sync_0586	WP_011618531.1
sync_0589	WP_011618534.1
sync_0590	WP_011618535.1
sync_0591	WP_011618536.1
sync_0592	WP_011618537.1
sync_0593	WP_011618538.1
sync_0594	WP_041426877.1
sync_0595	WP_011618540.1
sync_0596	WP_011618541.1
sync_0597	WP_011618542.1
sync_0598	WP_011618543.1
sync_0599	WP_011618544.1
sync_0600	WP_011618545.1
sync_0601	WP_071813703.1
sync_0602	WP_041426878.1
sync_0603	WP_011618548.1
sync_0604	WP_011618549.1
sync_0605	WP_011618550.1
sync_0606	WP_011618551.1
sync_0607	WP_049750314.1
sync_0608	WP_041426349.1
sync_0609	WP_011618554.1
sync_0610	WP_148201813.1
sync_0613	WP_011618558.1
sync_0614	WP_011618559.1
sync_0616	WP_011618561.1
sync_0617	WP_011618562.1
sync_0618	WP_011618563.1
sync_0619	WP_041426358.1
sync_0620	WP_041426881.1
sync_0621	WP_011618566.1
sync_0622	WP_011618567.1
sync_0623	WP_011618568.1
sync_0624	WP_011618569.1
sync_0626	WP_041426360.1
sync_0627	WP_011618572.1
sync_0628	WP_011618573.1
sync_0629	WP_011618574.1
sync_0630	WP_011618575.1
sync_0631	WP_011618576.1
sync_0632	WP_011618577.1
sync_0633	WP_011618578.1
sync_0634	WP_148201817.1
sync_0635	WP_148201818.1
sync_0636	WP_041426883.1
sync_0637	WP_011618582.1
sync_0639	WP_041426884.1
sync_0641	WP_011618586.1
sync_0642	WP_041426362.1
sync_0643	WP_041426363.1
sync_0644	WP_237699260.1
sync_0646	WP_011618591.1
sync_0647	WP_011618592.1
sync_0648	WP_011618593.1
sync_0649	WP_011618594.1
sync_0650	WP_011618595.1
sync_0651	WP_011618596.1
sync_0652	WP_011618597.1
sync_0653	WP_011618598.1
sync_0654	WP_148201819.1
sync_0655	WP_167897141.1
sync_0656	WP_148201821.1
sync_0657	WP_049750315.1
sync_0659	WP_011618604.1
sync_0662	WP_011618607.1
sync_0663	WP_011618608.1
sync_0664	WP_237699261.1
sync_0665	WP_041426367.1
sync_0666	WP_071813704.1
sync_0667	WP_011618612.1
sync_0668	WP_237699262.1
sync_0669	WP_049750316.1
sync_0670	WP_011618615.1
sync_0671	WP_011618616.1
sync_0672	WP_041426368.1
sync_0673	WP_237699263.1
sync_0674	WP_011618619.1
sync_0675	WP_011618620.1
sync_0676	WP_011618621.1
sync_0677	WP_011618622.1
sync_0678	WP_041426892.1
sync_0679	WP_148201823.1
sync_0680	WP_011618625.1
sync_0681	WP_011618626.1
sync_0682	WP_011618627.1
sync_0683	WP_148201824.1
sync_0684	WP_041426895.1
sync_0685	WP_011618630.1
sync_0686	WP_011618631.1
sync_0687	WP_011618632.1
sync_0689	WP_041426371.1
sync_0690	WP_011618635.1
sync_0691	WP_041426896.1
sync_0692	WP_041426372.1
sync_0693	WP_011618638.1
sync_0694	WP_041426373.1
sync_0695	WP_011618640.1
sync_0696	WP_041426374.1
sync_0697	WP_011618642.1
sync_0698	WP_011618643.1
sync_0699	WP_041426375.1
sync_0700	WP_011618645.1
sync_0701	WP_011618646.1
sync_0702	WP_237699267.1
sync_0705	WP_148201825.1
sync_0706	WP_011618651.1
sync_0707	WP_237699268.1
sync_0708	WP_148201826.1
sync_0709	WP_083756063.1
sync_0710	WP_011618655.1
sync_0711	WP_049750317.1
sync_0712	WP_011618657.1
sync_0714	WP_011618659.1
sync_0716	WP_011618661.1
sync_0717	WP_011618662.1
sync_0718	WP_011618663.1
sync_0720	WP_011618664.1
sync_0721	WP_041426379.1
sync_0722	WP_011618666.1
sync_0723	WP_041426380.1
sync_0724	WP_011618668.1
sync_0725	WP_011618669.1
sync_0726	WP_011618670.1
sync_0727	WP_041426381.1
sync_0728	WP_011618672.1
sync_0729	WP_011618673.1
sync_0730	WP_041426382.1
sync_0731	WP_041426383.1
sync_0732	WP_011618676.1
sync_0733	WP_011618677.1
sync_0734	WP_011618678.1
sync_0735	WP_041426901.1
sync_0736	WP_041426384.1
sync_0737	WP_011618681.1
sync_0739	WP_049750319.1
sync_0740	WP_011618683.1
sync_0741	WP_041426386.1
sync_0742	WP_041426387.1
sync_0743	WP_011618686.1
sync_0744	WP_011618687.1
sync_0746	WP_041426388.1
sync_0748	WP_011618689.1
sync_0749	WP_011618690.1
sync_0750	WP_011618691.1
sync_0751	WP_011618692.1
sync_0753	WP_041426389.1
sync_0754	WP_011618695.1
sync_0755	WP_011618696.1
sync_0756	WP_041426905.1
sync_0757	WP_011618698.1
sync_0758	WP_041426391.1
sync_0759	WP_041426906.1
sync_0760	WP_011618701.1
sync_0761	WP_011618702.1
sync_0762	WP_041426393.1
sync_0763	WP_011618704.1
sync_0764	WP_011618705.1
sync_0765	WP_237699271.1
sync_0766	WP_011618707.1
sync_0767	WP_011618708.1
sync_0768	WP_011618709.1
sync_0769	WP_011618710.1
sync_0770	WP_041426394.1
sync_0771	WP_011618712.1
sync_0772	WP_011618713.1
sync_0773	WP_011618714.1
sync_0774	WP_011618715.1
sync_0775	WP_011618716.1
sync_0781	WP_011618722.1
sync_0782	WP_041426910.1
sync_0783	WP_011618724.1
sync_0784	WP_011618725.1
sync_0785	WP_011618726.1
sync_0786	WP_011618727.1
sync_0787	WP_011618728.1
sync_0788	WP_011618729.1
sync_0791	WP_041426911.1
sync_0793	WP_011618734.1
sync_0794	WP_011618735.1
sync_0795	WP_011618736.1
sync_0796	WP_011618737.1
sync_0797	WP_041426397.1
sync_0798	WP_237699272.1
sync_0799	WP_011618740.1
sync_0804	WP_011618745.1
sync_0805	WP_011618746.1
sync_0806	WP_011618747.1
sync_0807	WP_011618748.1
sync_0808	WP_011618749.1
sync_0809	WP_011618750.1
sync_0810	WP_011618751.1
sync_0811	WP_011618752.1
sync_0812	WP_011618753.1
sync_0813	WP_041426398.1
sync_0814	WP_011618755.1
sync_0815	WP_011618756.1
sync_0816	WP_237699273.1
sync_0818	WP_011618759.1
sync_0819	WP_237699274.1
sync_0820	WP_193328839.1
sync_0821	WP_011618762.1
sync_0822	WP_041426914.1
sync_0823	WP_011618764.1
sync_0825	WP_041426915.1
sync_0826	WP_011618767.1
sync_0827	WP_011618768.1
sync_0828	WP_011618769.1
sync_0829	WP_041426401.1
sync_0830	WP_049750320.1
sync_0831	WP_041426916.1
sync_0833	WP_148201831.1
sync_0834	WP_148201832.1
sync_0835	WP_011618775.1
sync_0836	WP_011618776.1
sync_0837	WP_011618777.1
sync_0838	WP_011618778.1
sync_0841	WP_011618781.1
sync_0843	WP_148201834.1
sync_0845	WP_011618785.1
sync_0846	WP_041426406.1
sync_0848	WP_148201835.1
sync_0849	WP_011618789.1
sync_0850	WP_011618790.1
sync_0853	WP_041426409.1
sync_0854	WP_011618632.1
sync_0855	WP_011618794.1
sync_0856	WP_011618795.1
sync_0858	WP_011618797.1
sync_0859	WP_011618798.1
sync_0860	WP_011618799.1
sync_0861	WP_011618800.1
sync_0862	WP_011618801.1
sync_0863	WP_011618802.1
sync_0865	WP_011618804.1
sync_0866	WP_049750388.1
sync_0868	WP_237699275.1
sync_0869	WP_011618808.1
sync_0870	WP_011618809.1
sync_0871	WP_011618810.1
sync_0872	WP_011618811.1
sync_0873	WP_011618812.1
sync_0874	WP_011618813.1
sync_0876	WP_011618815.1
sync_0877	WP_049750322.1
sync_0878	WP_011618817.1
sync_0879	WP_011618818.1
sync_0880	WP_041426926.1
sync_0881	WP_011618820.1
sync_0886	WP_011618825.1
sync_0887	WP_011618826.1
sync_0888	WP_011618827.1
sync_0890	WP_011618829.1
sync_0891	WP_041426418.1
sync_0892	WP_041426928.1
sync_0893	WP_011618832.1
sync_0894	WP_011618833.1
sync_0895	WP_011618834.1
sync_0896	WP_041426420.1
sync_0897	WP_011618836.1
sync_0898	WP_041426421.1
sync_0899	WP_041426422.1
sync_0900	WP_011618839.1
sync_0901	WP_011618840.1
sync_0902	WP_193328840.1
sync_0903	WP_006852199.1
sync_0904	WP_041426932.1
sync_0905	WP_011618843.1
sync_0906	WP_011618844.1
sync_0907	WP_071813678.1
sync_0908	WP_011618846.1
sync_0909	WP_006041809.1
sync_0910	WP_011618847.1
sync_0911	WP_011618848.1
sync_0912	WP_369791616.1
sync_0914	WP_011618851.1
sync_0915	WP_011618852.1
sync_0916	WP_006852211.1
sync_0917	WP_011618853.1
sync_0918	WP_011618854.1
sync_0919	WP_011618855.1
sync_0920	WP_011618856.1
sync_0921	WP_041426935.1
sync_0922	WP_011618858.1
sync_0923	WP_041426936.1
sync_0924	WP_011618860.1
sync_0925	WP_011618861.1
sync_0927	WP_255321998.1
sync_0928	WP_011618864.1
sync_0929	WP_011618865.1
sync_0930	WP_011618866.1
sync_0932	WP_011618868.1
sync_0934	WP_011618870.1
sync_0935	WP_193328841.1
sync_0936	WP_083756088.1
sync_0937	WP_148201839.1
sync_0938	WP_011618874.1
sync_0939	WP_011618875.1
sync_0940	WP_011618876.1
sync_0941	WP_011618877.1
sync_0942	WP_011618878.1
sync_0943	WP_011618879.1
sync_0944	WP_011618880.1
sync_0948	WP_011618884.1
sync_0949	WP_011618885.1
sync_0950	WP_006852244.1
sync_0954	WP_011618889.1
sync_0956	WP_041426428.1
sync_0957	WP_041426429.1
sync_0958	WP_237699278.1
sync_0960	WP_167897168.1
sync_0961	WP_011618896.1
sync_0962	WP_011618897.1
sync_0963	WP_041426430.1
sync_0964	WP_011618899.1
sync_0965	WP_148201840.1
sync_0966	WP_011618901.1
sync_0967	WP_011618902.1
sync_0969	WP_011618904.1
sync_0970	WP_011618905.1
sync_0971	WP_011618906.1
sync_0972	WP_041426431.1
sync_0973	WP_011618908.1
sync_0974	WP_041426940.1
sync_0975	WP_041426432.1
sync_0976	WP_011618911.1
sync_0977	WP_011618912.1
sync_0978	WP_041426433.1
sync_0979	WP_011618914.1
sync_0980	WP_011618915.1
sync_0981	WP_011618916.1
sync_0982	WP_237699279.1
sync_0983	WP_011618918.1
sync_0984	WP_011618919.1
sync_0985	WP_011618920.1
sync_0986	WP_011618921.1
sync_0987	WP_011618922.1
sync_0988	WP_011618923.1
sync_0989	WP_011618924.1
sync_0990	WP_011618925.1
sync_0991	WP_011618926.1
sync_0992	WP_041426435.1
sync_0993	WP_011618928.1
sync_0994	WP_011618929.1
sync_0995	WP_167897170.1
sync_0996	WP_167897173.1
sync_0997	WP_011618932.1
sync_0998	WP_011618933.1
sync_0999	WP_041426436.1
sync_1000	WP_011618935.1
sync_1001	WP_041426437.1
sync_1002	WP_011618937.1
sync_1003	WP_011618938.1
sync_1004	WP_011618939.1
sync_1006	WP_011618940.1
sync_1007	WP_011618941.1
sync_1008	WP_049750389.1
sync_1009	WP_011618943.1
sync_1010	WP_041426942.1
sync_1011	WP_011618945.1
sync_1012	WP_011618946.1
sync_1013	WP_041426439.1
sync_1014	WP_041426943.1
sync_1015	WP_011618949.1
sync_1016	WP_041426440.1
sync_1017	WP_011618951.1
sync_1018	WP_041426441.1
sync_1019	WP_011618953.1
sync_1020	WP_041426944.1
sync_1022	WP_011618956.1
sync_1023	WP_011618957.1
sync_1024	WP_011618958.1
sync_1025	WP_041426442.1
sync_1026	WP_041426443.1
sync_1027	WP_011618961.1
sync_1028	WP_041426444.1
sync_1029	WP_011618963.1
sync_1030	WP_011618964.1
sync_1031	WP_011618965.1
sync_1032	WP_041426446.1
sync_1033	WP_011618967.1
sync_1034	WP_049750325.1
sync_1035	WP_011618969.1
sync_1036	WP_011618970.1
sync_1037	WP_011618971.1
sync_1038	WP_071813681.1
sync_1039	WP_011618973.1
sync_1040	WP_011618974.1
sync_1041	WP_237699281.1
sync_1042	WP_011618976.1
sync_1043	WP_011618977.1
sync_1044	WP_011618978.1
sync_1045	WP_011618979.1
sync_1046	WP_011618980.1
sync_1047	WP_011618981.1
sync_1048	WP_011618982.1
sync_1050	WP_049750326.1
sync_1051	WP_011618985.1
sync_1052	WP_011618986.1
