protein_id	locus_tag	has_interpro	n_interpro_domains	interpro_ids
XP_002285969.1	THAPSDRAFT_20587	no	0	none
XP_002285970.1	THAPSDRAFT_38948	yes	1	IPR008580
XP_002285971.1	THAPSDRAFT_934	no	0	none
XP_002285972.1	THAPSDRAFT_260758	yes	1	IPR007766
XP_002285973.1	THAPSDRAFT_267929	yes	1	IPR001232
XP_002285974.1	THAPSDRAFT_943	no	0	none
XP_002285975.1	THAPSDRAFT_15791	yes	1	IPR000719
XP_002285976.1	THAPSDRAFT_260762	yes	1	IPR000782
XP_002285977.1	THAPSDRAFT_38957	yes	1	IPR001078
XP_002285978.1	THAPSDRAFT_953	no	0	none
XP_002285979.1	THAPSDRAFT_31499	yes	1	IPR000340
XP_002285980.1	THAPSDRAFT_31200	yes	1	IPR000340
XP_002285981.1	THAPSDRAFT_957	yes	1	IPR002562
XP_002285982.1	THAPSDRAFT_20598	no	0	none
XP_002285983.1	THAPSDRAFT_20601	no	0	none
XP_002285984.1	THAPSDRAFT_20602	yes	1	IPR001063
XP_002285985.1	THAPSDRAFT_31674	no	0	none
XP_002285986.1	THAPSDRAFT_20605	yes	4	IPR001159,IPR001650,IPR006935,IPR011545
XP_002285987.1	THAPSDRAFT_16344	yes	1	IPR007271
XP_002285988.1	THAPSDRAFT_260772	yes	1	IPR003834
XP_002285989.1	THAPSDRAFT_979	no	0	none
XP_002285990.1	THAPSDRAFT_980	no	0	none
XP_002285991.1	THAPSDRAFT_31110	yes	1	IPR002059
XP_002285992.1	THAPSDRAFT_31394	yes	1	IPR004839
XP_002285993.1	THAPSDRAFT_985	no	0	none
XP_002285994.1	THAPSDRAFT_20611	yes	1	IPR001440
XP_002285995.1	THAPSDRAFT_38973	yes	1	IPR000195
XP_002285996.1	THAPSDRAFT_13578	yes	2	IPR001650,IPR011545
XP_002285997.1	THAPSDRAFT_31415	yes	1	IPR004398
XP_002285998.1	THAPSDRAFT_260784	yes	1	IPR001251
XP_002285999.1	THAPSDRAFT_1000	no	0	none
XP_002286000.1	THAPSDRAFT_31652	yes	1	IPR000910
XP_002286001.1	THAPSDRAFT_20618	no	0	none
XP_002286002.1	THAPSDRAFT_1005	no	0	none
XP_002286003.1	THAPSDRAFT_260786	yes	2	IPR006109,IPR011128
XP_002286004.1	THAPSDRAFT_20619	yes	1	IPR001680
XP_002286005.1	THAPSDRAFT_260787	no	0	none
XP_002286006.1	THAPSDRAFT_1009	no	0	none
XP_002286007.1	THAPSDRAFT_1011	yes	1	IPR000340
XP_002286008.1	THAPSDRAFT_260789	yes	1	IPR002524
XP_002286009.1	THAPSDRAFT_1014	no	0	none
XP_002286010.1	THAPSDRAFT_20621	no	0	none
XP_002286011.1	THAPSDRAFT_20622	yes	1	IPR006076
XP_002286012.1	THAPSDRAFT_1020	no	0	none
XP_002286013.1	THAPSDRAFT_26536	yes	2	IPR000719,IPR001772
XP_002286014.1	THAPSDRAFT_1023	no	0	none
XP_002286015.1	THAPSDRAFT_20626	yes	1	IPR003034
XP_002286016.1	THAPSDRAFT_38987	yes	2	IPR001140,IPR003439
XP_002286017.1	THAPSDRAFT_1031	no	0	none
XP_002286018.1	THAPSDRAFT_30804	no	0	none
XP_002286019.1	THAPSDRAFT_267946	no	0	none
XP_002286020.1	THAPSDRAFT_38991	yes	1	IPR003788
XP_002286021.1	THAPSDRAFT_1036	no	0	none
XP_002286022.1	THAPSDRAFT_1038	no	0	none
XP_002286023.1	THAPSDRAFT_1040	no	0	none
XP_002286024.1	THAPSDRAFT_1044	no	0	none
XP_002286025.1	THAPSDRAFT_20639	no	0	none
XP_002286026.1	THAPSDRAFT_26548	yes	2	IPR000683,IPR004104
XP_002286027.1	THAPSDRAFT_1052	no	0	none
XP_002286028.1	THAPSDRAFT_1053	no	0	none
XP_002286029.1	THAPSDRAFT_1055	no	0	none
XP_002286030.1	THAPSDRAFT_1056	no	0	none
XP_002286031.1	THAPSDRAFT_1058	no	0	none
XP_002286032.1	THAPSDRAFT_31412	yes	1	IPR000672
XP_002286033.1	THAPSDRAFT_1060	yes	1	IPR006913
XP_002286034.1	THAPSDRAFT_31665	yes	3	IPR000640,IPR000795,IPR006297
XP_002286035.1	THAPSDRAFT_1063	no	0	none
XP_002286036.1	THAPSDRAFT_20644	no	0	none
XP_002286037.1	THAPSDRAFT_20648	no	0	none
XP_002286038.1	THAPSDRAFT_1069	no	0	none
XP_002286039.1	THAPSDRAFT_20649	no	0	none
XP_002286040.1	THAPSDRAFT_26553	yes	2	IPR001140,IPR003439
XP_002286041.1	THAPSDRAFT_20651	yes	1	IPR002528
XP_002286042.1	THAPSDRAFT_1075	yes	1	IPR003690
XP_002286043.1	THAPSDRAFT_20653	no	0	none
XP_002286044.1	THAPSDRAFT_1077	no	0	none
XP_002286045.1	THAPSDRAFT_20654	no	0	none
XP_002286046.1	THAPSDRAFT_1079	no	0	none
XP_002286047.1	THAPSDRAFT_1081	no	0	none
XP_002286048.1	THAPSDRAFT_267957	no	0	none
XP_002286049.1	THAPSDRAFT_20659	no	0	none
XP_002286050.1	THAPSDRAFT_1091	no	0	none
XP_002286051.1	THAPSDRAFT_1093	no	0	none
XP_002286052.1	THAPSDRAFT_1095	yes	1	IPR001353
XP_002286053.1	THAPSDRAFT_20661	no	0	none
XP_002286054.1	THAPSDRAFT_20663	yes	1	IPR000733
XP_002286055.1	THAPSDRAFT_20665	no	0	none
XP_002286056.1	THAPSDRAFT_1102	no	0	none
XP_002286057.1	THAPSDRAFT_26560	yes	1	IPR004839
XP_002286058.1	THAPSDRAFT_20670	no	0	none
XP_002286059.1	THAPSDRAFT_20671	no	0	none
XP_002286060.1	THAPSDRAFT_168	yes	7	IPR000722,IPR007066,IPR007073,IPR007075,IPR007080,IPR007081,IPR007083
XP_002286061.1	THAPSDRAFT_260816	yes	2	IPR000756,IPR001206
XP_002286062.1	THAPSDRAFT_31627	yes	1	IPR006145
XP_002286063.1	THAPSDRAFT_20675	yes	1	IPR001680
XP_002286064.1	THAPSDRAFT_1118	no	0	none
XP_002286065.1	THAPSDRAFT_1122	no	0	none
XP_002286066.1	THAPSDRAFT_26573	yes	1	IPR003672
XP_002286067.1	THAPSDRAFT_1125	no	0	none
XP_002286068.1	THAPSDRAFT_20680	no	0	none
XP_002286069.1	THAPSDRAFT_20681	no	0	none
XP_002286070.1	THAPSDRAFT_20683	yes	1	IPR000182
XP_002286071.1	THAPSDRAFT_39022	yes	1	IPR001680
XP_002286072.1	THAPSDRAFT_1134	yes	1	IPR000340
XP_002286073.1	THAPSDRAFT_1137	no	0	none
XP_002286074.1	THAPSDRAFT_267963	no	0	none
XP_002286075.1	THAPSDRAFT_14655	yes	1	IPR001214
XP_002286076.1	THAPSDRAFT_1145	no	0	none
XP_002286077.1	THAPSDRAFT_20689	yes	1	IPR005123
XP_002286078.1	THAPSDRAFT_20690	no	0	none
XP_002286079.1	THAPSDRAFT_1150	yes	1	IPR006145
XP_002286080.1	THAPSDRAFT_20692	yes	1	IPR008676
XP_002286081.1	THAPSDRAFT_31001	yes	1	IPR000312
XP_002286082.1	THAPSDRAFT_14616	yes	1	IPR001752
XP_002286083.1	THAPSDRAFT_1160	yes	1	IPR001179
XP_002286084.1	THAPSDRAFT_16304	yes	1	IPR002173
XP_002286085.1	THAPSDRAFT_1165	yes	1	IPR002637
XP_002286086.1	THAPSDRAFT_1166	no	0	none
XP_002286087.1	THAPSDRAFT_39038	yes	1	IPR001269
XP_002286088.1	THAPSDRAFT_31242	yes	2	IPR001375,IPR004106
XP_002286089.1	THAPSDRAFT_260832	yes	1	IPR006198
XP_002286090.1	THAPSDRAFT_1173	yes	1	IPR000232
XP_002286091.1	THAPSDRAFT_20702	no	0	none
XP_002286092.1	THAPSDRAFT_260835	no	0	none
XP_002286093.1	THAPSDRAFT_30913	yes	1	IPR002569
XP_002286094.1	THAPSDRAFT_1181	yes	1	IPR001849
XP_002286095.1	THAPSDRAFT_26063	yes	1	IPR001680
XP_002286096.1	THAPSDRAFT_267971	yes	1	IPR003409
XP_002286097.1	THAPSDRAFT_20708	yes	1	IPR004843
XP_002286098.1	THAPSDRAFT_1195	no	0	none
XP_002286099.1	THAPSDRAFT_31085	yes	1	IPR002422
XP_002286100.1	THAPSDRAFT_1202	no	0	none
XP_002286101.1	THAPSDRAFT_1203	yes	1	IPR011107
XP_002286102.1	THAPSDRAFT_1205	yes	1	IPR000719
XP_002286103.1	THAPSDRAFT_260850	yes	1	IPR003689
XP_002286104.1	THAPSDRAFT_1210	no	0	none
XP_002286105.1	THAPSDRAFT_267977	no	0	none
XP_002286106.1	THAPSDRAFT_20718	no	0	none
XP_002286107.1	THAPSDRAFT_1215	no	0	none
XP_002286108.1	THAPSDRAFT_1216	no	0	none
XP_002286109.1	THAPSDRAFT_1218	yes	1	IPR002422
XP_002286110.1	THAPSDRAFT_174	no	0	none
XP_002286111.1	THAPSDRAFT_260856	no	0	none
XP_002286112.1	THAPSDRAFT_1224	no	0	none
XP_002286113.1	THAPSDRAFT_1225	yes	1	IPR003594
XP_002286114.1	THAPSDRAFT_31193	yes	1	IPR007342
XP_002286115.1	THAPSDRAFT_20723	yes	1	IPR002893
XP_002286116.1	THAPSDRAFT_20726	yes	1	IPR001236
XP_002286117.1	THAPSDRAFT_260866	no	0	none
XP_002286118.1	THAPSDRAFT_1238	no	0	none
XP_002286119.1	THAPSDRAFT_20731	yes	1	IPR001993
XP_002286120.1	THAPSDRAFT_1243	yes	1	IPR001623
XP_002286121.1	THAPSDRAFT_1244	no	0	none
XP_002286122.1	THAPSDRAFT_267987	yes	1	IPR001926
XP_002286123.1	THAPSDRAFT_1248	no	0	none
XP_002286124.1	THAPSDRAFT_20734	no	0	none
XP_002286125.1	THAPSDRAFT_39062	yes	1	IPR001537
XP_002286126.1	THAPSDRAFT_1254	no	0	none
XP_002286127.1	THAPSDRAFT_1255	no	0	none
XP_002286128.1	THAPSDRAFT_260874	yes	1	IPR000403
XP_002286129.1	THAPSDRAFT_20739	no	0	none
XP_002286130.1	THAPSDRAFT_31032	no	0	none
XP_002286131.1	THAPSDRAFT_20742	no	0	none
XP_002286132.1	THAPSDRAFT_31226	yes	1	IPR005828
XP_002286133.1	THAPSDRAFT_20746	no	0	none
XP_002286134.1	THAPSDRAFT_20747	yes	1	IPR006671
XP_002286135.1	THAPSDRAFT_31136	yes	1	IPR000719
XP_002286136.1	THAPSDRAFT_20750	no	0	none
XP_002286137.1	THAPSDRAFT_20751	yes	1	IPR003409
XP_002286138.1	THAPSDRAFT_20752	no	0	none
XP_002286139.1	THAPSDRAFT_20753	no	0	none
XP_002286140.1	THAPSDRAFT_20754	no	0	none
XP_002286141.1	THAPSDRAFT_260879	no	0	none
XP_002286142.1	THAPSDRAFT_260880	no	0	none
XP_002286143.1	THAPSDRAFT_267997	yes	2	IPR000330,IPR001650
XP_002286144.1	THAPSDRAFT_1283	yes	1	IPR002616
XP_002286145.1	THAPSDRAFT_25918	yes	1	IPR001925
XP_002286146.1	THAPSDRAFT_1288	no	0	none
XP_002286147.1	THAPSDRAFT_260886	yes	1	IPR001841
XP_002286148.1	THAPSDRAFT_1291	no	0	none
XP_002286149.1	THAPSDRAFT_1294	no	0	none
XP_002286150.1	THAPSDRAFT_20763	yes	1	IPR006941
XP_002286151.1	THAPSDRAFT_260891	yes	1	IPR001680
XP_002286152.1	THAPSDRAFT_181	yes	1	IPR001296
XP_002286153.1	THAPSDRAFT_1302	no	0	none
XP_002286154.1	THAPSDRAFT_1303	yes	1	IPR001680
XP_002286155.1	THAPSDRAFT_30963	yes	1	IPR000719
XP_002286156.1	THAPSDRAFT_1309	no	0	none
XP_002286157.1	THAPSDRAFT_1310	yes	1	IPR006076
XP_002286158.1	THAPSDRAFT_31402	no	0	none
XP_002286159.1	THAPSDRAFT_20769	yes	1	IPR004294
XP_002286160.1	THAPSDRAFT_20771	no	0	none
XP_002286161.1	THAPSDRAFT_31599	yes	1	IPR001453
XP_002286162.1	THAPSDRAFT_15351	yes	1	IPR000719
XP_002286163.1	THAPSDRAFT_1324	no	0	none
XP_002286164.1	THAPSDRAFT_268009	no	0	none
XP_002286165.1	THAPSDRAFT_260906	no	0	none
XP_002286166.1	THAPSDRAFT_20778	yes	1	IPR000197
XP_002286167.1	THAPSDRAFT_12637	yes	2	IPR000048,IPR001609
XP_002286168.1	THAPSDRAFT_268011	yes	1	IPR001577
XP_002286169.1	THAPSDRAFT_31259	yes	1	IPR005114
XP_002286170.1	THAPSDRAFT_20783	no	0	none
XP_002286171.1	THAPSDRAFT_1338	no	0	none
XP_002286172.1	THAPSDRAFT_1341	yes	1	IPR005114
XP_002286173.1	THAPSDRAFT_1344	yes	1	IPR001283
XP_002286174.1	THAPSDRAFT_39110	yes	1	IPR005129
XP_002286175.1	THAPSDRAFT_260914	no	0	none
XP_002286176.1	THAPSDRAFT_31232	yes	1	IPR000023
XP_002286177.1	THAPSDRAFT_260917	yes	1	IPR002073
XP_002286178.1	THAPSDRAFT_1354	no	0	none
XP_002286179.1	THAPSDRAFT_1356	no	0	none
XP_002286180.1	THAPSDRAFT_20793	no	0	none
XP_002286181.1	THAPSDRAFT_20794	no	0	none
XP_002286182.1	THAPSDRAFT_20796	yes	1	IPR006900
XP_002286183.1	THAPSDRAFT_20798	yes	1	IPR007673
XP_002286184.1	THAPSDRAFT_20799	yes	1	IPR004882
XP_002286185.1	THAPSDRAFT_1366	yes	1	IPR003675
XP_002286186.1	THAPSDRAFT_20800	no	0	none
XP_002286187.1	THAPSDRAFT_30939	no	0	none
XP_002286188.1	THAPSDRAFT_1372	yes	1	IPR000048
XP_002286189.1	THAPSDRAFT_1373	no	0	none
XP_002286190.1	THAPSDRAFT_31424	yes	1	IPR004839
XP_002286191.1	THAPSDRAFT_1376	no	0	none
XP_002286192.1	THAPSDRAFT_260922	yes	1	IPR004616
XP_002286193.1	THAPSDRAFT_31222	yes	1	IPR000589
XP_002286194.1	THAPSDRAFT_1382	no	0	none
XP_002286195.1	THAPSDRAFT_20807	no	0	none
XP_002286196.1	THAPSDRAFT_1385	yes	1	IPR002657
XP_002286197.1	THAPSDRAFT_20808	no	0	none
XP_002286198.1	THAPSDRAFT_260926	yes	1	IPR001611
XP_002286199.1	THAPSDRAFT_20810	no	0	none
XP_002286200.1	THAPSDRAFT_30924	yes	1	IPR002587
XP_002286201.1	THAPSDRAFT_1393	yes	3	IPR003395,IPR003405,IPR010935
XP_002286202.1	THAPSDRAFT_20813	no	0	none
XP_002286203.1	THAPSDRAFT_20814	yes	1	IPR000504
XP_002286204.1	THAPSDRAFT_1397	no	0	none
XP_002286205.1	THAPSDRAFT_31383	yes	1	IPR000173
XP_002286206.1	THAPSDRAFT_26678	yes	3	IPR005474,IPR005475,IPR005476
XP_002286207.1	THAPSDRAFT_270240	yes	1	IPR011531
XP_002286208.1	THAPSDRAFT_20817	no	0	none
XP_002286209.1	THAPSDRAFT_1408	no	0	none
XP_002286210.1	THAPSDRAFT_260939	yes	1	IPR000340
XP_002286211.1	THAPSDRAFT_20819	no	0	none
XP_002286212.1	THAPSDRAFT_31046	no	0	none
XP_002286213.1	THAPSDRAFT_1412	no	0	none
XP_002286214.1	THAPSDRAFT_30960	yes	1	IPR004274
XP_002286215.1	THAPSDRAFT_260943	yes	1	IPR004598
XP_002286216.1	THAPSDRAFT_1417	no	0	none
XP_002286217.1	THAPSDRAFT_1420	no	0	none
XP_002286218.1	THAPSDRAFT_31034	yes	1	IPR002130
XP_002286219.1	THAPSDRAFT_1422	yes	1	IPR007283
XP_002286220.1	THAPSDRAFT_26686	yes	1	IPR001680
XP_002286221.1	THAPSDRAFT_1426	no	0	none
XP_002286222.1	THAPSDRAFT_1428	no	0	none
XP_002286223.1	THAPSDRAFT_31223	yes	1	IPR000403
XP_002286224.1	THAPSDRAFT_20825	no	0	none
XP_002286225.1	THAPSDRAFT_31142	yes	1	IPR000910
XP_002286226.1	THAPSDRAFT_20828	no	0	none
XP_002286227.1	THAPSDRAFT_1436	no	0	none
XP_002286228.1	THAPSDRAFT_20832	no	0	none
XP_002286229.1	THAPSDRAFT_31216	yes	1	IPR004839
XP_002286230.1	THAPSDRAFT_260953	yes	1	IPR003462
XP_002286231.1	THAPSDRAFT_31035	yes	1	IPR001254
XP_002286232.1	THAPSDRAFT_1446	no	0	none
XP_002286233.1	THAPSDRAFT_12821	no	0	none
XP_002286234.1	THAPSDRAFT_1450	no	0	none
XP_002286235.1	THAPSDRAFT_20834	no	0	none
XP_002286236.1	THAPSDRAFT_20835	no	0	none
XP_002286237.1	THAPSDRAFT_1455	no	0	none
XP_002286238.1	THAPSDRAFT_1456	yes	1	IPR004436
XP_002286239.1	THAPSDRAFT_1457	yes	1	IPR003961
XP_002286240.1	THAPSDRAFT_20837	no	0	none
XP_002286241.1	THAPSDRAFT_20838	no	0	none
XP_002286242.1	THAPSDRAFT_260958	yes	1	IPR005844
XP_002286243.1	THAPSDRAFT_1463	no	0	none
XP_002286244.1	THAPSDRAFT_1465	yes	1	IPR006571
XP_002286245.1	THAPSDRAFT_1467	yes	1	IPR003409
XP_002286246.1	THAPSDRAFT_31404	yes	1	IPR004859
XP_002286247.1	THAPSDRAFT_26071	yes	1	IPR001353
XP_002286248.1	THAPSDRAFT_1471	no	0	none
XP_002286249.1	THAPSDRAFT_30979	yes	1	IPR001310
XP_002286250.1	THAPSDRAFT_20845	no	0	none
XP_002286251.1	THAPSDRAFT_260965	no	0	none
XP_002286252.1	THAPSDRAFT_20846	yes	1	IPR007130
XP_002286253.1	THAPSDRAFT_20847	no	0	none
XP_002286254.1	THAPSDRAFT_20848	yes	1	IPR001251
XP_002286255.1	THAPSDRAFT_39143	yes	1	IPR001993
XP_002286256.1	THAPSDRAFT_26702	no	0	none
XP_002286257.1	THAPSDRAFT_31535	yes	3	IPR001179,IPR001440,IPR002130
XP_002286258.1	THAPSDRAFT_260974	no	0	none
XP_002286259.1	THAPSDRAFT_260975	no	0	none
XP_002286260.1	THAPSDRAFT_1492	no	0	none
XP_002286261.1	THAPSDRAFT_31622	no	0	none
XP_002286262.1	THAPSDRAFT_26706	yes	1	IPR001353
XP_002286263.1	THAPSDRAFT_260980	yes	1	IPR001752
XP_002286264.1	THAPSDRAFT_1500	no	0	none
XP_002286265.1	THAPSDRAFT_1502	no	0	none
XP_002286266.1	THAPSDRAFT_31037	yes	2	IPR001650,IPR011545
XP_002286267.1	THAPSDRAFT_1505	yes	1	IPR003137
XP_002286268.1	THAPSDRAFT_20859	yes	1	IPR003000
XP_002286269.1	THAPSDRAFT_268049	yes	3	IPR001650,IPR007502,IPR011545
XP_002286270.1	THAPSDRAFT_260991	yes	2	IPR001623,IPR002939
XP_002286271.1	THAPSDRAFT_30976	yes	1	IPR001179
XP_002286272.1	THAPSDRAFT_1515	yes	1	IPR001075
XP_002286273.1	THAPSDRAFT_31108	yes	2	IPR001830,IPR003337
XP_002286274.1	THAPSDRAFT_20868	no	0	none
XP_002286275.1	THAPSDRAFT_1526	yes	1	IPR001251
XP_002286276.1	THAPSDRAFT_1533	no	0	none
XP_002286277.1	THAPSDRAFT_20875	no	0	none
XP_002286278.1	THAPSDRAFT_261001	no	0	none
XP_002286279.1	THAPSDRAFT_261002	yes	1	IPR001680
XP_002286280.1	THAPSDRAFT_20877	yes	2	IPR001202,IPR007129
XP_002286281.1	THAPSDRAFT_26726	yes	2	IPR002300,IPR010663
XP_002286282.1	THAPSDRAFT_20880	no	0	none
XP_002286283.1	THAPSDRAFT_1549	yes	1	IPR001128
XP_002286284.1	THAPSDRAFT_1551	no	0	none
XP_002286285.1	THAPSDRAFT_1554	yes	1	IPR005200
XP_002286286.1	THAPSDRAFT_268061	no	0	none
XP_002286287.1	THAPSDRAFT_1557	no	0	none
XP_002286288.1	THAPSDRAFT_20889	yes	1	IPR002422
XP_002286289.1	THAPSDRAFT_1563	no	0	none
XP_002286290.1	THAPSDRAFT_1564	yes	1	IPR007714
XP_002286291.1	THAPSDRAFT_1568	no	0	none
XP_002286292.1	THAPSDRAFT_20892	no	0	none
XP_002286293.1	THAPSDRAFT_20893	no	0	none
XP_002286294.1	THAPSDRAFT_261024	yes	1	IPR001563
XP_002286295.1	THAPSDRAFT_20899	yes	1	IPR001092
XP_002286296.1	THAPSDRAFT_31247	yes	1	IPR009283
XP_002286297.1	THAPSDRAFT_26743	yes	1	IPR000649
XP_002286298.1	THAPSDRAFT_1584	yes	1	IPR002130
XP_002286299.1	THAPSDRAFT_1587	no	0	none
XP_002286300.1	THAPSDRAFT_20904	no	0	none
XP_002286301.1	THAPSDRAFT_261036	yes	1	IPR001611
XP_002286302.1	THAPSDRAFT_20906	no	0	none
XP_002286303.1	THAPSDRAFT_1594	no	0	none
XP_002286304.1	THAPSDRAFT_1595	yes	1	IPR001478
XP_002286305.1	THAPSDRAFT_1597	no	0	none
XP_002286306.1	THAPSDRAFT_1599	no	0	none
XP_002286307.1	THAPSDRAFT_1602	yes	1	IPR010378
XP_002286308.1	THAPSDRAFT_30915	no	0	none
XP_002286309.1	THAPSDRAFT_20912	no	0	none
XP_002286310.1	THAPSDRAFT_261047	yes	1	IPR001993
XP_002286311.1	THAPSDRAFT_268078	no	0	none
XP_002286312.1	THAPSDRAFT_1620	yes	1	IPR008915
XP_002286313.1	THAPSDRAFT_20920	yes	1	IPR008915
XP_002286314.1	THAPSDRAFT_30851	yes	1	IPR003959
XP_002286315.1	THAPSDRAFT_20922	no	0	none
XP_002286316.1	THAPSDRAFT_1629	no	0	none
XP_002286317.1	THAPSDRAFT_20923	yes	1	IPR009688
XP_002286318.1	THAPSDRAFT_20924	no	0	none
XP_002286319.1	THAPSDRAFT_1637	no	0	none
XP_002286320.1	THAPSDRAFT_1638	no	0	none
XP_002286321.1	THAPSDRAFT_13134	yes	1	IPR004147
XP_002286322.1	THAPSDRAFT_20927	yes	1	IPR000620
XP_002286323.1	THAPSDRAFT_20928	yes	1	IPR000891
XP_002286324.1	THAPSDRAFT_261056	yes	1	IPR002553
XP_002286325.1	THAPSDRAFT_1644	yes	1	IPR000719
XP_002286326.1	THAPSDRAFT_20930	no	0	none
XP_002286327.1	THAPSDRAFT_20931	no	0	none
XP_002286328.1	THAPSDRAFT_1649	no	0	none
XP_002286329.1	THAPSDRAFT_31598	yes	1	IPR002130
XP_002286330.1	THAPSDRAFT_1653	no	0	none
XP_002286331.1	THAPSDRAFT_268084	yes	1	IPR004015
XP_002286332.1	THAPSDRAFT_30981	yes	1	IPR002198
XP_002286333.1	THAPSDRAFT_261063	no	0	none
XP_002286334.1	THAPSDRAFT_261064	no	0	none
XP_002286335.1	THAPSDRAFT_261065	yes	1	IPR003018
XP_002286336.1	THAPSDRAFT_1665	yes	1	IPR001041
XP_002286337.1	THAPSDRAFT_1666	no	0	none
XP_002286338.1	THAPSDRAFT_31132	yes	1	IPR004843
XP_002286339.1	THAPSDRAFT_261067	yes	1	IPR001952
XP_002286340.1	THAPSDRAFT_1672	yes	1	IPR005065
XP_002286341.1	THAPSDRAFT_1674	no	0	none
XP_002286342.1	THAPSDRAFT_20944	no	0	none
XP_002286343.1	THAPSDRAFT_20945	yes	1	IPR003397
XP_002286344.1	THAPSDRAFT_31121	yes	1	IPR000504
XP_002286345.1	THAPSDRAFT_1680	yes	1	IPR002903
XP_002286346.1	THAPSDRAFT_261072	yes	1	IPR003959
XP_002286347.1	THAPSDRAFT_1684	yes	1	IPR002048
XP_002286348.1	THAPSDRAFT_1685	no	0	none
XP_002286349.1	THAPSDRAFT_20950	no	0	none
XP_002286350.1	THAPSDRAFT_1692	no	0	none
XP_002286351.1	THAPSDRAFT_20954	yes	1	IPR005172
XP_002286352.1	THAPSDRAFT_1696	yes	1	IPR001202
XP_002286353.1	THAPSDRAFT_20955	yes	1	IPR001202
XP_002286354.1	THAPSDRAFT_31358	yes	1	IPR001440
XP_002286355.1	THAPSDRAFT_30980	yes	1	IPR002917
XP_002286356.1	THAPSDRAFT_20959	yes	1	IPR001005
XP_002286357.1	THAPSDRAFT_1706	no	0	none
XP_002286358.1	THAPSDRAFT_20962	no	0	none
XP_002286359.1	THAPSDRAFT_20965	no	0	none
XP_002286360.1	THAPSDRAFT_31564	yes	1	IPR001163
XP_002286361.1	THAPSDRAFT_261078	no	0	none
XP_002286362.1	THAPSDRAFT_31569	yes	2	IPR003008,IPR008280
XP_002286363.1	THAPSDRAFT_1724	no	0	none
XP_002286364.1	THAPSDRAFT_1727	no	0	none
XP_002286365.1	THAPSDRAFT_20971	no	0	none
XP_002286366.1	THAPSDRAFT_20972	no	0	none
XP_002286367.1	THAPSDRAFT_1732	yes	1	IPR001876
XP_002286368.1	THAPSDRAFT_30832	yes	1	IPR000911
XP_002286369.1	THAPSDRAFT_20974	no	0	none
XP_002286370.1	THAPSDRAFT_20975	no	0	none
XP_002286371.1	THAPSDRAFT_1741	no	0	none
XP_002286372.1	THAPSDRAFT_1743	yes	1	IPR003395
XP_002286373.1	THAPSDRAFT_13444	yes	1	IPR003171
XP_002286374.1	THAPSDRAFT_1747	yes	1	IPR005123
XP_002286375.1	THAPSDRAFT_20979	no	0	none
XP_002286376.1	THAPSDRAFT_31406	yes	1	IPR006689
XP_002286377.1	THAPSDRAFT_1753	no	0	none
XP_002286378.1	THAPSDRAFT_1755	no	0	none
XP_002286379.1	THAPSDRAFT_261093	yes	1	IPR002142
XP_002286380.1	THAPSDRAFT_16236	yes	1	IPR007271
XP_002286381.1	THAPSDRAFT_1758	no	0	none
XP_002286382.1	THAPSDRAFT_20982	yes	1	IPR000791
XP_002286383.1	THAPSDRAFT_1762	no	0	none
XP_002286384.1	THAPSDRAFT_1764	no	0	none
