Entry	Gene Names	InterPro	Pfam	Protein names
B5YLS7	TPI2 THAPS_30380	IPR013785;IPR035990;IPR022896;IPR000652;IPR020861;	PF00121;	Triosephosphate isomerase (EC 5.3.1.1)
B5YM90	THAPS_25437	IPR044015;IPR000146;IPR033391;IPR028343;IPR020548;	PF00316;PF18913;	Fructose-1,6-bisphosphatase, cytosolic (EC 3.1.3.11)
B5YMM4	THAPS_270312	IPR005477;IPR029061;IPR009014;IPR005475;IPR020826;IPR033248;IPR049557;	PF13292;PF02779;PF02780;	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7)
B5YMU1	cdc2 THAPS_35387	IPR050108;IPR011009;IPR000719;IPR017441;IPR008271;	PF00069;	Cyclin-dependent kinase 2 homolog (EC 2.7.11.22) (Cell division control protein 2 homolog) (cdc2-related kinase 2)
B5YMV7	TMS1 THAPS_13647	IPR024072;IPR012262;IPR017925;IPR001796;IPR045097;IPR023451;IPR036926;IPR000398;IPR020940;	PF00186;PF00303;	Bifunctional dihydrofolate reductase-thymidylate synthase (EC 1.5.1.3) (EC 2.1.1.45)
B5YN36	THAPS_263193	IPR027054;IPR001296;	PF00534;	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase)
B5YN92	THAPS_270304	IPR001576;IPR015911;IPR015824;IPR036043;	PF00162;	Phosphoglycerate kinase (EC 2.7.2.3)
B5YNC3	DHC1_2 THAPS_269263	IPR003593;IPR035699;IPR035706;IPR041658;IPR042219;IPR026983;IPR054354;IPR042222;IPR043157;IPR041466;IPR024743;IPR024317;IPR004273;IPR013602;IPR013594;IPR042228;IPR027417;	PF12774;PF12775;PF12780;PF12781;PF18198;PF08385;PF08393;PF22597;PF17852;PF03028;PF12777;	Dynein heavy chain, cytoplasmic (Dynein heavy chain, cytosolic)
B5YNN7	THAPS_29013	IPR043519;IPR011068;IPR007012;IPR048840;IPR007010;IPR014492;	PF04928;PF20750;PF04926;	Poly(A) polymerase (EC 2.7.7.19)
B5YNP4	THAPS_263266	IPR010203;IPR005493;IPR036704;	PF03737;	4-hydroxy-4-methyl-2-oxoglutarate aldolase (HMG aldolase) (EC 4.1.1.112) (EC 4.1.3.17) (Oxaloacetate decarboxylase)
B5YNQ0	tpi THAPS_7229	IPR013785;IPR035990;IPR022896;IPR000652;IPR020861;	PF00121;	Triosephosphate isomerase (EC 5.3.1.1)
B5YNT2	THAPS_41433	IPR036188;IPR023753;IPR016156;IPR006322;IPR046952;IPR001100;IPR004099;IPR012999;	PF07992;PF02852;	Glutathione reductase (EC 1.8.1.7)
B5YNT7	THAPS_7268	IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR059000;IPR036412;IPR023214;IPR006534;IPR001757;IPR044492;	PF00690;PF00122;PF00702;	Plasma membrane ATPase (EC 7.1.2.1)
B5YNW9	ACD1 THAPS_35710	IPR006089;IPR006091;IPR046373;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;	PF00441;PF02770;PF02771;	Short-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)
B8BQC8	THAPSDRAFT_30871	IPR027502;IPR029001;IPR002637;	PF01725;	XTP/dITP diphosphatase (EC 3.6.1.66)
B8BQH3	THAPSDRAFT_39075	IPR017932;IPR029055;IPR029057;IPR000836;IPR005854;IPR035584;	PF13522;PF00156;	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase)
B8BQJ5	THAPSDRAFT_20766	IPR020846;IPR005828;IPR036259;IPR050814;IPR003663;	PF00083;	Hexose transporter 1
B8BQS6	PDS1 THAPSDRAFT_1383	IPR002937;IPR036188;IPR001613;IPR014102;IPR050464;	PF01593;	Amine oxidase (EC 1.4.3.-)
B8BQU2	GAPD1 THAPSDRAFT_31383	IPR020831;IPR020830;IPR020829;IPR020828;IPR006424;IPR036291;	PF02800;PF00044;	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)
B8BQU3	TKT1 THAPSDRAFT_26678	IPR029061;IPR009014;IPR055152;IPR005475;IPR005478;IPR049557;IPR033247;IPR005474;	PF02779;PF22613;PF00456;	transketolase (EC 2.2.1.1)
B8BQY5	THAPSDRAFT_268027	IPR030382;IPR029063;IPR056743;IPR056744;IPR025792;	PF02475;PF25133;	tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog)
B8BR87	ITS2 THAPSDRAFT_26726	IPR001412;IPR002300;IPR033708;IPR002301;IPR023585;IPR050081;IPR013155;IPR014729;IPR009080;IPR009008;	PF08264;PF00133;	isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase)
B8BRK5	THAPSDRAFT_30950	IPR012341;IPR044674;IPR001382;IPR036026;	PF01532;	alpha-1,2-Mannosidase (EC 3.2.1.-)
B8BRS6	THAPSDRAFT_1732	IPR006166;IPR033309;IPR011335;IPR018527;IPR036388;IPR047417;IPR001876;IPR036443;	PF02732;PF00641;	Crossover junction endonuclease MUS81 (EC 3.1.22.-)
B8BRW4	THAPSDRAFT_31609	IPR031327;IPR008048;IPR054125;IPR018525;IPR001208;IPR041562;IPR027925;IPR033762;IPR012340;IPR027417;	PF00493;PF21933;PF17855;PF14551;PF17207;	DNA replication licensing factor MCM5 (EC 3.6.4.12)
B8BS05	THAPSDRAFT_270314	IPR001015;IPR019772;IPR033644;IPR033659;	PF00762;	Ferrochelatase (EC 4.98.1.1)
B8BS06	SCS1 THAPSDRAFT_31362	IPR011761;IPR013650;IPR013815;IPR017866;IPR005811;IPR005809;IPR016102;	PF08442;PF00549;	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)
B8BSA8	THAPSDRAFT_14004	IPR050108;IPR011009;IPR000719;IPR017441;IPR008271;	PF00069;	Cyclin-dependent kinase 2 homolog (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (cdc2-related kinase 2)
B8BSS2	THAPSDRAFT_20580	IPR011761;IPR013815;IPR002376;IPR036477;IPR016185;IPR020561;IPR000115;IPR020560;IPR037123;IPR020559;IPR020562;IPR010918;IPR036676;IPR016188;IPR036921;IPR004733;IPR011054;	PF00586;PF02769;PF00551;PF01071;PF02843;PF02844;	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (EC 6.3.4.13) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)
B8BSX6	THAPSDRAFT_31200	IPR000340;IPR029021;IPR000387;IPR020422;	PF00782;	Dual specificity phosphatase 28 (EC 3.1.3.16) (EC 3.1.3.48)
B8BSY2	HMCS1 THAPSDRAFT_260768	IPR013746;IPR013528;IPR010122;IPR016039;	PF08540;PF01154;	Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)
B8BT00	THAPSDRAFT_20607	IPR000453;IPR035904;IPR020541;	PF01264;	Chorismate synthase (EC 4.2.3.5)
B8BT64	THAPSDRAFT_26545	IPR031327;IPR008049;IPR018525;IPR001208;IPR041562;IPR027925;IPR033762;IPR012340;IPR027417;	PF00493;PF17855;PF14551;PF17207;	DNA replication licensing factor MCM6 (EC 3.6.4.12)
B8BTF6	THAPSDRAFT_31710	IPR011009;IPR000719;IPR051272;IPR018934;IPR000687;IPR018935;	PF01163;	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (Serine/threonine-protein kinase rio1)
B8BTR4	TKT2 THAPSDRAFT_21175	IPR029061;IPR009014;IPR055152;IPR005475;IPR005478;IPR020826;IPR049557;IPR033247;IPR005474;	PF02779;PF22613;PF00456;	Transketolase (EC 2.2.1.1)
B8BU12	THAPSDRAFT_2321	IPR002562;IPR010997;IPR012337;IPR036397;IPR045092;	PF01612;	3'-5' exonuclease domain-containing protein
B8BUV9	THAPSDRAFT_21355	IPR044917;	PF03121;	DNA-directed primase/polymerase protein (EC 2.7.7.102)
B8BUZ9	THAPSDRAFT_15887	IPR050108;IPR037770;IPR011009;IPR000719;IPR017441;IPR008271;	PF00069;	Cyclin-dependent kinase 2 homolog (EC 2.7.11.23) (Cell division control protein 2 homolog) (cdc2-related kinase 2)
B8BV40	THAPSDRAFT_39606	IPR002314;IPR006195;IPR045864;IPR002317;IPR033729;IPR010978;	PF00587;	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (Seryl-tRNA(Ser/Sec) synthetase)
B8BVB6	THAPSDRAFT_2779	IPR002813;IPR016117;IPR042195;	PF01960;	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS)]
B8BVK5	THAPSDRAFT_21498	IPR011545;IPR014001;IPR001650;IPR027417;IPR000629;IPR014014;	PF00270;PF00271;	RNA helicase (EC 3.6.4.13)
B8BVT3	THAPSDRAFT_2946	IPR000850;IPR033690;IPR027417;IPR006266;	PF00406;	UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)
B8BVT8	UroS THAPSDRAFT_2950	IPR036108;IPR003754;IPR039793;	PF02602;	Uroporphyrinogen-III synthase (EC 4.2.1.75)
B8BW81	THAPSDRAFT_268553	IPR006172;IPR006133;IPR043502;IPR042087;IPR013697;IPR023211;IPR029703;IPR055191;IPR012337;IPR036397;IPR054475;	PF03104;PF08490;PF22634;PF22912;PF23250;	DNA polymerase epsilon catalytic subunit (EC 2.7.7.7)
B8BWB1	THAPSDRAFT_270306	IPR013785;IPR026019;IPR000056;IPR011060;	PF00834;	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)
B8BWB9	hsp70_4 THAPSDRAFT_27656	IPR043129;IPR042050;IPR018181;IPR029048;IPR029047;IPR013126;	PF00012;	Heat shock protein/chaperone
B8BWJ4	THAPSDRAFT_32704	IPR050503;IPR012198;IPR018488;IPR000595;IPR018490;IPR014710;	PF00027;	cGMP-dependent protein kinase (EC 2.7.11.12)
B8BWL1	GGTA1 THAPSDRAFT_268577	IPR002088;	PF01239;	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha)
B8BWM8	THAPSDRAFT_14875	IPR000715;IPR033895;	PF00953;	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (N-acetylglucosamine-1-phosphate transferase)
B8BWN4	DHC2 THAPSDRAFT_268582	IPR011545;IPR002464;IPR004589;IPR014001;IPR001650;IPR027417;IPR032284;IPR018982;IPR036388;IPR036390;	PF00270;PF00271;PF16124;PF09382;	ATP-dependent DNA helicase (EC 5.6.2.4)
B8BWT1	THAPSDRAFT_39767	IPR014306;IPR018020;IPR017580;IPR036778;IPR023418;IPR023416;IPR036817;IPR023419;	PF09349;PF00576;	Parahox neighbor (EC 3.5.2.17) (EC 4.1.1.97) (Ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase)
B8BWY0	CDK1 THAPSDRAFT_268410	IPR050108;IPR011009;IPR000719;IPR017441;IPR008271;	PF00069;	Cyclin-dependent kinase 2 homolog (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (cdc2-related kinase 2)
B8BX31	GDCP THAPSDRAFT_39799	IPR018247;IPR003437;IPR049316;IPR049315;IPR020581;IPR015424;IPR015421;IPR015422;	PF21478;PF02347;	Glycine cleavage system P protein (EC 1.4.4.2)
B8BXD5	THAPSDRAFT_21682	IPR011545;IPR014001;IPR027417;IPR003034;IPR036361;	PF00270;PF02037;	ATP-dependent RNA helicase (EC 3.6.4.13)
B8BXF4	THAPSDRAFT_39841	IPR025723;IPR016300;IPR027542;IPR027417;	PF02374;	ATPase ASNA1 homolog (EC 3.6.-.-) (Arsenical pump-driving ATPase homolog) (Arsenite-stimulated ATPase)
B8BXK1	THAPSDRAFT_21712	IPR007241;	PF04109;	Autophagy-related protein 9
B8BXQ5	THAPSDRAFT_14527	IPR020846;IPR005828;IPR050820;IPR036259;IPR003663;IPR005829;	PF00083;	Hexose transporter 1
B8BXT2	THAPSDRAFT_3439	IPR044917;	PF03121;	DNA-directed primase/polymerase protein (EC 2.7.7.102)
B8BXU0	THAPSDRAFT_268472	IPR045263;IPR020846;IPR005828;IPR036259;IPR003663;IPR005829;	PF00083;	Hexose transporter 1
B8BXV8	THAPSDRAFT_27451	IPR003593;IPR027417;IPR027238;IPR041048;IPR042487;IPR010339;	PF06068;PF17856;	RuvB-like helicase (EC 3.6.4.12)
B8BXW2	PGK1 THAPSDRAFT_39901	IPR001576;IPR015824;IPR036043;	PF00162;	Phosphoglycerate kinase (EC 2.7.2.3)
B8BXZ1	THAPSDRAFT_16656	IPR004843;IPR029052;IPR041869;	PF00149;	Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase (EC 3.6.1.13) (EC 3.6.1.16) (EC 3.6.1.53) (ADPRibase-Mn) (CDP-choline phosphohydrolase)
B8BY03	TopoII_1 THAPSDRAFT_39924	IPR002288;IPR036890;IPR003594;IPR020568;IPR014721;IPR001241;IPR013760;IPR000565;IPR013759;IPR013506;IPR018522;IPR006171;	PF00204;PF00986;PF02518;PF01751;	DNA topoisomerase 2 (EC 5.6.2.2)
B8BY12	THAPSDRAFT_270391	IPR044015;IPR000146;IPR033391;IPR023079;	PF00316;PF18913;	Sedoheptulose-1,7-bisphosphatase, chloroplastic (EC 3.1.3.37) (SED(1,7)P2ase) (Sedoheptulose bisphosphatase)
B8BY56	AMS2 THAPSDRAFT_39946	IPR022630;IPR022629;IPR022628;IPR002133;IPR022636;	PF02773;PF02772;PF00438;	S-adenosylmethionine synthase (EC 2.5.1.6)
B8BYC4	THAPSDRAFT_261857	IPR012259;IPR024072;IPR017925;IPR001796;	PF00186;	Bifunctional dihydrofolate reductase-thymidylate synthase (EC 1.5.1.3) (EC 2.1.1.45)
B8BYC9	ASDH THAPSDRAFT_32577	IPR005986;IPR036291;IPR000534;IPR012280;	PF01118;PF02774;	aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
B8BYH3	THAPSDRAFT_40001	IPR006297;IPR035647;IPR000640;IPR004161;IPR031157;IPR038363;IPR013842;IPR035654;IPR027417;IPR005225;IPR000795;IPR009000;	PF00679;PF00009;PF03144;PF06421;	Translation factor GUF1 homolog, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)
B8BYI4	SDH1 THAPSDRAFT_32945	IPR036010;IPR001041;IPR006058;IPR017896;IPR017900;IPR012675;IPR009051;IPR050573;IPR004489;IPR025192;	PF13085;PF13534;	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1)
B8BYJ8	THAPSDRAFT_32766	IPR020618;IPR027417;	PF13238;	Adenylate kinase isoenzyme 6 homolog (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase)
B8BYT9	MAP1 THAPSDRAFT_40044	IPR036005;IPR000994;IPR001714;IPR002467;IPR031615;	PF00557;PF15801;	Methionine aminopeptidase (EC 3.4.11.18)
B8BYU6	THAPSDRAFT_261908	IPR005801;IPR019999;IPR006805;IPR015890;IPR029062;IPR017926;IPR006221;	PF04715;PF00425;PF00117;	aminodeoxychorismate synthase (EC 2.6.1.85) (Para-aminobenzoate synthase) (p-aminobenzoic acid synthase)
B8BZ23	THAPSDRAFT_33895	IPR025650;IPR004113;IPR016166;IPR036318;IPR016167;IPR016169;IPR016164;IPR006094;IPR016171;	PF02913;PF01565;	Alkylglycerone-phosphate synthase (Alkyl-DHAP synthase) (EC 2.5.1.26)
B8BZ41	PFK2 THAPSDRAFT_22213	IPR022953;IPR050929;IPR000023;IPR035966;IPR011405;	PF00365;	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent) (PPi-dependent phosphofructokinase) (PPi-PFK) (Pyrophosphate-dependent 6-phosphofructose-1-kinase)
B8BZC2	THAPSDRAFT_268688	IPR013785;IPR000644;IPR046342;IPR005990;IPR015875;IPR001093;	PF00571;PF00478;	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
B8BZG0	THAPSDRAFT_40323	IPR011761;IPR013815;IPR036897;IPR006274;IPR002474;IPR036480;IPR029062;IPR005479;IPR005483;IPR035686;IPR006275;IPR005480;IPR058047;IPR017926;IPR011607;IPR036914;IPR016185;	PF25596;PF02786;PF02787;PF00988;PF00117;PF02142;	Carbamoyl phosphate synthase arginine-specific large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthase pyrimidine-specific large chain)
B8BZH6	PGD1 THAPSDRAFT_33343	IPR008927;IPR013328;IPR006114;IPR006113;IPR006115;IPR036291;IPR006183;	PF00393;PF03446;	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)
B8BZI6	THAPSDRAFT_270364	IPR050071;IPR016037;IPR030960;IPR056179;	PF01761;PF24621;	3-dehydroquinate synthase, chloroplastic (EC 4.2.3.4)
B8BZI8	THAPSDRAFT_270365	IPR005117;IPR036136;IPR006067;IPR045169;IPR045854;IPR006066;IPR011787;	PF01077;PF03460;	assimilatory sulfite reductase (ferredoxin) (EC 1.8.7.1)
B8BZK1	PMM1 THAPSDRAFT_22301	IPR036412;IPR006379;IPR023214;IPR005002;IPR043169;	PF03332;	Phosphomannomutase (EC 5.4.2.8)
B8BZT6	PYK1 THAPSDRAFT_40393	IPR001697;IPR015813;IPR040442;IPR011037;IPR015793;IPR015795;IPR036918;IPR015806;	PF00224;PF02887;	Pyruvate kinase (EC 2.7.1.40)
B8BZU4	ECR1 THAPSDRAFT_262229	IPR036291;IPR052388;IPR002347;	PF13561;	Peroxisomal trans-2-enoyl-CoA reductase (EC 1.3.1.38)
B8BZX8	THAPSDRAFT_22368	IPR019591;IPR028601;IPR027417;IPR033756;	PF10609;	Cytosolic Fe-S cluster assembly factor NUBP1 homolog
B8C011	DAD1 THAPSDRAFT_27997	IPR050165;IPR042096;IPR004404;IPR020558;IPR056740;IPR000581;IPR037237;	PF24877;PF00920;	dihydroxy-acid dehydratase (EC 4.2.1.9)
B8C013	SCS2 THAPSDRAFT_411	IPR017440;IPR033847;IPR003781;IPR005810;IPR036291;IPR005811;IPR016102;	PF02629;PF00549;	Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)
B8C043	THAPSDRAFT_4726	IPR026849;	PF13329;	Autophagy-related protein 2
B8C065	THAPSDRAFT_40445	IPR035699;IPR035706;IPR041658;IPR042219;IPR026983;IPR041589;IPR042222;IPR043157;IPR041466;IPR041228;IPR043160;IPR024743;IPR024317;IPR004273;IPR013602;IPR013594;IPR042228;IPR027417;	PF12774;PF12775;PF12780;PF12781;PF17857;PF18198;PF08385;PF08393;PF17852;PF18199;PF03028;PF12777;	Dynein-1, subspecies f
B8C0H5	THAPSDRAFT_22465	IPR002113;IPR002067;IPR023395;IPR018108;	PF00153;	ADP/ATP translocase (ADP,ATP carrier protein)
B8C0Z9	COP3 THAPSDRAFT_22092	IPR006692;IPR050844;IPR056176;IPR015943;IPR020472;IPR036322;IPR001680;	PF04053;PF23953;PF00400;	Beta'-coat protein
B8C1A1	THAPSDRAFT_33330	IPR039528;IPR001173;IPR029044;	PF00535;	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83)
B8C1A2	THAPSDRAFT_26190	IPR015424;IPR015421;IPR015422;IPR001085;IPR049943;IPR019798;IPR039429;IPR001680;	PF00464;	Serine hydroxymethyltransferase (EC 2.1.2.1)
B8C1J0	THAPSDRAFT_33859	IPR007886;IPR007698;IPR029035;IPR036291;IPR026255;IPR024605;IPR034300;	PF01262;PF05222;PF02233;PF12769;	NAD(P) transhydrogenase, mitochondrial (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase)
B8C1Q8	THAPSDRAFT_5018	IPR011009;IPR003527;IPR050117;IPR000719;IPR017441;IPR008271;	PF00069;	Mitogen-activated protein kinase (EC 2.7.11.24)
B8C1R2	THAPSDRAFT_17008	IPR004649;IPR001352;IPR024567;IPR023160;IPR012337;IPR036397;	PF01351;	Ribonuclease (EC 3.1.26.4)
B8C1Y7	ECI1 THAPSDRAFT_268835	IPR029045;IPR018376;IPR001753;	PF00378;	Enoyl-CoA delta isomerase 1, mitochondrial (3,2-trans-enoyl-CoA isomerase)
B8C1Z1	THAPSDRAFT_5101	IPR029063;IPR004033;IPR023576;	PF01209;	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial (EC 2.1.1.201) (Ubiquinone biosynthesis methyltransferase COQ5)
B8C202	THAPSDRAFT_22589	IPR015720;IPR009038;IPR029055;IPR000426;IPR001353;	PF01105;PF00227;PF10584;	Proteasome alpha-type subunits domain-containing protein
B8C247	gapC3 THAPSDRAFT_28241	IPR020831;IPR020830;IPR020829;IPR020828;IPR006424;IPR036291;	PF02800;PF00044;	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)
B8C2D9	ERCC2 THAPSDRAFT_268868	IPR006555;IPR045028;IPR002464;IPR010643;IPR014013;IPR006554;IPR027417;IPR010614;IPR013020;IPR001945;	PF06733;PF06777;PF13307;	DNA 5'-3' helicase (EC 5.6.2.3)
B8C2I2	THAPSDRAFT_268875	IPR019818;IPR024084;IPR004429;	PF00180;	3-isopropylmalate dehydrogenase (EC 1.1.1.85)
B8C2X2	MCM7 THAPSDRAFT_262526	IPR031327;IPR008050;IPR018525;IPR001208;IPR041562;IPR033762;IPR012340;IPR027417;	PF00493;PF17855;PF17207;PF24901;	DNA replication licensing factor MCM7 (EC 3.6.4.12)
B8C2Z6	SELB THAPSDRAFT_262537	IPR049394;IPR049393;IPR050055;IPR027417;IPR000795;IPR009000;	PF21131;PF21208;PF00009;	Elongation factor Tu, chloroplastic (Elongation factor sec) (Eukaryotic elongation factor, selenocysteine-tRNA-specific) (Selenocysteine-specific elongation factor)
B8C303	GAPD4 THAPSDRAFT_28334	IPR020831;IPR020830;IPR020829;IPR020828;IPR006424;IPR036291;	PF02800;PF00044;	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)
B8C333	THAPSDRAFT_14147	IPR045865;IPR044561;IPR050147;IPR001926;IPR036052;	PF00291;	Serine racemase (EC 5.1.1.18) (D-serine ammonia-lyase) (D-serine dehydratase) (L-serine ammonia-lyase) (L-serine dehydratase)
B8C339	THAPSDRAFT_262555	IPR015424;IPR015421;IPR019872;IPR008829;	PF05889;	O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Selenocysteine synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase)
B8C340	THAPSDRAFT_22780	IPR036425;IPR001453;IPR038987;IPR005111;IPR036688;IPR005110;IPR036135;	PF00994;PF03454;PF03453;	molybdopterin adenylyltransferase (EC 2.7.7.75)
B8C356	ALATS2 THAPSDRAFT_40774	IPR045864;IPR002318;IPR018162;IPR018165;IPR018164;IPR050058;IPR059090;IPR023033;IPR003156;IPR018163;IPR009000;IPR012947;	PF26023;PF02272;PF01411;PF07973;	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)
