protein_id	gene_id	sel_ml	neu_ml	lrt	pvalue	nom_sig	bonf_sig	qvalue	fdr_sig	orphan	pfam_status	pfam_domains
5725	fgenesh1_pg.C_chr_5000767	-3595.1372	-3625.388841	60.503282	7.35e-15	1	1	1.42e-13	1	Y	dark	
10164	fgenesh1_pg.C_chr_15000154	-27918.26101	-27948.49763	60.473244	7.46e-15	1	1	1.42e-13	1	N	dark	
9959	fgenesh1_pg.C_chr_14000304	-4400.470885	-4430.217703	59.493636	1.23e-14	1	1	2.3e-13	1	Y	dark	
3601	fgenesh1_pg.C_chr_3000535	-1926.743695	-1956.380181	59.272972	1.37e-14	1	1	2.48e-13	1	N	white	PF00520;
4765	fgenesh1_pg.C_chr_4000715	-3529.220874	-3558.859156	59.276564	1.37e-14	1	1	2.48e-13	1	N	white	PF15519;PF00076;
8813	fgenesh1_pg.C_chr_11a000199	-9888.489686	-9917.965646	58.95192	1.62e-14	1	1	2.89e-13	1	N	dark	
6536	fgenesh1_pg.C_chr_6000691	-3406.588674	-3435.864546	58.551744	1.98e-14	1	1	3.48e-13	1	N	dark	
24218	estExt_fgenesh1_pg.C_chr_100262	-2473.047202	-2502.241709	58.389014	2.15e-14	1	1	3.72e-13	1	N	dark	
10106	fgenesh1_pg.C_chr_15000096	-4004.50514	-4033.604715	58.19915	2.37e-14	1	1	4.04e-13	1	Y	dark	
21698	estExt_fgenesh1_pg.C_chr_30267	-3454.808834	-3483.790113	57.962558	2.67e-14	1	1	4.45e-13	1	N	dark	
22807	estExt_fgenesh1_pg.C_chr_50598	-5022.735297	-5051.708743	57.946892	2.69e-14	1	1	4.45e-13	1	N	white	PF02390;
11627	fgenesh1_pg.C_chr_20000223	-1809.694906	-1838.527568	57.665324	3.11e-14	1	1	5.08e-13	1	Y	dark	
25750	estExt_fgenesh1_pg.C_chr_220190	-5938.350429	-5966.962027	57.223196	3.89e-14	1	1	6.26e-13	1	Y	dark	
24120	estExt_fgenesh1_pg.C_chr_100061	-3491.092422	-3519.665698	57.146552	4.05e-14	1	1	6.42e-13	1	N	dark	
8450	fgenesh1_pg.C_chr_10000220	-2488.854916	-2517.413965	57.118098	4.1e-14	1	1	6.42e-13	1	N	white	PF00226;
3708	fgenesh1_pg.C_chr_3000642	-2608.203845	-2636.679154	56.950618	4.47e-14	1	1	6.9e-13	1	N	dark	
22451	estExt_fgenesh1_pg.C_chr_40784	-2948.634118	-2976.948318	56.6284	5.26e-14	1	1	8.01e-13	1	Y	dark	
21720	estExt_fgenesh1_pg.C_chr_30302	-3091.232327	-3119.516536	56.568418	5.43e-14	1	1	8.16e-13	1	N	white	PF00569;
25671	estExt_fgenesh1_pg.C_chr_200215	-3413.464811	-3441.301279	55.672936	8.56e-14	1	1	1.27e-12	1	N	dark	
11548	fgenesh1_pg.C_chr_20000144	-4285.297812	-4312.970482	55.34534	1.01e-13	1	1	1.48e-12	1	N	dark	
21958	estExt_fgenesh1_pg.C_chr_30775	-4273.315907	-4300.879543	55.127272	1.13e-13	1	1	1.63e-12	1	Y	dark	
22568	estExt_fgenesh1_pg.C_chr_50109	-7651.971941	-7679.521968	55.100054	1.15e-13	1	1	1.64e-12	1	N	dark	
21173	estExt_fgenesh1_pg.C_chr_20171	-4973.926415	-5001.223397	54.593964	1.48e-13	1	1	2.09e-12	1	N	white	PF13812;
20990	estExt_fgenesh1_pg.C_chr_10913	-7204.178106	-7231.46114	54.566068	1.5e-13	1	1	2.09e-12	1	N	white	PF01699;
6721	fgenesh1_pg.C_chr_7000104	-4439.711961	-4466.842965	54.262008	1.75e-13	1	1	2.41e-12	1	Y	dark	
269798	estExt_thaps1_ua_kg.C_chr_140130	-3103.927594	-3130.940314	54.02544	1.98e-13	1	1	2.69e-12	1	N	white	PF13508;
24401	estExt_fgenesh1_pg.C_chr_11b0017	-5069.115569	-5096.07912	53.927102	2.08e-13	1	1	2.8e-12	1	N	dark	
24073	estExt_fgenesh1_pg.C_chr_90361	-8599.633359	-8626.558956	53.851194	2.16e-13	1	1	2.87e-12	1	N	white	PF00439;
4019	fgenesh1_pg.C_chr_3000953	-2573.495006	-2600.380699	53.771386	2.25e-13	1	1	2.95e-12	1	Y	dark	
21326	estExt_fgenesh1_pg.C_chr_20502	-4414.818932	-4441.645096	53.652328	2.39e-13	1	1	3.1e-12	1	N	white	PF03959;PF01926;PF05773;
1255	fgenesh1_pg.C_chr_1000389	-4012.609523	-4039.264446	53.309846	2.85e-13	1	1	3.66e-12	1	N	white	PF04097;
11941	fgenesh1_pg.C_chr_22000286	-4707.115831	-4733.749952	53.268242	2.91e-13	1	1	3.69e-12	1	Y	dark	
25049	estExt_fgenesh1_pg.C_chr_150233	-3361.386723	-3388.000592	53.227738	2.97e-13	1	1	3.73e-12	1	Y	dark	
5479	fgenesh1_pg.C_chr_5000521	-1929.923081	-1956.455326	53.06449	3.23e-13	1	1	4.01e-12	1	Y	dark	
25223	estExt_fgenesh1_pg.C_chr_170050	-6404.531487	-6430.899467	52.73596	3.82e-13	1	1	4.65e-12	1	N	white	PF00439;PF00271;PF00176;
8711	fgenesh1_pg.C_chr_11a000097	-3473.335493	-3499.69983	52.728674	3.83e-13	1	1	4.65e-12	1	Y	dark	
22002	estExt_fgenesh1_pg.C_chr_30870	-4838.884579	-4865.214173	52.659188	3.97e-13	1	1	4.77e-12	1	N	dark	
7025	fgenesh1_pg.C_chr_7000408	-1935.967511	-1962.278768	52.622514	4.04e-13	1	1	4.81e-12	1	N	white	PF00710;PF13921;
22940	estExt_fgenesh1_pg.C_chr_50867	-5678.273283	-5704.559931	52.573296	4.14e-13	1	1	4.88e-12	1	N	dark	
25168	estExt_fgenesh1_pg.C_chr_16a0161	-10145.29654	-10171.54413	52.49517	4.31e-13	1	1	5.02e-12	1	Y	dark	
9998	fgenesh1_pg.C_chr_14000343	-898.408859	-924.647603	52.477488	4.35e-13	1	1	5.02e-12	1	N	white	PF02214;
12153	fgenesh1_pg.C_chr_24000029	-4205.504876	-4231.660335	52.310918	4.74e-13	1	1	5.41e-12	1	N	white	PF00397;
24937	estExt_fgenesh1_pg.C_chr_140329	-7529.948592	-7556.072793	52.248402	4.89e-13	1	1	5.53e-12	1	N	white	PF21743;
24372	estExt_fgenesh1_pg.C_chr_11a0218	-6130.73826	-6156.828229	52.179938	5.06e-13	1	1	5.67e-12	1	N	white	PF04403;
21886	estExt_fgenesh1_pg.C_chr_30645	-3552.272581	-3578.33005	52.114938	5.23e-13	1	1	5.8e-12	1	Y	dark	
24464	estExt_fgenesh1_pg.C_chr_120130	-3322.479512	-3348.49202	52.025016	5.48e-13	1	1	6.02e-12	1	Y	dark	
269264	estExt_thaps1_ua_kg.C_chr_70178	-4118.649204	-4144.625514	51.95262	5.69e-13	1	1	6.14e-12	1	N	white	PF01607;
22728	estExt_fgenesh1_pg.C_chr_50456	-8062.867709	-8088.841377	51.947336	5.7e-13	1	1	6.14e-12	1	N	dark	
24482	estExt_fgenesh1_pg.C_chr_120158	-3463.371951	-3489.325818	51.907734	5.82e-13	1	1	6.21e-12	1	Y	dark	
24115	estExt_fgenesh1_pg.C_chr_100047	-2054.316583	-2080.16028	51.687394	6.51e-13	1	1	6.89e-12	1	Y	white	PF00646;
23831	estExt_fgenesh1_pg.C_chr_80387	-2477.334621	-2502.892263	51.115284	8.71e-13	1	1	9.13e-12	1	N	white	PF00856;
25438	estExt_fgenesh1_pg.C_chr_180289	-3714.470233	-3739.912299	50.884132	9.8e-13	1	1	1.02e-11	1	N	white	PF00172;
23975	estExt_fgenesh1_pg.C_chr_90176	-3900.893382	-3926.31619	50.845616	9.99e-13	1	1	1.02e-11	1	N	dark	
23513	estExt_fgenesh1_pg.C_chr_70460	-5818.420247	-5843.837724	50.834954	1e-12	1	1	1.02e-11	1	N	white	PF21238;
6715	fgenesh1_pg.C_chr_7000098	-9159.26479	-9184.627035	50.72449	1.06e-12	1	1	1.07e-11	1	N	white	PF07394;PF08811;
24835	estExt_fgenesh1_pg.C_chr_140156	-4501.386454	-4526.696311	50.619714	1.12e-12	1	1	1.12e-11	1	N	white	PF21289;
25640	estExt_fgenesh1_pg.C_chr_200147	-6092.035004	-6116.843798	49.617588	1.87e-12	1	1	1.86e-11	1	N	dark	
11639	fgenesh1_pg.C_chr_20000235	-1793.905471	-1818.689532	49.568122	1.92e-12	1	1	1.89e-11	1	N	dark	
20975	estExt_fgenesh1_pg.C_chr_10871	-4035.065666	-4059.796321	49.46131	2.02e-12	1	1	1.95e-11	1	N	dark	
24829	estExt_fgenesh1_pg.C_chr_140147	-4619.00603	-4643.73852	49.46498	2.02e-12	1	1	1.95e-11	1	N	white	PF04564;
5393	fgenesh1_pg.C_chr_5000435	-3354.537216	-3379.26498	49.455528	2.03e-12	1	1	1.95e-11	1	N	white	PF24573;PF25757;
10222	fgenesh1_pg.C_chr_15000212	-2239.12368	-2263.646176	49.044992	2.5e-12	1	1	2.38e-11	1	N	white	PF16016;
23677	estExt_fgenesh1_pg.C_chr_80074	-2623.444728	-2647.884289	48.879122	2.72e-12	1	1	2.57e-11	1	Y	dark	
20864	estExt_fgenesh1_pg.C_chr_10648	-5687.052016	-5711.469762	48.835492	2.78e-12	1	1	2.6e-11	1	N	dark	
22075	estExt_fgenesh1_pg.C_chr_40038	-6205.545181	-6229.881437	48.672512	3.02e-12	1	1	2.8e-11	1	N	dark	
5496	fgenesh1_pg.C_chr_5000538	-2096.532334	-2120.725929	48.38719	3.5e-12	1	1	3.22e-11	1	Y	dark	
10615	fgenesh1_pg.C_chr_17000078	-3458.121842	-3482.274601	48.305518	3.65e-12	1	1	3.34e-11	1	N	white	PF12796;PF01612;
25015	estExt_fgenesh1_pg.C_chr_150166	-3777.1145	-3801.228017	48.227034	3.8e-12	1	1	3.45e-11	1	N	white	PF05686;PF13639;
8429	fgenesh1_pg.C_chr_10000199	-3435.504462	-3459.505742	48.00256	4.26e-12	1	1	3.83e-11	1	N	white	PF01370;PF00153;
22372	estExt_fgenesh1_pg.C_chr_40618	-1528.770494	-1552.723517	47.906046	4.47e-12	1	1	3.99e-11	1	N	white	PF09011;
24827	estExt_fgenesh1_pg.C_chr_140145	-9307.971541	-9331.656925	47.370768	5.88e-12	1	1	5.21e-11	1	N	white	PF00211;PF00233;
25272	estExt_fgenesh1_pg.C_chr_170133	-3076.119421	-3099.742786	47.24673	6.26e-12	1	1	5.5e-11	1	N	white	PF10186;
8015	fgenesh1_pg.C_chr_9000183	-952.658189	-976.163522	47.010666	7.06e-12	1	1	6.16e-11	1	N	white	PF10252;PF02037;
24437	estExt_fgenesh1_pg.C_chr_120064	-2712.752289	-2736.067795	46.631012	8.57e-12	1	1	7.42e-11	1	Y	dark	
24322	estExt_fgenesh1_pg.C_chr_11a0107	-5120.264639	-5143.572309	46.61534	8.64e-12	1	1	7.42e-11	1	N	dark	
20869	estExt_fgenesh1_pg.C_chr_10654	-5013.897447	-5037.101767	46.40864	9.6e-12	1	1	8.18e-11	1	N	dark	
10252	fgenesh1_pg.C_chr_15000242	-1540.910215	-1563.968981	46.117532	1.11e-11	1	1	9.39e-11	1	Y	dark	
4288	fgenesh1_pg.C_chr_4000238	-8796.11766	-8819.05581	45.8763	1.26e-11	1	1	1.06e-10	1	N	white	PF01612;PF14655;
6942	fgenesh1_pg.C_chr_7000325	-3298.570016	-3321.411854	45.683676	1.39e-11	1	1	1.16e-10	1	N	white	PF01937;
4261	fgenesh1_pg.C_chr_4000211	-5958.43101	-5981.24749	45.63296	1.43e-11	1	1	1.18e-10	1	N	dark	
22644	estExt_fgenesh1_pg.C_chr_50263	-1832.297904	-1855.023831	45.451854	1.56e-11	1	1	1.28e-10	1	Y	dark	
9525	fgenesh1_pg.C_chr_13000245	-5192.197253	-5214.839478	45.28445	1.7e-11	1	1	1.39e-10	1	N	dark	
931	fgenesh1_pg.C_chr_1000065	-3351.337263	-3373.94811	45.221694	1.76e-11	1	1	1.43e-10	1	N	white	PF14312;
261293	thaps1_ua_kg.chr_2000117	-2794.338906	-2816.809921	44.94203	2.03e-11	1	1	1.63e-10	1	N	dark	
5698	fgenesh1_pg.C_chr_5000740	-4079.006221	-4101.282932	44.553422	2.48e-11	1	1	1.98e-10	1	N	dark	
23277	estExt_fgenesh1_pg.C_chr_60650	-3608.161374	-3630.409634	44.49652	2.55e-11	1	1	2.02e-10	1	N	white	PF03372;
10085	fgenesh1_pg.C_chr_15000075	-9633.551729	-9655.737567	44.371676	2.72e-11	1	1	2.14e-10	1	Y	dark	
10425	fgenesh1_pg.C_chr_16a000106	-1727.482334	-1749.645233	44.325798	2.78e-11	1	1	2.18e-10	1	N	dark	
8480	fgenesh1_pg.C_chr_10000250	-4094.671613	-4116.829325	44.315424	2.8e-11	1	1	2.18e-10	1	N	dark	
3321	fgenesh1_pg.C_chr_3000255	-3422.410609	-3444.515955	44.210692	2.95e-11	1	1	2.28e-10	1	N	dark	
23582	estExt_fgenesh1_pg.C_chr_70593	-9835.674612	-9857.718422	44.08762	3.14e-11	1	1	2.41e-10	1	N	dark	
22425	estExt_fgenesh1_pg.C_chr_40737	-6592.771992	-6614.80966	44.075336	3.16e-11	1	1	2.41e-10	1	N	white	PF13640;
8584	fgenesh1_pg.C_chr_10000354	-10123.22656	-10145.24972	44.046324	3.21e-11	1	1	2.43e-10	1	N	white	PF08242;PF08628;PF00787;PF02194;
22971	estExt_fgenesh1_pg.C_chr_60074	-4433.498475	-4455.515528	44.034106	3.23e-11	1	1	2.43e-10	1	N	dark	
6843	fgenesh1_pg.C_chr_7000226	-3958.377184	-3980.36079	43.967212	3.34e-11	1	1	2.49e-10	1	Y	dark	
2735	fgenesh1_pg.C_chr_2000690	-2163.766956	-2185.679681	43.82545	3.59e-11	1	1	2.66e-10	1	Y	dark	
9141	fgenesh1_pg.C_chr_12000222	-4096.450556	-4118.221048	43.540984	4.15e-11	1	1	3.06e-10	1	Y	dark	
9947	fgenesh1_pg.C_chr_14000292	-2035.096747	-2056.790284	43.387074	4.49e-11	1	1	3.29e-10	1	N	white	PF00560;
20776	estExt_fgenesh1_pg.C_chr_10461	-3513.565781	-3535.251079	43.370596	4.53e-11	1	1	3.3e-10	1	N	dark	
2737	fgenesh1_pg.C_chr_2000692	-3492.750756	-3514.404344	43.307176	4.68e-11	1	1	3.38e-10	1	N	white	PF01266;
23199	estExt_fgenesh1_pg.C_chr_60498	-6854.837772	-6876.449353	43.223162	4.88e-11	1	1	3.49e-10	1	N	white	PF00400;
21415	estExt_fgenesh1_pg.C_chr_20676	-2629.239393	-2650.849959	43.221132	4.89e-11	1	1	3.49e-10	1	Y	dark	
21307	estExt_fgenesh1_pg.C_chr_20458	-3250.622427	-3272.215774	43.186694	4.98e-11	1	1	3.53e-10	1	Y	dark	
22319	estExt_fgenesh1_pg.C_chr_40527	-3510.606598	-3532.188869	43.164542	5.03e-11	1	1	3.55e-10	1	N	white	PF09070;PF08324;PF00400;
8511	fgenesh1_pg.C_chr_10000281	-1412.533215	-1434.104345	43.14226	5.09e-11	1	1	3.57e-10	1	Y	white	PF03567;
3286	fgenesh1_pg.C_chr_3000220	-4973.666426	-4995.230572	43.128292	5.13e-11	1	1	3.57e-10	1	N	white	PF13704;
22624	estExt_fgenesh1_pg.C_chr_50214	-6270.436823	-6291.894378	42.91511	5.72e-11	1	1	3.96e-10	1	Y	dark	
22533	estExt_fgenesh1_pg.C_chr_50041	-7823.98927	-7845.425435	42.87233	5.84e-11	1	1	4.02e-10	1	N	dark	
25041	estExt_fgenesh1_pg.C_chr_150215	-7003.847376	-7025.217801	42.74085	6.25e-11	1	1	4.28e-10	1	N	white	PF13424;
7554	fgenesh1_pg.C_chr_8000215	-2201.533078	-2222.894909	42.723662	6.3e-11	1	1	4.28e-10	1	Y	dark	
10671	fgenesh1_pg.C_chr_17000134	-2792.478695	-2813.819108	42.680826	6.44e-11	1	1	4.35e-10	1	Y	dark	
24880	estExt_fgenesh1_pg.C_chr_140234	-2621.715358	-2643.052001	42.673286	6.47e-11	1	1	4.35e-10	1	Y	dark	
24935	estExt_fgenesh1_pg.C_chr_140327	-4367.565637	-4388.738167	42.34506	7.65e-11	1	1	5.11e-10	1	N	dark	
24497	estExt_fgenesh1_pg.C_chr_120185	-4038.517486	-4059.672099	42.309226	7.79e-11	1	1	5.17e-10	1	N	dark	
20796	estExt_fgenesh1_pg.C_chr_10494	-5905.416827	-5926.518007	42.20236	8.23e-11	1	1	5.43e-10	1	N	white	PF08033;PF04815;
21752	estExt_fgenesh1_pg.C_chr_30371	-3068.460797	-3089.520563	42.119532	8.59e-11	1	1	5.64e-10	1	N	white	PF20710;
23688	estExt_fgenesh1_pg.C_chr_80093	-2885.552506	-2906.557459	42.009906	9.08e-11	1	1	5.92e-10	1	Y	dark	
8909	fgenesh1_pg.C_chr_11b000018	-3411.918703	-3432.919423	42.00144	9.12e-11	1	1	5.92e-10	1	N	dark	
21085	estExt_fgenesh1_pg.C_chr_11144	-5516.467393	-5537.443204	41.951622	9.36e-11	1	1	6.04e-10	1	N	white	PF24517;
2653	fgenesh1_pg.C_chr_2000608	-8333.35808	-8354.287323	41.858486	9.81e-11	1	1	6.3e-10	1	N	white	PF00307;PF00612;
22659	estExt_fgenesh1_pg.C_chr_50296	-3600.626506	-3621.468894	41.684776	1.07e-10	1	1	6.83e-10	1	Y	dark	
9922	fgenesh1_pg.C_chr_14000267	-3415.907461	-3436.741082	41.667242	1.08e-10	1	1	6.85e-10	1	N	white	PF04577;
21586	estExt_fgenesh1_pg.C_chr_30013	-5190.839091	-5211.635515	41.592848	1.12e-10	1	1	7.07e-10	1	N	dark	
25613	estExt_fgenesh1_pg.C_chr_200092	-19005.43177	-19026.16702	41.470508	1.2e-10	1	1	7.53e-10	1	N	white	PF02259;PF00454;PF20175;PF20206;
1204	fgenesh1_pg.C_chr_1000338	-2219.957799	-2240.656639	41.39768	1.24e-10	1	1	7.74e-10	1	Y	dark	
9425	fgenesh1_pg.C_chr_13000145	-3696.233545	-3716.829072	41.191054	1.38e-10	1	1	8.57e-10	1	N	white	PF13424;
25480	estExt_fgenesh1_pg.C_chr_19a_190134	-7563.140674	-7583.615128	40.948908	1.56e-10	1	1	9.63e-10	1	N	dark	
8292	fgenesh1_pg.C_chr_10000062	-2469.659825	-2489.954985	40.59032	1.88e-10	1	1	1.15e-09	1	N	dark	
22095	estExt_fgenesh1_pg.C_chr_40078	-5508.716212	-5528.965935	40.499446	1.97e-10	1	1	1.2e-09	1	N	white	PF05277;
24900	estExt_fgenesh1_pg.C_chr_140272	-2672.427288	-2692.658025	40.461474	2.01e-10	1	1	1.22e-09	1	N	dark	
9367	fgenesh1_pg.C_chr_13000087	-4708.702905	-4728.904815	40.40382	2.07e-10	1	1	1.24e-09	1	N	dark	
22204	estExt_fgenesh1_pg.C_chr_40313	-4475.920835	-4496.118564	40.395458	2.07e-10	1	1	1.24e-09	1	N	dark	
269735	estExt_thaps1_ua_kg.C_chr_140032	-3773.651014	-3793.800593	40.299158	2.18e-10	1	1	1.3e-09	1	N	white	PF25764;PF02037;
21318	estExt_fgenesh1_pg.C_chr_20483	-2429.285968	-2449.234641	39.897346	2.68e-10	1	1	1.59e-09	1	Y	dark	
