gene_id	protein_id
Sro106_g053630	CAB9501362.1
Sro106_g053640	CAB9501363.1
Sro106_g053650	CAB9501364.1
Sro106_g053660	CAB9501365.1
Sro106_g053670	CAB9501366.1
Sro106_g236591	CAB9501339.1
Sro107_g053680	CAB9501367.1
Sro107_g053690	CAB9501368.1
Sro107_g053700	CAB9501369.1
Sro107_g053710	CAB9501370.1
Sro107_g053720	CAB9501371.1
Sro107_g053730	CAB9501372.1
Sro107_g053740	CAB9501373.1
Sro107_g053750	CAB9501374.1
Sro107_g053760	CAB9501375.1
Sro107_g053770	CAB9501376.1
Sro107_g053780	CAB9501377.1
Sro107_g053790	CAB9501378.1
Sro107_g053800	CAB9501379.1
Sro107_g053810	CAB9501380.1
Sro107_g053820	CAB9501381.1
Sro107_g053830	CAB9501382.1
Sro107_g053840	CAB9501383.1
Sro107_g053850	CAB9501384.1
Sro107_g053860	CAB9501385.1
Sro107_g053870	CAB9501386.1
Sro107_g053880	CAB9501387.1
Sro107_g053890	CAB9501388.1
Sro107_g053900	CAB9501389.1
Sro107_g053910	CAB9501390.1
Sro107_g053920	CAB9501391.1
Sro107_g053930	CAB9501392.1
Sro107_g053940	CAB9501393.1
Sro107_g053950	CAB9501394.1
Sro107_g053960	CAB9501395.1
Sro107_g053970	CAB9501396.1
Sro107_g053980	CAB9501397.1
Sro107_g053990	CAB9501398.1
Sro107_g054000	CAB9501399.1
Sro107_g054010	CAB9501400.1
Sro107_g054020	CAB9501401.1
Sro107_g054030	CAB9501402.1
Sro107_g054040	CAB9501403.1
Sro107_g054050	CAB9501404.1
Sro108_g054060	CAB9501405.1
Sro108_g054070	CAB9501406.1
Sro108_g054071	CAB9501407.1
Sro108_g054080	CAB9501408.1
Sro108_g054090	CAB9501409.1
Sro108_g054100	CAB9501410.1
Sro108_g054110	CAB9501411.1
Sro108_g054120	CAB9501412.1
Sro108_g054130	CAB9501413.1
Sro108_g054140	CAB9501414.1
Sro108_g054150	CAB9501415.1
Sro108_g054160	CAB9501416.1
Sro108_g054170	CAB9501417.1
Sro108_g054180	CAB9501418.1
Sro108_g054190	CAB9501419.1
Sro108_g054200	CAB9501420.1
Sro108_g054210	CAB9501421.1
Sro108_g054220	CAB9501422.1
Sro108_g054230	CAB9501423.1
Sro108_g054240	CAB9501424.1
Sro108_g054250	CAB9501425.1
Sro108_g054260	CAB9501426.1
Sro108_g054270	CAB9501427.1
Sro108_g054280	CAB9501428.1
Sro108_g054290	CAB9501429.1
Sro108_g054300	CAB9501430.1
Sro108_g054310	CAB9501431.1
Sro108_g054320	CAB9501432.1
Sro108_g054330	CAB9501433.1
Sro108_g054340	CAB9501434.1
Sro108_g054350	CAB9501435.1
Sro108_g054360	CAB9501436.1
Sro109_g054370	CAB9501437.1
Sro109_g054380	CAB9501438.1
Sro109_g054390	CAB9501439.1
Sro109_g054400	CAB9501440.1
Sro109_g054410	CAB9501441.1
Sro109_g054420	CAB9501442.1
Sro109_g054430	CAB9501443.1
Sro109_g054440	CAB9501444.1
Sro109_g054450	CAB9501445.1
Sro109_g054460	CAB9501446.1
Sro109_g054470	CAB9501447.1
Sro109_g054471	CAB9501448.1
Sro109_g054480	CAB9501449.1
Sro109_g054490	CAB9501450.1
Sro109_g054500	CAB9501451.1
Sro109_g054510	CAB9501452.1
Sro109_g054520	CAB9501453.1
Sro109_g054530	CAB9501454.1
Sro109_g054540	CAB9501455.1
Sro109_g054550	CAB9501456.1
Sro109_g054560	CAB9501457.1
Sro109_g054570	CAB9501458.1
Sro109_g054580	CAB9501459.1
Sro109_g054590	CAB9501460.1
Sro109_g054600	CAB9501461.1
Sro109_g054610	CAB9501462.1
Sro109_g054620	CAB9501463.1
Sro109_g054630	CAB9501464.1
Sro109_g054640	CAB9501465.1
Sro109_g054650	CAB9501466.1
Sro109_g054660	CAB9501467.1
Sro109_g054670	CAB9501468.1
Sro109_g054680	CAB9501469.1
Sro109_g054690	CAB9501470.1
Sro109_g054700	CAB9501471.1
Sro109_g054710	CAB9501472.1
Sro109_g054720	CAB9501473.1
Sro10_g007770	CAB9496811.1
Sro10_g007780	CAB9496812.1
Sro10_g007790	CAB9496813.1
Sro10_g007800	CAB9496814.1
Sro10_g007810	CAB9496815.1
Sro10_g007820	CAB9496816.1
Sro10_g007830	CAB9496817.1
Sro10_g007840	CAB9496818.1
Sro10_g007850	CAB9496819.1
Sro10_g007860	CAB9496820.1
Sro10_g007870	CAB9496821.1
Sro10_g007880	CAB9496822.1
Sro10_g007890	CAB9496823.1
Sro10_g007900	CAB9496824.1
Sro10_g007910	CAB9496825.1
Sro10_g007920	CAB9496826.1
Sro10_g007930	CAB9496827.1
Sro10_g007940	CAB9496828.1
Sro10_g007950	CAB9496829.1
Sro10_g007960	CAB9496830.1
Sro10_g007961	CAB9496831.1
Sro10_g007970	CAB9496832.1
Sro10_g007980	CAB9496833.1
Sro10_g007990	CAB9496834.1
Sro10_g008000	CAB9496835.1
Sro10_g008010	CAB9496836.1
Sro10_g008020	CAB9496837.1
Sro10_g008030	CAB9496838.1
Sro10_g008031	CAB9496839.1
Sro10_g008040	CAB9496841.1
Sro10_g008041	CAB9496840.1
Sro10_g008050	CAB9496842.1
Sro10_g008060	CAB9496843.1
Sro10_g008070	CAB9496844.1
Sro10_g008080	CAB9496845.1
Sro10_g008090	CAB9496846.1
Sro10_g008100	CAB9496847.1
Sro10_g008101	CAB9496848.1
Sro10_g008110	CAB9496849.1
Sro10_g008120	CAB9496850.1
Sro10_g008121	CAB9496851.1
Sro10_g008130	CAB9496852.1
Sro10_g008140	CAB9496853.1
Sro10_g008150	CAB9496854.1
Sro10_g008160	CAB9496855.1
Sro10_g008170	CAB9496856.1
Sro10_g008180	CAB9496857.1
Sro10_g008190	CAB9496858.1
Sro10_g008200	CAB9496859.1
Sro10_g008210	CAB9496860.1
Sro10_g008220	CAB9496861.1
Sro10_g008230	CAB9496862.1
Sro10_g008240	CAB9496863.1
Sro10_g008250	CAB9496864.1
Sro10_g008260	CAB9496865.1
Sro10_g008270	CAB9496866.1
Sro10_g008271	CAB9496867.1
Sro10_g008280	CAB9496868.1
Sro10_g008290	CAB9496869.1
Sro10_g008300	CAB9496870.1
Sro10_g008310	CAB9496871.1
Sro10_g008320	CAB9496872.1
Sro10_g008330	CAB9496873.1
Sro10_g008340	CAB9496874.1
Sro10_g008350	CAB9496875.1
Sro10_g008360	CAB9496876.1
Sro10_g008370	CAB9496877.1
Sro10_g008380	CAB9496878.1
Sro10_g008390	CAB9496879.1
Sro10_g008400	CAB9496880.1
Sro110_g054730	CAB9501474.1
Sro110_g054740	CAB9501475.1
Sro110_g054750	CAB9501476.1
Sro110_g054760	CAB9501477.1
Sro110_g054770	CAB9501478.1
Sro110_g054780	CAB9501479.1
Sro110_g054781	CAB9501480.1
Sro110_g054790	CAB9501481.1
Sro110_g054800	CAB9501482.1
Sro110_g054810	CAB9501483.1
Sro110_g054820	CAB9501484.1
Sro110_g054830	CAB9501485.1
Sro110_g054840	CAB9501486.1
Sro110_g054850	CAB9501487.1
Sro110_g054860	CAB9501488.1
Sro110_g054870	CAB9501489.1
Sro110_g054880	CAB9501490.1
Sro110_g054890	CAB9501491.1
Sro110_g054900	CAB9501492.1
Sro110_g054910	CAB9501493.1
Sro110_g054920	CAB9501494.1
Sro110_g054930	CAB9501495.1
Sro110_g054940	CAB9501496.1
Sro110_g054950	CAB9501497.1
Sro110_g054960	CAB9501498.1
Sro110_g054970	CAB9501499.1
Sro110_g054980	CAB9501500.1
Sro110_g054990	CAB9501501.1
Sro110_g055000	CAB9501502.1
Sro110_g055010	CAB9501503.1
Sro110_g055020	CAB9501504.1
Sro110_g055030	CAB9501505.1
Sro110_g055040	CAB9501506.1
Sro110_g055050	CAB9501507.1
Sro110_g055060	CAB9501508.1
Sro110_g055070	CAB9501509.1
Sro110_g055080	CAB9501510.1
Sro110_g055090	CAB9501511.1
Sro110_g055100	CAB9501512.1
Sro111_g055110	CAB9501513.1
Sro111_g055120	CAB9501514.1
Sro111_g055130	CAB9501515.1
Sro111_g055140	CAB9501516.1
Sro111_g055150	CAB9501517.1
Sro111_g055160	CAB9501518.1
Sro111_g055170	CAB9501519.1
Sro111_g055180	CAB9501520.1
Sro111_g055190	CAB9501521.1
Sro111_g055200	CAB9501522.1
Sro111_g055210	CAB9501523.1
Sro111_g055220	CAB9501524.1
Sro111_g055230	CAB9501525.1
Sro111_g055240	CAB9501526.1
Sro111_g055250	CAB9501527.1
Sro111_g055260	CAB9501528.1
Sro111_g055270	CAB9501529.1
Sro111_g055280	CAB9501530.1
Sro111_g055290	CAB9501531.1
Sro111_g055300	CAB9501532.1
Sro111_g055310	CAB9501533.1
Sro111_g055320	CAB9501534.1
Sro111_g055330	CAB9501535.1
Sro111_g055340	CAB9501536.1
Sro111_g055341	CAB9501537.1
Sro111_g055350	CAB9501538.1
Sro111_g055360	CAB9501539.1
Sro111_g055370	CAB9501540.1
Sro111_g055380	CAB9501541.1
Sro111_g055390	CAB9501542.1
Sro111_g055400	CAB9501543.1
Sro111_g055410	CAB9501544.1
Sro111_g055420	CAB9501545.1
Sro111_g055430	CAB9501546.1
Sro111_g055431	CAB9501547.1
Sro111_g055440	CAB9501548.1
Sro111_g055450	CAB9501549.1
Sro111_g055460	CAB9501550.1
Sro112_g055470	CAB9501551.1
Sro112_g055471	CAB9501552.1
Sro112_g055480	CAB9501553.1
Sro112_g055490	CAB9501554.1
Sro112_g055500	CAB9501555.1
Sro112_g055510	CAB9501556.1
Sro112_g055520	CAB9501557.1
Sro112_g055530	CAB9501558.1
Sro112_g055540	CAB9501559.1
Sro112_g055550	CAB9501560.1
Sro112_g055570	CAB9501561.1
Sro112_g055580	CAB9501562.1
Sro112_g055590	CAB9501563.1
Sro112_g055600	CAB9501564.1
Sro112_g055610	CAB9501565.1
Sro112_g055620	CAB9501566.1
Sro112_g055630	CAB9501567.1
Sro112_g055640	CAB9501568.1
Sro112_g055650	CAB9501569.1
Sro112_g055660	CAB9501570.1
Sro112_g055670	CAB9501571.1
Sro112_g055680	CAB9501572.1
Sro112_g055690	CAB9501573.1
Sro112_g055700	CAB9501574.1
Sro112_g055710	CAB9501575.1
Sro112_g055720	CAB9501576.1
Sro112_g055730	CAB9501577.1
Sro112_g055740	CAB9501578.1
Sro112_g055750	CAB9501579.1
Sro112_g055760	CAB9501580.1
Sro112_g055770	CAB9501581.1
Sro112_g055780	CAB9501582.1
Sro112_g055790	CAB9501583.1
Sro112_g055791	CAB9501584.1
Sro112_g055792	CAB9501585.1
Sro112_g055800	CAB9501586.1
Sro112_g055810	CAB9501587.1
Sro112_g055820	CAB9501588.1
Sro112_g055830	CAB9501589.1
Sro112_g055840	CAB9501590.1
Sro112_g055850	CAB9501591.1
Sro112_g055860	CAB9501592.1
Sro112_g055870	CAB9501593.1
Sro112_g055880	CAB9501594.1
Sro113_g055890	CAB9501595.1
Sro113_g055900	CAB9501596.1
Sro113_g055910	CAB9501597.1
Sro113_g055920	CAB9501598.1
Sro113_g055930	CAB9501599.1
Sro113_g055940	CAB9501600.1
Sro113_g055950	CAB9501601.1
Sro113_g055960	CAB9501602.1
Sro113_g055970	CAB9501603.1
Sro113_g055980	CAB9501604.1
Sro113_g055990	CAB9501605.1
Sro113_g056000	CAB9501606.1
Sro113_g056010	CAB9501607.1
Sro113_g056020	CAB9501608.1
Sro113_g056030	CAB9501609.1
Sro113_g056040	CAB9501610.1
Sro113_g056050	CAB9501611.1
Sro113_g056060	CAB9501612.1
Sro113_g056070	CAB9501613.1
Sro113_g056080	CAB9501614.1
Sro113_g056090	CAB9501615.1
Sro113_g056100	CAB9501616.1
Sro113_g056110	CAB9501617.1
Sro113_g056120	CAB9501618.1
Sro113_g056130	CAB9501619.1
Sro113_g056140	CAB9501620.1
Sro113_g056150	CAB9501621.1
Sro113_g056160	CAB9501622.1
Sro113_g056170	CAB9501623.1
Sro113_g056180	CAB9501624.1
Sro114_g056190	CAB9501625.1
Sro114_g056200	CAB9501626.1
Sro114_g056210	CAB9501627.1
Sro114_g056220	CAB9501628.1
Sro114_g056230	CAB9501629.1
Sro114_g056231	CAB9501630.1
Sro114_g056240	CAB9501631.1
Sro114_g056250	CAB9501632.1
Sro114_g056260	CAB9501633.1
Sro114_g056270	CAB9501634.1
Sro114_g056280	CAB9501635.1
Sro114_g056290	CAB9501636.1
Sro114_g056300	CAB9501637.1
Sro114_g056310	CAB9501638.1
Sro114_g056320	CAB9501639.1
Sro114_g056330	CAB9501640.1
Sro114_g056340	CAB9501641.1
Sro114_g056350	CAB9501642.1
Sro114_g056360	CAB9501643.1
Sro114_g056380	CAB9501644.1
Sro114_g056390	CAB9501645.1
Sro114_g056400	CAB9501646.1
Sro114_g056410	CAB9501647.1
Sro114_g056411	CAB9501648.1
Sro114_g056420	CAB9501649.1
Sro114_g056430	CAB9501650.1
Sro114_g056440	CAB9501651.1
Sro114_g056450	CAB9501652.1
Sro114_g056460	CAB9501653.1
Sro114_g056470	CAB9501654.1
Sro114_g056480	CAB9501655.1
Sro114_g056490	CAB9501656.1
Sro114_g056500	CAB9501657.1
Sro114_g056510	CAB9501658.1
Sro114_g056520	CAB9501659.1
Sro114_g056530	CAB9501660.1
Sro114_g056540	CAB9501661.1
Sro114_g056550	CAB9501662.1
Sro114_g056560	CAB9501663.1
Sro114_g056570	CAB9501664.1
Sro115_g056580	CAB9501665.1
Sro115_g056590	CAB9501666.1
Sro115_g056600	CAB9501667.1
Sro115_g056610	CAB9501668.1
Sro115_g056620	CAB9501669.1
Sro115_g056630	CAB9501670.1
Sro115_g056640	CAB9501671.1
Sro115_g056650	CAB9501672.1
Sro115_g056660	CAB9501673.1
Sro115_g056670	CAB9501674.1
Sro115_g056680	CAB9501675.1
Sro115_g056690	CAB9501676.1
Sro115_g056700	CAB9501677.1
Sro115_g056710	CAB9501678.1
Sro115_g056720	CAB9501679.1
Sro115_g056730	CAB9501680.1
Sro115_g056740	CAB9501681.1
Sro115_g056750	CAB9501682.1
Sro115_g056760	CAB9501683.1
Sro115_g056770	CAB9501684.1
Sro115_g056780	CAB9501685.1
Sro115_g056790	CAB9501686.1
Sro115_g056800	CAB9501687.1
Sro115_g056810	CAB9501688.1
Sro115_g056820	CAB9501689.1
Sro115_g056830	CAB9501690.1
Sro115_g056840	CAB9501691.1
Sro115_g056850	CAB9501692.1
Sro115_g056860	CAB9501693.1
Sro115_g056870	CAB9501694.1
Sro115_g056880	CAB9501695.1
Sro115_g056890	CAB9501696.1
Sro116_g056900	CAB9501697.1
Sro116_g056910	CAB9501698.1
Sro116_g056920	CAB9501699.1
Sro116_g056930	CAB9501700.1
Sro116_g056940	CAB9501701.1
Sro116_g056950	CAB9501702.1
Sro116_g056960	CAB9501703.1
Sro116_g056970	CAB9501704.1
Sro116_g056980	CAB9501705.1
Sro116_g056990	CAB9501706.1
Sro116_g057000	CAB9501707.1
Sro116_g057010	CAB9501708.1
Sro116_g057020	CAB9501709.1
Sro116_g057030	CAB9501710.1
Sro116_g057040	CAB9501711.1
Sro116_g057050	CAB9501712.1
Sro116_g057060	CAB9501713.1
Sro116_g057070	CAB9501714.1
Sro116_g057080	CAB9501715.1
Sro116_g057090	CAB9501716.1
Sro116_g057100	CAB9501717.1
Sro116_g057110	CAB9501718.1
Sro116_g057120	CAB9501719.1
Sro116_g057130	CAB9501720.1
Sro116_g057140	CAB9501721.1
Sro116_g057150	CAB9501722.1
Sro116_g057160	CAB9501723.1
Sro116_g057170	CAB9501724.1
Sro116_g057180	CAB9501725.1
Sro116_g057190	CAB9501726.1
Sro116_g057200	CAB9501727.1
Sro116_g057210	CAB9501728.1
Sro116_g057220	CAB9501729.1
Sro117_g057230	CAB9501730.1
Sro117_g057240	CAB9501731.1
Sro117_g057250	CAB9501732.1
Sro117_g057260	CAB9501733.1
Sro117_g057270	CAB9501734.1
Sro117_g057280	CAB9501735.1
Sro117_g057290	CAB9501736.1
Sro117_g057300	CAB9501737.1
Sro117_g057310	CAB9501738.1
Sro117_g057320	CAB9501739.1
Sro117_g057330	CAB9501740.1
Sro117_g057340	CAB9501741.1
Sro117_g057350	CAB9501742.1
Sro117_g057360	CAB9501743.1
Sro117_g057370	CAB9501744.1
Sro117_g057380	CAB9501745.1
Sro117_g057390	CAB9501746.1
Sro117_g057400	CAB9501747.1
Sro117_g057410	CAB9501748.1
Sro117_g057420	CAB9501749.1
Sro117_g057430	CAB9501750.1
Sro117_g057440	CAB9501751.1
Sro117_g057450	CAB9501752.1
Sro117_g057460	CAB9501753.1
Sro117_g057470	CAB9501754.1
Sro117_g057480	CAB9501755.1
Sro117_g057490	CAB9501756.1
Sro117_g057500	CAB9501757.1
Sro117_g057510	CAB9501758.1
Sro117_g057520	CAB9501759.1
Sro117_g057530	CAB9501760.1
Sro118_g057540	CAB9501761.1
Sro118_g057550	CAB9501762.1
Sro118_g057560	CAB9501763.1
Sro118_g057570	CAB9501764.1
Sro118_g057580	CAB9501765.1
Sro118_g057590	CAB9501766.1
Sro118_g057600	CAB9501767.1
Sro118_g057610	CAB9501768.1
Sro118_g057620	CAB9501769.1
Sro118_g057630	CAB9501770.1
Sro118_g057640	CAB9501771.1
Sro118_g057650	CAB9501772.1
Sro118_g057660	CAB9501773.1
Sro118_g057670	CAB9501774.1
Sro118_g057680	CAB9501775.1
Sro118_g057690	CAB9501776.1
Sro118_g057700	CAB9501777.1
Sro118_g057710	CAB9501778.1
Sro118_g057720	CAB9501779.1
Sro118_g057730	CAB9501780.1
Sro118_g057740	CAB9501781.1
Sro118_g057750	CAB9501782.1
Sro118_g057751	CAB9501783.1
Sro118_g057760	CAB9501784.1
Sro118_g057770	CAB9501785.1
Sro118_g057780	CAB9501786.1
Sro118_g057790	CAB9501787.1
Sro118_g057800	CAB9501788.1
Sro118_g057810	CAB9501789.1
Sro118_g057820	CAB9501790.1
Sro118_g057830	CAB9501791.1
Sro118_g057840	CAB9501792.1
Sro118_g057850	CAB9501793.1
Sro118_g057860	CAB9501794.1
Sro118_g057870	CAB9501795.1
Sro118_g057880	CAB9501796.1
Sro118_g057890	CAB9501797.1
Sro118_g057900	CAB9501798.1
Sro118_g057910	CAB9501799.1
Sro118_g057920	CAB9501800.1
Sro119_g057930	CAB9501801.1
Sro119_g057940	CAB9501802.1
Sro119_g057950	CAB9501803.1
Sro119_g057960	CAB9501804.1
Sro119_g057970	CAB9501805.1
Sro119_g057980	CAB9501806.1
