Gene_id	InterPro_description	Pan_gene_category	πN	πS	πN / πS
Sro1_g000350	ATPase, AAA-type, core (IPR003959); AAA+ ATPase domain (IPR003593); P-loop containing nucleoside triphosphate hydrolase (IPR027417)	Core	0.001922983745344	0.024200294117647	0.079461172496308
Sro1_g000360	-	Core	0.000747723570924	0.007221698839907	0.103538459232411
Sro1_g000370	Thiolase-like (IPR016039); Polyketide synthase, type III (IPR011141); Chalcone/stilbene synthase, C-terminal (IPR012328); Chalcone/stilbene synthase, N-terminal (IPR001099); Chalcone/stilbene synthase, active site (IPR018088)	Core	0.004439593801505	0.02440083570634	0.181944333994728
Sro1_g000380	-	Core	0.003885499117387	0.017150126835781	0.226558039750528
Sro1_g000390	Oxidoreductase, N-terminal (IPR000683); NAD(P)-binding domain superfamily (IPR036291)	Core	0.003756515115837	0.010342482718894	0.363212124007222
Sro1_g000400	-	Core	0.001895735545024	0.017934939776358	0.1057006919824
Sro1_g000410	-	Core	0.004251704081633	0.038931677966102	0.109209371487524
Sro1_g000420	Tetratricopeptide-like helical domain superfamily (IPR011990); Tetratricopeptide repeat-containing domain (IPR013026); Tetratricopeptide repeat (IPR019734)	Core	0.001296349026709	0.0456744383164	0.028382374791973
Sro1_g000430	-	Core	0.0010620219423	0.000684618210863	1.55126160164763
Sro1_g000440	Glycoside hydrolase family 16 (IPR000757); Concanavalin A-like lectin/glucanase domain superfamily (IPR013320)	Core	0.001945751745068	0.013126077946768	0.148235577524312
Sro1_g000450	-	Core	0.002521008403361	0.003643724696356	0.691876750700282
Sro1_g000460	GPCR family 3, GABA-B receptor (IPR002455); Receptor, ligand binding region (IPR001828); GPCR family 3, C-terminal (IPR017978); GPCR, family 3 (IPR000337); Periplasmic binding protein-like I (IPR028082)	Core	0.003951199153976	0.023873991273997	0.1655022450427
Sro1_g000470	-	Core	0.007764609493671	0.013951587257618	0.556539506960498
Sro1_g000480	-	Core	0.002557519703845	0.013902605521473	0.183959740488584
Sro1_g000490	Cytochrome P450 superfamily (IPR036396); Cytochrome P450 (IPR001128); Cytochrome P450, E-class, group I (IPR002401); Cytochrome P450, conserved site (IPR017972)	Core	0.0050107822545	0.037813727655502	0.132512253225858
Sro1_g000500	-	Core	0.00255426516	0.049761102868318	0.051330557659852
Sro1_g000510	DNA primase, small subunit, eukaryotic/archaeal (IPR014052); DNA primase, small subunit (IPR002755)	Core	No data	No data	No data
Sro1_g000520	Snf7 family (IPR005024)	Core	0.00359074070632	0.035679438538206	0.100638935292513
Sro1_g000530	-	Dispensable	No data	No data	No data
Sro1_g000540	Cytochrome b5-like heme/steroid binding domain superfamily (IPR036400); Cytochrome b5-like heme/steroid binding domain (IPR001199)	Core	No data	No data	No data
Sro1_g000550	-	Core	0.007333689940828	0.028439256637168	0.257872068682829
Sro1_g000560	-	Core	0	0.040757568333333	0
Sro1_g000570	-	Core	0.013398965240267	0.031733302741359	0.422236706638276
Sro1_g000580	Energy-dependent translational throttle protein EttA (IPR022374); ABC-transporter extension domain (IPR032781); ABC transporter-like (IPR003439); ABC transporter, conserved site (IPR017871); AAA+ ATPase domain (IPR003593); P-loop containing nucleoside triphosphate hydrolase (IPR027417)	Core	0.001538502266546	0.024426746704465	0.062984329643233
Sro1_g000590	Mitochondrial carrier domain superfamily (IPR023395); Mitochondrial carrier domain protein (IPR040062); Mitochondrial substrate/solute carrier (IPR018108)	Core	0.002652562629758	0.015198238876652	0.174530921068279
Sro1_g000600	Nucleophile aminohydrolases, N-terminal (IPR029055); Proteasome, subunit alpha/beta (IPR001353); Proteasome alpha-subunit, N-terminal domain (IPR000426)	Core	0.005035647058824	0.015723195833333	0.320268672616027
Sro1_g000610	-	Core	No data	No data	No data
Sro1_g000620	Phosphoribosyltransferase domain (IPR000836); Phosphoribosyltransferase-like (IPR029057)	Core	0.001475305126498	0.005829973790323	0.253055190221767
Sro1_g000630	-	Core	0.002879275276243	0.005138336521739	0.560351635993779
Sro1_g000640	-	Core	0.008279303948368	0.0200448	0.4130399878456
Sro1_g000650	-	Core	No data	No data	No data
Sro1_g000660	-	Dispensable	No data	No data	No data
Sro1_g000670	-	Core	No data	No data	No data
Sro1_g000671	-	Core	No data	No data	No data
Sro1_g000680	Mitochondrial import inner membrane translocase subunit TIM22 (IPR039175)	Core	0.002088286171575	0.01577891515748	0.132346625273848
Sro1_g000690	Helicase, C-terminal (IPR001650); DEAD/DEAH box helicase domain (IPR011545); RNA helicase, DEAD-box type, Q motif (IPR014014); Helicase superfamily 1/2, ATP-binding domain (IPR014001); P-loop containing nucleoside triphosphate hydrolase (IPR027417)	Core	0.001444895421844	0.019666237858509	0.073470860682141
Sro1_g000700	WD40/YVTN repeat-like-containing domain superfamily (IPR015943); Histone-binding protein RBBP4, N-terminal (IPR022052); WD40 repeat (IPR001680); G-protein beta WD-40 repeat (IPR020472); WD40 repeat, conserved site (IPR019775); WD40-repeat-containing domain (IPR017986); WD40-repeat-containing domain superfamily (IPR036322)	Core	0.000671210037175	0.027961488924051	0.024004803141846
Sro1_g000710	P-loop containing nucleoside triphosphate hydrolase (IPR027417)	Core	0.00098674964759	0.026328179566004	0.037478840689147
Sro1_g000720	DPH Zinc finger superfamily (IPR036671); Zinc finger, DPH-type (IPR007872)	Core	0.004576712517194	0.0288478875	0.158649832407796
Sro1_g000730	Ribosomal protein L2, domain 2 (IPR014722); Translation elongation factor IF5A-like (IPR001884); Translation elongation factor, KOW-like (IPR013185); Translation elongation factor, IF5A C-terminal (IPR020189); Translation elongation factor, IF5A, hypusine site (IPR019769); Nucleic acid-binding, OB-fold (IPR012340); Translation protein SH3-like domain superfamily (IPR008991)	Core	0.004737931596091	0	High
Sro1_g000740	Ketopantoate hydroxymethyltransferase (IPR003700); Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily (IPR015813)	Core	No data	No data	No data
Sro1_g000750	Diacylglycerol acyltransferase (IPR007130)	Core	No data	No data	No data
Sro1_g000760	-	Core	0	0.010242083798883	0
Sro1_g000770	-	Core	0.00164293373494	0.006252712679426	0.262755354223411
Sro1_g000780	PDZ domain (IPR001478); PDZ superfamily (IPR036034)	Core	0.00118702866242	0.02673477524558	0.044400173613453
Sro1_g000790	Beta-lactamase-related (IPR001466); Beta-lactamase/transpeptidase-like (IPR012338)	Core	0.003310475654952	0.028555633678756	0.115930736897458
Sro1_g000800	P-loop containing nucleoside triphosphate hydrolase (IPR027417)	Core	0.003920625540086	0.026876427719821	0.145875991443424
Sro1_g000810	-	Core	0.002692969991174	0.034231140495868	0.078670180197443
Sro1_g000820	Signal transduction response regulator, receiver domain (IPR001789); Leucine-rich repeat domain superfamily (IPR032675); Leucine-rich repeat (IPR001611); CheY-like superfamily (IPR011006)	Core	0.000298649802891	0.027998934381778	0.010666470331289
Sro1_g000830	Cytochrome b5-like heme/steroid binding domain superfamily (IPR036400); Cytochrome b5-like heme/steroid binding domain (IPR001199)	Core	0.000603378921963	0.006842615542522	0.088179573762901
Sro1_g000840	Ubiquitin system component Cue (IPR003892)	Core	0.001719496875	0.014464607142857	0.118876154603972
Sro1_g000850	-	Core	0.002035077635115	0.021383680490104	0.095169661558346
Sro1_g000860	-	Core	0.003657159746657	0.025664909137056	0.14249650084975
Sro1_g000870	Bromodomain-like superfamily (IPR036427); Bromodomain (IPR001487)	Core	0.00519299104224	0.016710353233695	0.310764887469207
Sro1_g000880	Bromodomain-like superfamily (IPR036427); Bromodomain (IPR001487)	Core	0.001685222663551	0.017156408755001	0.098227005873834
Sro1_g000890	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain superfamily (IPR036971); Nucleotide cyclase (IPR029787); Adenylyl cyclase class-3/4/guanylyl cyclase (IPR001054); 3'5'-cyclic nucleotide phosphodiesterase, catalytic domain (IPR002073); HD/PDEase domain (IPR003607)	Core	0.000661177460157	0.019685395960503	0.033587206550656
Sro1_g000900	-	Core	0.00221684764208	0.008779949698189	0.252489788470772
Sro1_g000910	-	Core	0.005902067335707	0.014961324563319	0.394488289504644
Sro1_g000920	Tetratricopeptide-like helical domain superfamily (IPR011990)	Dispensable	0.005040965071055	0.017206241914618	0.292973044088836
Sro1_g000921	Integrin alpha, N-terminal (IPR028994); Integrin alpha beta-propellor (IPR013519)	Dispensable	No data	No data	No data
Sro1_g000930	-	Dispensable	No data	No data	No data
Sro1_g000940	Carboxylesterase, type B (IPR002018); Carboxylesterase type B, active site (IPR019826); Alpha/Beta hydrolase fold (IPR029058)	Core	0.001418789663896	0.011533115776699	0.123018765385361
Sro1_g000950	FAD/NAD(P)-binding domain superfamily (IPR036188); ACP-like superfamily (IPR036736); AMP-dependent synthetase/ligase (IPR000873); AMP-binding, conserved site (IPR020845); Phosphopantetheine binding ACP domain (IPR009081); Trimeric LpxA-like superfamily (IPR011004)	Core	0.003550325426821	0.010678002261092	0.332489668011945
Sro1_g000960	-	Core	0.003027273993237	0.018406758394161	0.164465351715456
Sro1_g000970	Tetratricopeptide-like helical domain superfamily (IPR011990)	Core	0.003904181521232	0.029357139968652	0.132989164659802
Sro1_g000980	-	Dispensable	No data	No data	No data
Sro1_g000990	-	Core	No data	No data	No data
Sro1_g001000	-	Core	No data	No data	No data
Sro1_g001010	-	Dispensable	No data	No data	No data
Sro1_g001020	-	Dispensable	No data	No data	No data
Sro1_g001030	-	Dispensable	No data	No data	No data
Sro1_g001040	Zinc finger, RING/FYVE/PHD-type (IPR013083); Pre-mRNA-splicing factor CWC24-like (IPR039971); Zinc finger, CCCH-type (IPR000571); Zinc finger, RING-type, conserved site (IPR017907); Zinc finger, RING-type (IPR001841); Zinc finger, CCCH-type superfamily (IPR036855)	Core	No data	No data	No data
Sro1_g001050	Short-chain dehydrogenase/reductase SDR (IPR002347); NAD(P)-binding domain superfamily (IPR036291)	Core	No data	No data	No data
Sro1_g001060	GPCR, rhodopsin-like, 7TM (IPR017452)	Core	No data	No data	No data
Sro10_g007770	-	Core	No data	No data	No data
Sro10_g007780	Leucine-rich repeat domain superfamily (IPR032675)	Dispensable	No data	No data	No data
Sro10_g007790	-	Core	0.01121181509891	0.048481789507772	0.231258276823976
Sro10_g007800	Ribosomal protein L11/L12 (IPR000911); Ribosomal protein L11/L12, N-terminal domain superfamily (IPR036796); Ribosomal protein L11, C-terminal domain superfamily (IPR036769); Ribosomal protein L11, N-terminal (IPR020784); Ribosomal protein L11, C-terminal (IPR020783)	Core	0.001540436456996	0.03003440859375	0.051289055757093
Sro10_g007810	Exostosin-like (IPR004263)	Core	0.004574872227674	0.03009919254457	0.15199318788701
Sro10_g007820	PDZ superfamily (IPR036034)	Core	0.002314760789149	0.023731894422311	0.097537969281249
Sro10_g007830	NTF2-like domain superfamily (IPR032710)	Core	0.002586077002725	0.023495716632444	0.110065891718913
Sro10_g007840	-	Core	0.003972214570738	0.028912749011858	0.137386264070169
Sro10_g007850	NTF2-like domain superfamily (IPR032710)	Core	0.00403232552827	0.018014374749499	0.223839327444972
Sro10_g007860	-	Core	0.004912993709109	0.012764758928572	0.38488730861281
Sro10_g007870	-	Core	0.004264136807818	0.021882081632653	0.194868883107288
Sro10_g007880	NTF2-like domain superfamily (IPR032710)	Core	0.002977610736469	0.032420675593221	0.091842957680103
Sro10_g007890	NTF2-like domain superfamily (IPR032710)	Core	0	0.005265	0
Sro10_g007900	-	Core	0.00635984505988	0.038137467914439	0.166761072710662
Sro10_g007910	Ankyrin repeat-containing domain (IPR020683); Ankyrin repeat-containing domain superfamily (IPR036770); Ankyrin repeat (IPR002110)	Core	0.006436285714286	0.031536683060109	0.20408886064581
Sro10_g007920	-	Core	0.006277724900487	0.033118229140127	0.189554969075331
Sro10_g007930	-	Core	0.0057320741165	0.015564538718861	0.368277802512317
Sro10_g007940	-	Core	0.005492316234135	0.016010575028572	0.343043034015575
Sro10_g007950	Tetratricopeptide-like helical domain superfamily (IPR011990); P-loop containing nucleoside triphosphate hydrolase (IPR027417)	Core	0.003476531501707	0.028726295011601	0.121022620574723
Sro10_g007960	Fatty acid hydroxylase (IPR006694)	Core	No data	No data	No data
Sro10_g007961	-	Core	No data	No data	No data
Sro10_g007970	-	Core	0.005137579310345	0.017547920634921	0.292774250421497
Sro10_g007980	-	Dispensable	No data	No data	No data
Sro10_g007990	-	Dispensable	No data	No data	No data
Sro10_g008000	-	Dispensable	No data	No data	No data
Sro10_g008010	-	Core	0.001818396581197	0.034370849035813	0.052905198219046
Sro10_g008020	Ctr copper transporter (IPR007274)	Core	No data	No data	No data
Sro10_g008030	-	Core	No data	No data	No data
Sro10_g008031	-	Core	0.003902226415094	0.0072916625	0.535162785591674
Sro10_g008040	Histidine kinase/HSP90-like ATPase (IPR003594); Histidine kinase/HSP90-like ATPase superfamily (IPR036890)	Core	0.002392127898551	0.020138207746479	0.118785540831905
Sro10_g008041	-	Core	0.012227652372263	0.016164540697675	0.756449106779875
Sro10_g008050	-	Core	No data	No data	No data
Sro10_g008060	Serine proteases, trypsin domain (IPR001254); Peptidase S1A, chymotrypsin family (IPR001314); Serine proteases, trypsin family, histidine active site (IPR018114); Serine proteases, trypsin family, serine active site (IPR033116); Peptidase S1, PA clan (IPR009003)	Core	0.002210743092191	0.021592614135703	0.102384226305224
Sro10_g008070	-	Core	0.000621037974684	0.006669273722628	0.09311928112599
Sro10_g008080	-	Core	0.007053042810099	0.015688231525424	0.449575390232412
Sro10_g008090	UAA transporter (IPR013657)	Core	0.001398394555113	0.031564334939759	0.044302994432854
Sro10_g008100	NmrA-like domain (IPR008030); NAD(P)-binding domain superfamily (IPR036291)	Core	0.000801185649671	0.02537154415225	0.031578119363303
Sro10_g008101	-	Core	No data	No data	No data
Sro10_g008110	Target SNARE coiled-coil homology domain (IPR000727)	Core	No data	No data	No data
Sro10_g008120	-	Core	No data	No data	No data
Sro10_g008121	-	Core	0.004923411597374	0.01602563006993	0.307221093703659
Sro10_g008130	Ctr copper transporter (IPR007274)	Core	0.003394573073804	0.016648697493734	0.203894213050676
Sro10_g008140	Protein of unknown function DUF3804 (IPR024525); NTF2-like domain superfamily (IPR032710)	Core	0.005276810950413	0.009063700718133	0.582191658188408
Sro10_g008150	-	Core	0.001049572113677	0.014972201183432	0.070101389957154
Sro10_g008160	Class I glutamine amidotransferase-like (IPR029062)	Core	0.0035933341022	0.015711543432204	0.228706626927241
Sro10_g008170	Protein of unknown function DUF285 (IPR005046); Bacterial surface protein 26-residue repeat (IPR011889)	Core	0.006392577867299	0.015623726552795	0.409158330165155
Sro10_g008180	-	Core	No data	No data	No data
Sro10_g008190	-	Core	0.005970078916828	0.012871110526316	0.463835572278055
Sro10_g008200	-	Core	0.007344794721408	0.019147508791209	0.383590095270244
Sro10_g008210	Solute-binding protein  family 3/N-terminal domain of MltF (IPR001638)	Core	0.004307848469694	0.023626498454604	0.182331227709048
Sro10_g008220	C2 domain superfamily (IPR035892); C2 domain (IPR000008)	Core	No data	No data	No data
Sro10_g008230	-	Core	0.002348342157471	0.023769719008265	0.098795537156079
Sro10_g008240	Serine proteases, trypsin domain (IPR001254); Peptidase S1A, chymotrypsin family (IPR001314); Serine proteases, trypsin family, serine active site (IPR033116); Serine proteases, trypsin family, histidine active site (IPR018114); Peptidase S1, PA clan (IPR009003)	Core	0.005265563247012	0.037607551264755	0.14001345660457
Sro10_g008250	Serine proteases, trypsin domain (IPR001254); Peptidase S1A, chymotrypsin family (IPR001314); Serine proteases, trypsin family, histidine active site (IPR018114); Serine proteases, trypsin family, serine active site (IPR033116); Peptidase S1, PA clan (IPR009003)	Core	0.000635486019319	0.0182218224	0.034874997975985
Sro10_g008260	-	Core	0.005349187152318	0.010638306382979	0.50282319005933
Sro10_g008270	Winged helix-like DNA-binding domain superfamily (IPR036388); Heat shock transcription factor family (IPR027725); Heat shock factor (HSF)-type, DNA-binding (IPR000232); Winged helix DNA-binding domain superfamily (IPR036390)	Core	0.007104777396421	0.012307510360706	0.577271697377881
Sro10_g008271	-	Dispensable	0.004591956521739	0.026591416107383	0.172685670563602
Sro10_g008280	-	Core	0.002406306705298	0.0107278854314	0.224303915313527
Sro10_g008290	-	Core	0.003789403521127	0.020115513240418	0.188382144459171
Sro10_g008300	Polysaccharide pyruvyl transferase (IPR007345)	Core	No data	No data	No data
Sro10_g008310	CRAL-TRIO lipid binding domain (IPR001251); CRAL-TRIO lipid binding domain superfamily (IPR036865)	Core	No data	No data	No data
Sro10_g008320	-	Core	0.001938889223861	0.026234943052838	0.073904838289776
Sro10_g008330	-	Core	No data	No data	No data
Sro10_g008340	-	Core	0.006309222820612	0.026794844417178	0.235464058771224
Sro10_g008350	Serine proteases, trypsin domain (IPR001254); Peptidase S1A, chymotrypsin family (IPR001314); Serine proteases, trypsin family, histidine active site (IPR018114); Serine proteases, trypsin family, serine active site (IPR033116); Peptidase S1, PA clan (IPR009003)	Core	0.003694260817717	0.023136627252585	0.159671536278239
Sro10_g008360	6-phosphogluconolactonase, DevB-type (IPR005900); 6-Phosphogluconolactonase (IPR039104); Glucosamine/galactosamine-6-phosphate isomerase (IPR006148); NagB/RpiA transferase-like (IPR037171)	Core	0	0.039172592599278	0
Sro10_g008370	Leucine-rich repeat domain superfamily (IPR032675)	Core	0.003952098627787	0.026727001121915	0.147869138395282
Sro10_g008380	Serpin family (IPR000215); Serpin domain (IPR023796); Serpin superfamily (IPR036186)	Core	No data	No data	No data
Sro10_g008390	Biopterin transporter family (IPR039309); MFS transporter superfamily (IPR036259)	Core	No data	No data	No data
Sro10_g008400	Porphobilinogen deaminase, C-terminal domain superfamily (IPR036803); Porphobilinogen deaminase (IPR000860); Porphobilinogen deaminase, N-terminal (IPR022417); Porphobilinogen deaminase, C-terminal (IPR022418); Porphobilinogen deaminase, dipyrromethane cofactor binding site (IPR022419)	Core	0.000597038091068	0.025752657528409	0.023183552625964
Sro100_g008401	-	Dispensable	No data	No data	No data
Sro100_g051080	Leucine-rich repeat domain superfamily (IPR032675)	Core	0.003694370899329	0.008955599275945	0.412520791238607
Sro100_g051090	RmlC-like jelly roll fold (IPR014710); STAS domain superfamily (IPR036513); SLC26A/SulP transporter (IPR001902); SLC26A/SulP transporter domain (IPR011547); STAS domain (IPR002645); Cyclic nucleotide-binding domain (IPR000595); Cyclic nucleotide-binding-like (IPR018490)	Core	0.000311074243053	0.005250360962567	0.059248163177832
Sro100_g051100	SLC26A/SulP transporter (IPR001902); SLC26A/SulP transporter domain (IPR011547)	Core	0.001199714815951	0.012118632730733	0.098997538963985
Sro100_g051110	START-like domain superfamily (IPR023393)	Core	0.00090287394958	0.017612356711409	0.051263664731191
Sro100_g051120	-	Core	0.002185036314117	0.021261567578659	0.102769295162897
Sro100_g051130	-	Core	0.000917654777927	0.020516522727273	0.044727597854946
Sro100_g051140	-	Core	0.004253765775401	0.001145038167939	3.71495544385027
Sro100_g051150	Ankyrin repeat-containing domain superfamily (IPR036770); Ankyrin repeat (IPR002110)	Core	0.000859105670103	0.029945451327434	0.028689020603141
Sro100_g051160	-	Core	0.001872407115789	0.020789421636616	0.090065377888708
Sro100_g051170	Histone-fold (IPR009072); Histone H2A/H2B/H3 (IPR007125)	Dispensable	No data	No data	No data
Sro100_g051171	Holliday junction resolvase RusA-like superfamily (IPR036614); Holliday junction resolvase RusA-like (IPR008822)	Core	No data	No data	No data
Sro100_g051180	-	Core	0.007352113099193	0.016374849473684	0.448988133357115
Sro100_g051190	-	Dispensable	No data	No data	No data
Sro100_g051200	-	Dispensable	No data	No data	No data
Sro100_g051210	Winged helix-like DNA-binding domain superfamily (IPR036388); Heat shock transcription factor family (IPR027725); Heat shock factor (HSF)-type, DNA-binding (IPR000232); Winged helix DNA-binding domain superfamily (IPR036390)	Core	0.002741525934861	0.004612297794118	0.594394823846316
Sro100_g051220	Major facilitator superfamily domain (IPR020846); Autophagy-related protein 22-like (IPR024671); MFS transporter superfamily (IPR036259)	Core	0.002500213172805	0.022869250285714	0.109326416107587
Sro100_g051230	Major facilitator superfamily domain (IPR020846); Major facilitator superfamily (IPR011701); MFS transporter superfamily (IPR036259)	Core	0.001967373760144	0.012532793296089	0.156978074533326
Sro100_g051240	-	Core	0.000773024471635	0.016173178625954	0.04779669411396
Sro100_g051250	-	Core	0	0.006569947164179	0
Sro100_g051260	-	Core	0.001114607395751	0.014257646650124	0.078176113008221
Sro100_g051270	-	Core	0.001103752759382	0.019888806201551	0.055496179519103
Sro100_g051280	WW domain (IPR001202); WW domain superfamily (IPR036020)	Core	0.000952927002513	0.013623592312746	0.069946823175399
Sro100_g051290	AAA+ ATPase domain (IPR003593); P-loop containing nucleoside triphosphate hydrolase (IPR027417)	Core	0.003924814024052	0.013734262090753	0.285768103019848
Sro100_g051300	von Hippel-Lindau disease tumour suppressor,  beta domain superfamily (IPR037140); PUB domain (IPR018997); von Hippel-Lindau disease tumour suppressor,  beta domain (IPR024053); PUB-like domain superfamily (IPR036339); VHL superfamily (IPR036208)	Core	0.002799066277907	0.018523116459977	0.151112059569203
Sro100_g051310	Tricarboxylate/iron carrier (IPR004686)	Core	0.00067860886028	0.017907242320442	0.037895776922923
Sro100_g051320	-	Dispensable	No data	No data	No data
Sro100_g051330	Ankyrin repeat-containing domain (IPR020683); Ankyrin repeat-containing domain superfamily (IPR036770); Ankyrin repeat (IPR002110)	Core	0.008790075181598	0.042625685714285	0.20621545517219
Sro100_g051340	High-CO2 inducible periplasmic protein (IPR011643)	Core	0.003812558178192	0.021462134966592	0.177641142604224
Sro100_g051350	HD/PDEase domain (IPR003607); Nucleotide cyclase (IPR029787); 3'5'-cyclic nucleotide phosphodiesterase, catalytic domain superfamily (IPR036971); 3'5'-cyclic nucleotide phosphodiesterase, catalytic domain (IPR002073); Adenylyl cyclase class-3/4/guanylyl cyclase (IPR001054)	Core	No data	No data	No data
Sro100_g051360	-	Core	No data	No data	No data
Sro100_g051370	SET domain (IPR001214)	Core	No data	No data	No data
Sro100_g051380	EF-hand domain (IPR002048)	Core	0.001936935810811	0.011995617288802	0.161470290705174
Sro100_g051390	-	Core	0.00389442257063	0.013062225910931	0.298143868984174
Sro100_g051400	-	Core	No data	No data	No data
Sro100_g051410	-	Core	No data	No data	No data
Sro100_g051420	Glutathione S-transferase, N-terminal (IPR004045); Glutathione S-transferase, C-terminal-like (IPR010987); Thioredoxin-like superfamily (IPR036249); Glutathione S-transferase, C-terminal domain superfamily (IPR036282)	Core	No data	No data	No data
Sro100_g051430	Bestrophin/UPF0187 (IPR021134)	Core	No data	No data	No data
Sro1000_g229710	-	Core	0.002693697534568	0.006555834649327	0.410885520861166
Sro1000_g229720	10TM putative phosphate transporter, cytosolic domain (IPR027815); Calcium-dependent channel, 7TM region, putative phosphate (IPR003864); Calcium permeable stress-gated cation channel 1, N-terminal transmembrane domain (IPR032880)	Core	0.00290026383654	0.01982745258786	0.146275161858977
Sro1000_g229730	Mitochondrial carrier domain superfamily (IPR023395); Mitochondrial carrier domain protein (IPR040062); Mitochondrial substrate/solute carrier (IPR018108)	Core	0.002057239392352	0.02431084016129	0.084622307526324
Sro1000_g229740	-	Core	0.005520326899806	0.01178633666388	0.468366639884305
Sro1001_g229750	-	Dispensable	No data	No data	No data
Sro1001_g229760	-	Core	0.001444113223141	0.042131430994898	0.034276386750675
Sro1001_g229770	-	Dispensable	No data	No data	No data
Sro1001_g229780	-	Dispensable	No data	No data	No data
Sro1001_g229790	-	Dispensable	No data	No data	No data
Sro1001_g229800	Zinc finger, RING/FYVE/PHD-type (IPR013083); Zinc finger, RING-type (IPR001841)	Dispensable	No data	No data	No data
Sro1002_g229810	-	Dispensable	No data	No data	No data
Sro1002_g229820	-	Core	0.001742168943299	0.025322140654206	0.068800223768192
